Component,Threshold,Cutoff,Status
BoxSlider,7,6.940339923690599,Fault_proner
Direction,0,6.940339923690599,Clean
BoxSliderEvent,1,6.940339923690599,Clean
Axis,0,6.940339923690599,Clean
CaptureScreen,5,6.940339923690599,Clean
SIZE,2,6.940339923690599,Clean
GDIStuff,5,6.940339923690599,Clean
Win32Stuff,8,6.940339923690599,Fault_proner
ICONINFO,3,6.940339923690599,Clean
POINT,2,6.940339923690599,Clean
CURSORINFO,4,6.940339923690599,Clean
WINDOWINFO,3,6.940339923690599,Clean
ShowWindowCommands,2,6.940339923690599,Clean
SetWindowPosFlags,2,6.940339923690599,Clean
SpecialWindowHandles,2,6.940339923690599,Clean
IVRSystem,3,6.940339923690599,Clean
IVRExtendedDisplay,2,6.940339923690599,Clean
IVRApplications,3,6.940339923690599,Clean
IVRChaperone,3,6.940339923690599,Clean
IVRChaperoneSetup,3,6.940339923690599,Clean
IVRCompositor,3,6.940339923690599,Clean
IVROverlay,3,6.940339923690599,Clean
IVRRenderModels,3,6.940339923690599,Clean
IVRNotifications,1,6.940339923690599,Clean
IVRSettings,3,6.940339923690599,Clean
CVRSystem,6,6.940339923690599,Clean
CVRExtendedDisplay,6,6.940339923690599,Clean
CVRApplications,6,6.940339923690599,Clean
CVRChaperone,6,6.940339923690599,Clean
CVRChaperoneSetup,6,6.940339923690599,Clean
CVRCompositor,6,6.940339923690599,Clean
CVROverlay,6,6.940339923690599,Clean
CVRRenderModels,6,6.940339923690599,Clean
CVRNotifications,4,6.940339923690599,Clean
CVRSettings,6,6.940339923690599,Clean
OpenVRInterop,4,6.940339923690599,Clean
EVREye,1,6.940339923690599,Clean
EGraphicsAPIConvention,1,6.940339923690599,Clean
EColorSpace,1,6.940339923690599,Clean
ETrackingResult,1,6.940339923690599,Clean
ETrackedDeviceClass,1,6.940339923690599,Clean
ETrackedControllerRole,1,6.940339923690599,Clean
ETrackingUniverseOrigin,1,6.940339923690599,Clean
ETrackedDeviceProperty,2,6.940339923690599,Clean
ETrackedPropertyError,1,6.940339923690599,Clean
EVRSubmitFlags,1,6.940339923690599,Clean
EVRState,0,6.940339923690599,Clean
EVREventType,2,6.940339923690599,Clean
EDeviceActivityLevel,1,6.940339923690599,Clean
EVRButtonId,1,6.940339923690599,Clean
EVRMouseButton,0,6.940339923690599,Clean
EVRControllerAxisType,1,6.940339923690599,Clean
EVRControllerEventOutputType,0,6.940339923690599,Clean
ECollisionBoundsStyle,0,6.940339923690599,Clean
EVROverlayError,2,6.940339923690599,Clean
EVRApplicationType,1,6.940339923690599,Clean
EVRFirmwareError,1,6.940339923690599,Clean
EVRNotificationError,1,6.940339923690599,Clean
EVRInitError,2,6.940339923690599,Clean
EVRApplicationError,2,6.940339923690599,Clean
EVRApplicationProperty,1,6.940339923690599,Clean
EVRApplicationTransitionState,1,6.940339923690599,Clean
ChaperoneCalibrationState,1,6.940339923690599,Clean
EChaperoneConfigFile,1,6.940339923690599,Clean
EChaperoneImportFlags,0,6.940339923690599,Clean
EVRCompositorError,1,6.940339923690599,Clean
