Component,Threshold,Cutoff,Status
AggregateMappingDescription,5,8.25390625,Clean
AssemblerBuilder,4,8.25390625,Clean
AssemblerGenerationOptions,4,8.25390625,Clean
CodeGeneratorContext,5,8.25390625,Clean
ErrorBuilder,6,8.25390625,Clean
FunctionMap,6,8.25390625,Clean
IAggregateFunction,4,8.25390625,Clean
IExpressionFormatProvider,2,8.25390625,Clean
MappingHelperAttribute,1,8.25390625,Clean
MappingPreparerAttribute,0,8.25390625,Clean
OutputType,1,8.25390625,Clean
ProjectionInfo,2,8.25390625,Clean
ProjectionItem,4,8.25390625,Clean
ClassMappingDescriptor,4,8.25390625,Clean
Configuration,9,8.25390625,Fault_proner
IAssembler,4,8.25390625,Clean
IMappingDescriptorProvider,3,8.25390625,Clean
MapAttribute,5,8.25390625,Clean
MapClassAttribute,4,8.25390625,Clean
MemberMappingDescriptor,8,8.25390625,Clean
ProviderFactory,5,8.25390625,Clean
OtisException,4,8.25390625,Clean
TypeHelper,4,8.25390625,Clean
AggregateExpressionBuilder,6,8.25390625,Clean
AggregateExpressionPathItem,5,8.25390625,Clean
AggregateFunctionContext,6,8.25390625,Clean
AssemblerGenerator,6,8.25390625,Clean
ClassMappingGenerator,6,8.25390625,Clean
DefaultAggregateFunctionCodeGenerator,6,8.25390625,Clean
FunctionMappingGenerator,5,8.25390625,Clean
IAggregateFunctionCodeGenerator,3,8.25390625,Clean
Util,3,8.25390625,Clean
AvgFunction,5,8.25390625,Clean
CollectFunction,7,8.25390625,Clean
ConcatFunction,6,8.25390625,Clean
CountFunction,1,8.25390625,Clean
MaxFunction,1,8.25390625,Clean
MinFunction,1,8.25390625,Clean
MinMaxFunctionBase,7,8.25390625,Clean
SimpleFunctionBase,9,8.25390625,Fault_proner
SumFunction,1,8.25390625,Clean
ExpressionParser,7,8.25390625,Clean
AssemblyMappingDescriptionProvider,2,8.25390625,Clean
AssemblyResourceMappingDescriptorProvider,3,8.25390625,Clean
Errors,2,8.25390625,Clean
ProjectionBuilder,6,8.25390625,Clean
SingleTypeMappingDescriptorProvider,9,8.25390625,Fault_proner
XmlMappingDescriptionProvider,9,8.25390625,Fault_proner
