Component,Threshold,Cutoff,Status
NetUtils,5,8.8525564803805,Clean
NetworkReference,9,8.8525564803805,Fault_proner
NetworkAttachment,4,8.8525564803805,Clean
NetworkAudio,5,8.8525564803805,Clean
NetworkBehaviour,4,8.8525564803805,Clean
PropertyEventHandler,5,8.8525564803805,Clean
NetworkObject,8,8.8525564803805,Clean
UpdateMode,1,8.8525564803805,Clean
ComponentInterpolator,7,8.8525564803805,Clean
State,2,8.8525564803805,Clean
PhotonViewLink,2,8.8525564803805,Clean
NetworkGrabManager,9,8.8525564803805,Fault_proner
NetworkSnapManager,9,8.8525564803805,Fault_proner
AudioManager,7,8.8525564803805,Clean
AvatarHMDSyncAction,6,8.8525564803805,Clean
AvatarSpawnManager,6,8.8525564803805,Clean
Billboard,1,8.8525564803805,Clean
Bullet,4,8.8525564803805,Clean
EnableOnWake,1,8.8525564803805,Clean
Gun,5,8.8525564803805,Clean
MyNetworkAudio,3,8.8525564803805,Clean
NetworkConnectManager,6,8.8525564803805,Clean
PanoramaHeadFader,5,8.8525564803805,Clean
PanoramaSwitcher,6,8.8525564803805,Clean
SetupPlayerAvatar,6,8.8525564803805,Clean
SpeakerIconManager,4,8.8525564803805,Clean
Utils,5,8.8525564803805,Clean
NetworkGrabManagerEditor,2,8.8525564803805,Clean
NetworkSnapManagerEditor,2,8.8525564803805,Clean
