Component,Threshold,Cutoff,Status
CameraIntrinsics,5,7.623573296296584,Clean
KinectBuffer,7,7.623573296296584,Clean
PointF,5,7.623573296296584,Clean
AudioBeamSubFrame,8,7.623573296296584,Fault_proner
AudioBeamFrame,7,7.623573296296584,Clean
BodyFrame,8,7.623573296296584,Fault_proner
Body,7,7.623573296296584,Clean
ColorFrame,8,7.623573296296584,Fault_proner
DepthFrame,8,7.623573296296584,Fault_proner
BodyIndexFrame,8,7.623573296296584,Fault_proner
InfraredFrame,8,7.623573296296584,Fault_proner
KinectSensor,9,7.623573296296584,Fault_proner
LongExposureInfraredFrame,8,7.623573296296584,Fault_proner
CoordinateMapper,8,7.623573296296584,Fault_proner
Activity,0,7.623573296296584,Clean
Appearance,0,7.623573296296584,Clean
AudioBeam,7,7.623573296296584,Clean
AudioBeamFrameArrivedEventArgs,7,7.623573296296584,Clean
AudioBeamFrameList,6,7.623573296296584,Clean
AudioBeamFrameReader,9,7.623573296296584,Fault_proner
AudioBeamFrameReference,6,7.623573296296584,Clean
AudioBeamMode,1,7.623573296296584,Clean
AudioBodyCorrelation,6,7.623573296296584,Clean
AudioSource,7,7.623573296296584,Clean
BodyFrameArrivedEventArgs,7,7.623573296296584,Clean
BodyFrameReader,9,7.623573296296584,Fault_proner
BodyFrameReference,6,7.623573296296584,Clean
BodyFrameSource,8,7.623573296296584,Fault_proner
BodyIndexFrameArrivedEventArgs,7,7.623573296296584,Clean
BodyIndexFrameReader,9,7.623573296296584,Fault_proner
BodyIndexFrameReference,6,7.623573296296584,Clean
BodyIndexFrameSource,7,7.623573296296584,Clean
CameraSpacePoint,4,7.623573296296584,Clean
ColorCameraSettings,6,7.623573296296584,Clean
ColorFrameArrivedEventArgs,7,7.623573296296584,Clean
ColorFrameReader,9,7.623573296296584,Fault_proner
ColorFrameReference,6,7.623573296296584,Clean
ColorFrameSource,8,7.623573296296584,Fault_proner
ColorImageFormat,1,7.623573296296584,Clean
ColorSpacePoint,4,7.623573296296584,Clean
CoordinateMappingChangedEventArgs,6,7.623573296296584,Clean
DepthFrameArrivedEventArgs,7,7.623573296296584,Clean
DepthFrameReader,9,7.623573296296584,Fault_proner
DepthFrameReference,6,7.623573296296584,Clean
DepthFrameSource,8,7.623573296296584,Fault_proner
DepthSpacePoint,4,7.623573296296584,Clean
DetectionResult,0,7.623573296296584,Clean
Expression,0,7.623573296296584,Clean
FrameCapturedEventArgs,7,7.623573296296584,Clean
FrameCapturedStatus,0,7.623573296296584,Clean
FrameDescription,7,7.623573296296584,Clean
FrameEdges,0,7.623573296296584,Clean
FrameSourceTypes,1,7.623573296296584,Clean
HandState,0,7.623573296296584,Clean
InfraredFrameArrivedEventArgs,7,7.623573296296584,Clean
InfraredFrameReader,9,7.623573296296584,Fault_proner
InfraredFrameReference,6,7.623573296296584,Clean
InfraredFrameSource,7,7.623573296296584,Clean
IsAvailableChangedEventArgs,7,7.623573296296584,Clean
Joint,4,7.623573296296584,Clean
JointOrientation,4,7.623573296296584,Clean
JointType,1,7.623573296296584,Clean
KinectAudioCalibrationState,0,7.623573296296584,Clean
KinectCapabilities,0,7.623573296296584,Clean
KinectUnityAddinUtils,0,7.623573296296584,Clean
LongExposureInfraredFrameArrivedEventArgs,7,7.623573296296584,Clean
LongExposureInfraredFrameReader,9,7.623573296296584,Fault_proner
LongExposureInfraredFrameReference,6,7.623573296296584,Clean
LongExposureInfraredFrameSource,7,7.623573296296584,Clean
MultiSourceFrame,7,7.623573296296584,Clean
MultiSourceFrameArrivedEventArgs,7,7.623573296296584,Clean
MultiSourceFrameReader,9,7.623573296296584,Fault_proner
MultiSourceFrameReference,6,7.623573296296584,Clean
TrackingConfidence,0,7.623573296296584,Clean
TrackingState,1,7.623573296296584,Clean
Vector4,4,7.623573296296584,Clean
"CollectionMap<TKey,TValue>",0,7.623573296296584,Clean
EventPump,7,7.623573296296584,Clean
ExceptionHelper,2,7.623573296296584,Clean
INativeWrapper,3,7.623573296296584,Clean
NativeObjectCache,5,7.623573296296584,Clean
NativeWrapper,1,7.623573296296584,Clean
SmartGCHandle,3,7.623573296296584,Clean
"ThreadSafeDictionary<TKey,TValue>",3,7.623573296296584,Clean
PropertyChangedEventArgs,7,7.623573296296584,Clean
Complex,6,7.623573296296584,Clean
Matrix,7,7.623573296296584,Clean
DefinitenessType,1,7.623573296296584,Clean
Trigger,0,7.623573296296584,Clean
Direction,0,7.623573296296584,Clean
EnableCondition,0,7.623573296296584,Clean
DisableCondition,0,7.623573296296584,Clean
PSMoveSharpConstants,4,7.623573296296584,Clean
Float4,3,7.623573296296584,Clean
NetworkWriterHelper,1,7.623573296296584,Clean
NetworkReaderHelper,6,7.623573296296584,Clean
PSMoveSharpServerConfig,3,7.623573296296584,Clean
PSMoveSharpStatus,4,7.623573296296584,Clean
PSMoveSharpPadData,3,7.623573296296584,Clean
PSMoveSharpGemState,4,7.623573296296584,Clean
PSMoveSharpImageState,4,7.623573296296584,Clean
PSMoveSharpPointerState,4,7.623573296296584,Clean
PSMoveSharpNavInfo,4,7.623573296296584,Clean
PSMoveSharpNavPadData,4,7.623573296296584,Clean
PSMoveSharpSphereState,4,7.623573296296584,Clean
PSMoveSharpCameraState,4,7.623573296296584,Clean
PSMoveSharpPositionPointerState,4,7.623573296296584,Clean
PSMoveSharpCameraFrameSlice,3,7.623573296296584,Clean
PSMoveSharpCameraFrameStateCollector,8,7.623573296296584,Fault_proner
PSMoveSharpCameraFrameState,7,7.623573296296584,Clean
PSMoveSharpState,5,7.623573296296584,Clean
PSMoveClient,6,7.623573296296584,Clean
ClientRequest,1,7.623573296296584,Clean
PSMoveClientThreadedRead,7,7.623573296296584,Clean
UdpState,2,7.623573296296584,Clean
BodyCollider,0,7.623573296296584,Clean
CircularDrive,6,7.623573296296584,Clean
Axis_t,0,7.623573296296584,Clean
ComplexThrowable,6,7.623573296296584,Clean
AttachMode,1,7.623573296296584,Clean
ControllerHoverHighlight,7,7.623573296296584,Clean
CustomEvents,0,7.623573296296584,Clean
UnityEventSingleFloat,0,7.623573296296584,Clean
UnityEventHand,1,7.623573296296584,Clean
DebugUI,2,7.623573296296584,Clean
DestroyOnDetachedFromHand,1,7.623573296296584,Clean
DestroyOnParticleSystemDeath,0,7.623573296296584,Clean
DestroyOnTriggerEnter,0,7.623573296296584,Clean
DistanceHaptics,2,7.623573296296584,Clean
DontDestroyOnLoad,0,7.623573296296584,Clean
EnumFlags,1,7.623573296296584,Clean
EnumFlagsPropertyDrawer,0,7.623573296296584,Clean
FallbackCameraController,5,7.623573296296584,Clean
Hand,9,7.623573296296584,Fault_proner
HandType,1,7.623573296296584,Clean
AttachmentFlags,1,7.623573296296584,Clean
AttachedObject,3,7.623573296296584,Clean
HandEditor,2,7.623573296296584,Clean
HapticRack,6,7.623573296296584,Clean
HideOnHandFocusLost,1,7.623573296296584,Clean
IgnoreHovering,1,7.623573296296584,Clean
InputModule,6,7.623573296296584,Clean
Interactable,2,7.623573296296584,Clean
InteractableButtonEvents,5,7.623573296296584,Clean
InteractableHoverEvents,4,7.623573296296584,Clean
ItemPackage,4,7.623573296296584,Clean
ItemPackageType,1,7.623573296296584,Clean
ItemPackageReference,2,7.623573296296584,Clean
ItemPackageSpawner,7,7.623573296296584,Clean
LinearAnimation,5,7.623573296296584,Clean
LinearAnimator,5,7.623573296296584,Clean
LinearAudioPitch,6,7.623573296296584,Clean
LinearBlendshape,4,7.623573296296584,Clean
LinearDisplacement,3,7.623573296296584,Clean
LinearDrive,6,7.623573296296584,Clean
LinearMapping,1,7.623573296296584,Clean
Player,9,7.623573296296584,Fault_proner
PlaySound,7,7.623573296296584,Clean
SeeThru,5,7.623573296296584,Clean
SleepOnAwake,0,7.623573296296584,Clean
SoundDeparent,0,7.623573296296584,Clean
SoundPlayOneshot,8,7.623573296296584,Fault_proner
SpawnAndAttachAfterControllerIsTracking,2,7.623573296296584,Clean
SpawnAndAttachToHand,2,7.623573296296584,Clean
SpawnRenderModel,5,7.623573296296584,Clean
Throwable,6,7.623573296296584,Clean
UIElement,5,7.623573296296584,Clean
UIElementEditor,1,7.623573296296584,Clean
