Component,Threshold,Cutoff,Status
FollowAI,7,7.844771241830065,Clean
VehicleWaypoint,0,7.844771241830065,Clean
BasicCameraInput,1,7.844771241830065,Clean
CameraControl,8,7.844771241830065,Fault_proner
DetachablePart,8,7.844771241830065,Fault_proner
PartJoint,3,7.844771241830065,Clean
ShatterPart,7,7.844771241830065,Clean
VehicleDamage,7,7.844771241830065,Clean
meshVerts,0,7.844771241830065,Clean
PerformanceStats,2,7.844771241830065,Clean
VehicleMenu,7,7.844771241830065,Clean
ContinuousTransmission,6,7.844771241830065,Clean
DriveForce,4,7.844771241830065,Clean
GasMotor,9,7.844771241830065,Fault_proner
GearboxTransmission,9,7.844771241830065,Fault_proner
Gear,1,7.844771241830065,Clean
Motor,9,7.844771241830065,Fault_proner
Transmission,9,7.844771241830065,Fault_proner
Wheel,8,7.844771241830065,Fault_proner
SlipDependenceMode,0,7.844771241830065,Clean
WheelContact,3,7.844771241830065,Clean
DetachablePartEditor,4,7.844771241830065,Clean
GasMotorEditor,4,7.844771241830065,Clean
GearboxTransmissionEditor,2,7.844771241830065,Clean
GroundSurfaceInstanceEditor,2,7.844771241830065,Clean
HoverMotorEditor,4,7.844771241830065,Clean
HoverWheelEditor,3,7.844771241830065,Clean
PropertyToggleSetterEditor,2,7.844771241830065,Clean
SuspensionEditor,4,7.844771241830065,Clean
SuspensionPartEditor,2,7.844771241830065,Clean
TerrainSurfaceEditor,5,7.844771241830065,Clean
VehicleParentEditor,4,7.844771241830065,Clean
WheelEditor,3,7.844771241830065,Clean
LightController,6,7.844771241830065,Clean
TireMarkCreate,6,7.844771241830065,Clean
TireMark,0,7.844771241830065,Clean
TireScreech,4,7.844771241830065,Clean
VehicleLight,5,7.844771241830065,Clean
GroundSurfaceInstance,2,7.844771241830065,Clean
GroundSurfaceMaster,1,7.844771241830065,Clean
GroundSurface,3,7.844771241830065,Clean
TerrainSurface,6,7.844771241830065,Clean
HoverMotor,4,7.844771241830065,Clean
HoverSteer,5,7.844771241830065,Clean
HoverWheel,8,7.844771241830065,Fault_proner
HoverContact,3,7.844771241830065,Clean
BasicInput,5,7.844771241830065,Clean
MobileInput,6,7.844771241830065,Clean
MobileInputGet,4,7.844771241830065,Clean
GlobalControl,5,7.844771241830065,Clean
TimeMaster,3,7.844771241830065,Clean
F,4,7.844771241830065,Clean
GizmosExtra,1,7.844771241830065,Clean
MeshUtil,2,7.844771241830065,Clean
FlipControl,6,7.844771241830065,Clean
StuntDetect,6,7.844771241830065,Clean
StuntManager,2,7.844771241830065,Clean
Stunt,4,7.844771241830065,Clean
PropertyToggleSetter,7,7.844771241830065,Clean
PropertyTogglePreset,0,7.844771241830065,Clean
IndividualPreset,0,7.844771241830065,Clean
Suspension,8,7.844771241830065,Fault_proner
SuspensionPart,7,7.844771241830065,Clean
SuspensionPropertyToggle,5,7.844771241830065,Clean
SuspensionToggledProperty,1,7.844771241830065,Clean
Properties,0,7.844771241830065,Clean
SteeringControl,5,7.844771241830065,Clean
VehicleAssist,7,7.844771241830065,Clean
VehicleBalance,6,7.844771241830065,Clean
VehicleDebug,4,7.844771241830065,Clean
VehicleParent,8,7.844771241830065,Fault_proner
WheelCheckGroup,5,7.844771241830065,Clean
