Component,Threshold,Cutoff,Status
JSConstructor,0,7.221590371599832,Clean
JSFunction,1,7.221590371599832,Clean
JSGetter,1,7.221590371599832,Clean
JSSetter,1,7.221590371599832,Clean
JSStaticFunction,1,7.221590371599832,Clean
CanBeNullAttribute,0,7.221590371599832,Clean
NotNullAttribute,1,7.221590371599832,Clean
StringFormatMethodAttribute,1,7.221590371599832,Clean
InvokerParameterNameAttribute,0,7.221590371599832,Clean
NotifyPropertyChangedInvocatorAttribute,1,7.221590371599832,Clean
ContractAnnotationAttribute,1,7.221590371599832,Clean
LocalizationRequiredAttribute,1,7.221590371599832,Clean
CannotApplyEqualityOperatorAttribute,0,7.221590371599832,Clean
BaseTypeRequiredAttribute,1,7.221590371599832,Clean
UsedImplicitlyAttribute,2,7.221590371599832,Clean
MeansImplicitUseAttribute,2,7.221590371599832,Clean
ImplicitUseKindFlags,0,7.221590371599832,Clean
ImplicitUseTargetFlags,0,7.221590371599832,Clean
PublicAPIAttribute,1,7.221590371599832,Clean
InstantHandleAttribute,0,7.221590371599832,Clean
PureAttribute,0,7.221590371599832,Clean
PathReferenceAttribute,2,7.221590371599832,Clean
AspMvcAreaMasterLocationFormatAttribute,0,7.221590371599832,Clean
AspMvcAreaPartialViewLocationFormatAttribute,0,7.221590371599832,Clean
AspMvcAreaViewLocationFormatAttribute,0,7.221590371599832,Clean
AspMvcMasterLocationFormatAttribute,0,7.221590371599832,Clean
AspMvcPartialViewLocationFormatAttribute,0,7.221590371599832,Clean
AspMvcViewLocationFormatAttribute,0,7.221590371599832,Clean
AspMvcActionAttribute,1,7.221590371599832,Clean
AspMvcAreaAttribute,2,7.221590371599832,Clean
AspMvcControllerAttribute,1,7.221590371599832,Clean
AspMvcMasterAttribute,0,7.221590371599832,Clean
AspMvcModelTypeAttribute,0,7.221590371599832,Clean
AspMvcPartialViewAttribute,1,7.221590371599832,Clean
AspMvcSupressViewErrorAttribute,0,7.221590371599832,Clean
AspMvcDisplayTemplateAttribute,0,7.221590371599832,Clean
AspMvcEditorTemplateAttribute,0,7.221590371599832,Clean
AspMvcTemplateAttribute,0,7.221590371599832,Clean
AspMvcViewAttribute,1,7.221590371599832,Clean
AspMvcActionSelectorAttribute,0,7.221590371599832,Clean
HtmlElementAttributesAttribute,1,7.221590371599832,Clean
HtmlAttributeValueAttribute,1,7.221590371599832,Clean
RazorSectionAttribute,0,7.221590371599832,Clean
Arguments,7,7.221590371599832,Clean
BaseFunction,10,7.221590371599832,Fault_proner
BoundFunction,6,7.221590371599832,Clean
Callable,2,7.221590371599832,Clean
ClassCache,6,7.221590371599832,Clean
ClassShutter,2,7.221590371599832,Clean
CodeGenerator,6,7.221590371599832,Clean
BigIntegerEx,1,7.221590371599832,Clean
TransformerException,0,7.221590371599832,Clean
OutputKeys,0,7.221590371599832,Clean
StreamResult,0,7.221590371599832,Clean
DOMSource,0,7.221590371599832,Clean
BitArrayEx,0,7.221590371599832,Clean
CharEx,1,7.221590371599832,Clean
MethodBaseEx,1,7.221590371599832,Clean
InstanceIdInfo,2,7.221590371599832,Clean
LanguageFeatures,2,7.221590371599832,Clean
LanguageVersion,1,7.221590371599832,Clean
PropertyAttributes,1,7.221590371599832,Clean
TypeEx,1,7.221590371599832,Clean
ClassLoader,1,7.221590371599832,Clean
CompilerEnvirons,6,7.221590371599832,Clean
ConstProperties,1,7.221590371599832,Clean
Context,9,7.221590371599832,Fault_proner
ClassShutterSetter,1,7.221590371599832,Clean
_ClassShutterSetter_1970,2,7.221590371599832,Clean
ContextFactory,8,7.221590371599832,Fault_proner
Listener,1,7.221590371599832,Clean
GlobalSetter,1,7.221590371599832,Clean
