Component,Threshold,Cutoff,Status
AAMode,1,8.130369818173545,Clean
Antialiasing,9,8.130369818173545,Fault_proner
Bloom,9,8.130369818173545,Fault_proner
LensFlareStyle,1,8.130369818173545,Clean
TweakMode,1,8.130369818173545,Clean
HDRBloomMode,1,8.130369818173545,Clean
BloomScreenBlendMode,1,8.130369818173545,Clean
BloomQuality,1,8.130369818173545,Clean
LensflareStyle34,1,8.130369818173545,Clean
TweakMode34,1,8.130369818173545,Clean
BloomAndFlares,8,8.130369818173545,Clean
BloomOptimized,7,8.130369818173545,Clean
Resolution,1,8.130369818173545,Clean
BlurType,1,8.130369818173545,Clean
Blur,6,8.130369818173545,Clean
BlurOptimized,8,8.130369818173545,Clean
CameraMotionBlur,8,8.130369818173545,Clean
MotionBlurFilter,1,8.130369818173545,Clean
ColorCorrectionCurves,9,8.130369818173545,Fault_proner
ColorCorrectionMode,1,8.130369818173545,Clean
ColorCorrectionLookup,8,8.130369818173545,Clean
ColorCorrectionRamp,2,8.130369818173545,Clean
ContrastEnhance,4,8.130369818173545,Clean
ContrastStretch,6,8.130369818173545,Clean
CreaseShading,4,8.130369818173545,Clean
DepthOfField,8,8.130369818173545,Clean
BlurSampleCount,1,8.130369818173545,Clean
DepthOfFieldDeprecated,8,8.130369818173545,Clean
Dof34QualitySetting,1,8.130369818173545,Clean
DofResolution,1,8.130369818173545,Clean
DofBlurriness,1,8.130369818173545,Clean
BokehDestination,1,8.130369818173545,Clean
EdgeDetection,7,8.130369818173545,Clean
EdgeDetectMode,1,8.130369818173545,Clean
Fisheye,3,8.130369818173545,Clean
GlobalFog,6,8.130369818173545,Clean
Grayscale,2,8.130369818173545,Clean
ImageEffectBase,4,8.130369818173545,Clean
ImageEffects,3,8.130369818173545,Clean
MotionBlur,7,8.130369818173545,Clean
NoiseAndGrain,7,8.130369818173545,Clean
NoiseAndScratches,6,8.130369818173545,Clean
PostEffectsBase,7,8.130369818173545,Clean
PostEffectsHelper,3,8.130369818173545,Clean
Quads,5,8.130369818173545,Clean
ScreenOverlay,4,8.130369818173545,Clean
OverlayBlendMode,1,8.130369818173545,Clean
ScreenSpaceAmbientObscurance,6,8.130369818173545,Clean
ScreenSpaceAmbientOcclusion,6,8.130369818173545,Clean
SSAOSamples,1,8.130369818173545,Clean
SepiaTone,1,8.130369818173545,Clean
SunShafts,7,8.130369818173545,Clean
SunShaftsResolution,1,8.130369818173545,Clean
ShaftsScreenBlendMode,1,8.130369818173545,Clean
TiltShift,6,8.130369818173545,Clean
TiltShiftMode,1,8.130369818173545,Clean
TiltShiftQuality,1,8.130369818173545,Clean
Tonemapping,9,8.130369818173545,Fault_proner
TonemapperType,1,8.130369818173545,Clean
AdaptiveTexSize,1,8.130369818173545,Clean
Triangles,3,8.130369818173545,Clean
Twirl,4,8.130369818173545,Clean
VignetteAndChromaticAberration,6,8.130369818173545,Clean
AberrationMode,1,8.130369818173545,Clean
Vortex,4,8.130369818173545,Clean
Ack,5,8.130369818173545,Clean
Decoder,4,8.130369818173545,Clean
Encoder,3,8.130369818173545,Clean
EnginePacketType,1,8.130369818173545,Clean
Packet,6,8.130369818173545,Clean
Parser,2,8.130369818173545,Clean
SocketIOComponent,8,8.130369818173545,Clean
SocketIOEvent,4,8.130369818173545,Clean
SocketIOException,2,8.130369818173545,Clean
SocketPacketType,1,8.130369818173545,Clean
ByteOrder,1,8.130369818173545,Clean
CloseEventArgs,5,8.130369818173545,Clean
CloseStatusCode,2,8.130369818173545,Clean
CompressionMethod,1,8.130369818173545,Clean
ErrorEventArgs,2,8.130369818173545,Clean
Ext,5,8.130369818173545,Clean
Fin,1,8.130369818173545,Clean
HandshakeBase,7,8.130369818173545,Clean
HandshakeRequest,9,8.130369818173545,Fault_proner
HandshakeResponse,8,8.130369818173545,Clean
LogData,5,8.130369818173545,Clean
Logger,8,8.130369818173545,Clean
LogLevel,1,8.130369818173545,Clean
Mask,1,8.130369818173545,Clean
MessageEventArgs,6,8.130369818173545,Clean
Opcode,1,8.130369818173545,Clean
PayloadData,8,8.130369818173545,Clean
Rsv,1,8.130369818173545,Clean
WebSocket,8,8.130369818173545,Clean
WebSocketException,5,8.130369818173545,Clean
WebSocketFrame,8,8.130369818173545,Clean
WebSocketState,1,8.130369818173545,Clean
WebSocketStream,8,8.130369818173545,Clean
AuthenticationBase,6,8.130369818173545,Clean
AuthenticationChallenge,7,8.130369818173545,Clean
AuthenticationResponse,7,8.130369818173545,Clean
AuthenticationSchemes,1,8.130369818173545,Clean
Chunk,3,8.130369818173545,Clean
ChunkedRequestStream,8,8.130369818173545,Clean
ChunkStream,8,8.130369818173545,Clean
Cookie,7,8.130369818173545,Clean
CookieCollection,7,8.130369818173545,Clean
CookieException,4,8.130369818173545,Clean
EndPointListener,8,8.130369818173545,Clean
EndPointManager,6,8.130369818173545,Clean
HttpBasicIdentity,2,8.130369818173545,Clean
HttpConnection,8,8.130369818173545,Clean
HttpDigestIdentity,4,8.130369818173545,Clean
HttpHeaderInfo,6,8.130369818173545,Clean
HttpHeaderType,1,8.130369818173545,Clean
HttpListener,8,8.130369818173545,Clean
HttpListenerContext,7,8.130369818173545,Clean
HttpListenerException,4,8.130369818173545,Clean
HttpListenerPrefixCollection,7,8.130369818173545,Clean
HttpListenerRequest,8,8.130369818173545,Clean
HttpListenerResponse,8,8.130369818173545,Clean
HttpStatusCode,2,8.130369818173545,Clean
HttpStreamAsyncResult,6,8.130369818173545,Clean
HttpUtility,8,8.130369818173545,Clean
