Component,Threshold,Cutoff,Status
InvokeTmxIfConditionCommand,2,9.404364445734746,Clean
ExportTmxTestSettingsCommand,2,9.404364445734746,Clean
ImportTmxTestSettingsCommand,3,9.404364445734746,Clean
CloseTmxTestDBCommand,4,9.404364445734746,Clean
NewTmxTestDBCommand,2,9.404364445734746,Clean
OpenTmxTestDBCommand,2,9.404364445734746,Clean
GetTestResultsFromCollectionsCommand,4,9.404364445734746,Clean
GetTestResultsFromSearchCommand,3,9.404364445734746,Clean
GetTestResultsViaDataSetCommand,3,9.404364445734746,Clean
StartTmxLoggingCommand,0,9.404364445734746,Clean
AddTmxTestBucketCommand,1,9.404364445734746,Clean
AddTmxTestConstantCommand,1,9.404364445734746,Clean
GetTmxTestBucketCommand,3,9.404364445734746,Clean
GetTmxTestConstantValueCommand,1,9.404364445734746,Clean
RemoveTmxTestBucketCommand,1,9.404364445734746,Clean
RemoveTmxTestConstantCommand,1,9.404364445734746,Clean
SetTmxTestBucketCommand,3,9.404364445734746,Clean
SetTmxTestConstantValueCommand,1,9.404364445734746,Clean
GetTmxTestResultDetailsCommand,3,9.404364445734746,Clean
GetTmxTestResultStatusCommand,3,9.404364445734746,Clean
GetTmxTestScenarioStatusCommand,4,9.404364445734746,Clean
GetTmxTestStatisticsCommand,3,9.404364445734746,Clean
GetTmxTestSuiteStatusCommand,4,9.404364445734746,Clean
UpdateTmxTestStatisticsCommand,4,9.404364445734746,Clean
AddTmxTestTaskResultCommand,5,9.404364445734746,Clean
ReceiveTmxTestReportCommand,3,9.404364445734746,Clean
SetTmxServerSettingsCommand,4,9.404364445734746,Clean
GetTmxCommonDataItemCommand,4,9.404364445734746,Clean
InvokeTmxTestTaskCommand,4,9.404364445734746,Clean
NewTmxTestRunCommand,5,9.404364445734746,Clean
ReceiveTmxTestResultsCommand,3,9.404364445734746,Clean
ReceiveTmxTestTaskCommand,8,9.404364445734746,Clean
RegisterTmxSystemUnderTestCommand,8,9.404364445734746,Clean
SendTmxCommonDataItemCommand,4,9.404364445734746,Clean
SendTmxDetailedStatusCommand,4,9.404364445734746,Clean
SendTmxFileSystemItemCommand,5,9.404364445734746,Clean
SendTmxTestTaskResultCommand,4,9.404364445734746,Clean
UnregisterTmxSystemUnderTestCommand,3,9.404364445734746,Clean
InvokeTmxTestCaseCommand,3,9.404364445734746,Clean
InvokeTmxTestScenarioCommand,3,9.404364445734746,Clean
InvokeTmxTestSuiteCommand,3,9.404364445734746,Clean
SetTmxTestCaseParametersCommand,2,9.404364445734746,Clean
SetTmxTestScenarioParametersCommand,2,9.404364445734746,Clean
SetTmxTestSuiteParametersCommand,2,9.404364445734746,Clean
BackupTmxTestResultsCommand,1,9.404364445734746,Clean
ExportTmxTestLogCommand,3,9.404364445734746,Clean
ExportTmxTestResultsCommand,4,9.404364445734746,Clean
ExportTmxTestSummaryCommand,3,9.404364445734746,Clean
ImportTmxTestResultsCommand,5,9.404364445734746,Clean
InitializeTmxResultsStorageCommand,5,9.404364445734746,Clean
RestoreTmxTestResultsCommand,1,9.404364445734746,Clean
SaveTmxTestScreenshotCommand,1,9.404364445734746,Clean
SearchTmxTestResultCommand,4,9.404364445734746,Clean
SearchTmxTestScenarioCommand,4,9.404364445734746,Clean
SearchTmxTestSuiteCommand,4,9.404364445734746,Clean
AddTmxSimpleTestResultCommand,8,9.404364445734746,Clean
AddTmxTestCaseCommand,2,9.404364445734746,Clean
GetTmxTestCaseCommand,1,9.404364445734746,Clean
NewTmxTestPlatformCommand,2,9.404364445734746,Clean
OpenTmxTestPlatformCommand,2,9.404364445734746,Clean
RemoveTmxTestCaseCommand,1,9.404364445734746,Clean
SetTmxCurrentTestResultCommand,8,9.404364445734746,Clean
SetTmxTestCaseCommand,1,9.404364445734746,Clean
AddTmxTestResultDetailCommand,4,9.404364445734746,Clean
AddTmxTestScenarioCommand,3,9.404364445734746,Clean
CloseTmxTestResultCommand,8,9.404364445734746,Clean
NewTmxTestSuiteCommand,2,9.404364445734746,Clean
OpenTmxTestScenarioCommand,4,9.404364445734746,Clean
OpenTmxTestSuiteCommand,2,9.404364445734746,Clean
ReceiveTmxCommonDataItemsCollection,3,9.404364445734746,Clean
GetTmxCurrentTestTaskCommand,3,9.404364445734746,Clean
ImportExportHelper,6,9.404364445734746,Clean
AssertionsCmdletBase,1,9.404364445734746,Clean
ClientCmdletBase,3,9.404364445734746,Clean
CommonCmdletBase,9,9.404364445734746,Clean
ConditionsCmdletBase,2,9.404364445734746,Clean
DatabaseCmdletBase,2,9.404364445734746,Clean
DatabaseFileCmdletBase,3,9.404364445734746,Clean
DatabaseFileOpenCmdletBase,3,9.404364445734746,Clean
TestBucketCmdletBase,5,9.404364445734746,Clean
TestCaseCmdletBase,4,9.404364445734746,Clean
TestConstantCmdletBase,3,9.404364445734746,Clean
TestResultsCmdletBase,2,9.404364445734746,Clean
TestStructureCmdletBase,3,9.404364445734746,Clean
ImportExportCmdletBase,9,9.404364445734746,Clean
SearchCmdletBase,6,9.404364445734746,Clean
ServerCmdletBase,4,9.404364445734746,Clean
SettingsCmdletBase,6,9.404364445734746,Clean
TestCaseExecCmdletBase,4,9.404364445734746,Clean
TestExecCmdletBase,7,9.404364445734746,Clean
TestScenarioExecCmdletBase,4,9.404364445734746,Clean
TestSuiteExecCmdletBase,4,9.404364445734746,Clean
TestResultStatusCmdletBase,3,9.404364445734746,Clean
AddScenarioCmdletBase,6,9.404364445734746,Clean
AddTestCaseCmdletBase,4,9.404364445734746,Clean
NewPlatformCmdletBase,5,9.404364445734746,Clean
NewSuiteCmdletBase,6,9.404364445734746,Clean
OpenScenarioCmdletBase,3,9.404364445734746,Clean
OpenSuiteCmdletBase,4,9.404364445734746,Clean
OpenTestCaseCmdletBase,1,9.404364445734746,Clean
PlatformCmdletBase,2,9.404364445734746,Clean
ScenarioCmdletBase,4,9.404364445734746,Clean
SuiteCmdletBase,1,9.404364445734746,Clean
TestResultCmdletBase,8,9.404364445734746,Clean
TestResultDetailCmdletBase,7,9.404364445734746,Clean
TmxNewLoggerCommand,4,9.404364445734746,Clean
TmxStartLoggingCommand,4,9.404364445734746,Clean
TmxGetTestResultDetailsCommand,6,9.404364445734746,Clean
TmxGetTestResultStatusCommand,6,9.404364445734746,Clean
TmxGetTestScenarioStatusCommand,6,9.404364445734746,Clean
TmxGetTestSuiteStatusCommand,6,9.404364445734746,Clean
AddTestTaskResultCommand,6,9.404364445734746,Clean
ReceiveCommonDataItemsCollectionCommand,6,9.404364445734746,Clean
ReceiveTestResportCommand,5,9.404364445734746,Clean
SetServerSettingsCommand,5,9.404364445734746,Clean
GetCurrentTestTaskCommand,5,9.404364445734746,Clean
GetCommonDataItemCommand,6,9.404364445734746,Clean
InvokeTestTaskCommand,6,9.404364445734746,Clean
NewTestRunCommand,5,9.404364445734746,Clean
ReceiveTestResultsCommand,5,9.404364445734746,Clean
ReceiveTestTaskCommand,6,9.404364445734746,Clean
RegisterSystemUnderTestCommand,6,9.404364445734746,Clean
SendCommonDataItemCommand,6,9.404364445734746,Clean
SendDetailedStatusCommand,6,9.404364445734746,Clean
SendFileSystemItemCommand,5,9.404364445734746,Clean
SendTestTaskResultCommand,6,9.404364445734746,Clean
UnregisterSystemUnderTestCommand,5,9.404364445734746,Clean
TmxInvokeTestCaseCommand,6,9.404364445734746,Clean
TmxInvokeTestScenarioCommand,6,9.404364445734746,Clean
TmxInvokeTestSuiteCommand,6,9.404364445734746,Clean
TmxAddSimpleTestResultCommand,6,9.404364445734746,Clean
TmxAddTestCaseCommand,6,9.404364445734746,Clean
TmxAddTestResultDetailCommand,4,9.404364445734746,Clean
TmxAddTestScenarioCommand,6,9.404364445734746,Clean
TmxCloseTestResultCommand,6,9.404364445734746,Clean
TmxGetTestCaseCommand,4,9.404364445734746,Clean
TmxNewTestPlatformCommand,6,9.404364445734746,Clean
