Component,Threshold,Cutoff,Status
UnityVectorExtension,6,7.619791666666666,Clean
UnityMatrixExtension,4,7.619791666666666,Clean
Utils,2,7.619791666666666,Clean
ButtonBase,9,7.619791666666666,Fault_proner
ButtonToggleBase,8,7.619791666666666,Fault_proner
DialGraphics,10,7.619791666666666,Fault_proner
DialModeBase,8,7.619791666666666,Fault_proner
HilightTextVolume,7,7.619791666666666,Clean
EventArg<T>,2,7.619791666666666,Clean
AnalogInteractionHandler,2,7.619791666666666,Clean
BinaryInteractionHandler,1,7.619791666666666,Clean
"DataBinder<WidgetType,PayloadType>",5,7.619791666666666,Clean
DataBinderSlider,1,7.619791666666666,Clean
DataBinderToggle,1,7.619791666666666,Clean
DataBinderDial,1,7.619791666666666,Clean
IDataBoundWidget,2,7.619791666666666,Clean
LeapPhysicsState,1,7.619791666666666,Clean
LeapPhysicsBase,8,7.619791666666666,Fault_proner
LeapPhysicsSpring,9,7.619791666666666,Fault_proner
SliderBase,8,7.619791666666666,Fault_proner
Direction,1,7.619791666666666,Clean
Status,1,7.619791666666666,Clean
SystemWipeInfo,3,7.619791666666666,Clean
SystemWipeRecognizerNative,4,7.619791666666666,Clean
