Component,Threshold,Cutoff,Status
GridInformationType,1,9.002431837301351,Clean
GridInformation,7,9.002431837301351,Clean
GridInformationValue,2,9.002431837301351,Clean
GridInformationKey,2,9.002431837301351,Clean
AnimatedTile,5,9.002431837301351,Clean
AnimatedTileEditor,2,9.002431837301351,Clean
PipelineTile,5,9.002431837301351,Clean
PipelineTileEditor,2,9.002431837301351,Clean
RandomTile,2,9.002431837301351,Clean
RandomTileEditor,2,9.002431837301351,Clean
TerrainTile,5,9.002431837301351,Clean
TerrainTileEditor,2,9.002431837301351,Clean
RuleTile,7,9.002431837301351,Clean
TilingRule,4,9.002431837301351,Clean
Transform,1,9.002431837301351,Clean
Neighbor,1,9.002431837301351,Clean
OutputSprite,1,9.002431837301351,Clean
CinemachineBlendListCamera,10,9.002431837301351,Fault_proner
Instruction,3,9.002431837301351,Clean
CinemachineBrain,9,9.002431837301351,Clean
UpdateMethod,1,9.002431837301351,Clean
BrainEvent,1,9.002431837301351,Clean
VcamEvent,1,9.002431837301351,Clean
OverrideStackFrame,4,9.002431837301351,Clean
StaticPointVirtualCamera,5,9.002431837301351,Clean
BlendSourceVirtualCamera,5,9.002431837301351,Clean
CinemachineClearShot,10,9.002431837301351,Fault_proner
Pair,2,9.002431837301351,Clean
CinemachineCollider,10,9.002431837301351,Fault_proner
ResolutionStrategy,1,9.002431837301351,Clean
VcamExtraState,3,9.002431837301351,Clean
CinemachineConfiner,9,9.002431837301351,Clean
Mode,1,9.002431837301351,Clean
CinemachineDollyCart,6,9.002431837301351,Clean
CinemachineExternalCamera,5,9.002431837301351,Clean
CinemachineFollowZoom,6,9.002431837301351,Clean
CinemachineFreeLook,10,9.002431837301351,Fault_proner
Orbit,3,9.002431837301351,Clean
CinemachineMixingCamera,10,9.002431837301351,Fault_proner
CinemachinePath,9,9.002431837301351,Clean
Waypoint,4,9.002431837301351,Clean
CinemachinePipeline,0,9.002431837301351,Clean
CinemachineSmoothPath,10,9.002431837301351,Fault_proner
CinemachineStateDrivenCamera,10,9.002431837301351,Fault_proner
ParentHash,2,9.002431837301351,Clean
CinemachineTargetGroup,8,9.002431837301351,Clean
Target,3,9.002431837301351,Clean
PositionMode,0,9.002431837301351,Clean
RotationMode,0,9.002431837301351,Clean
CinemachineVirtualCamera,10,9.002431837301351,Fault_proner
CinemachineBasicMultiChannelPerlin,8,9.002431837301351,Clean
CinemachineComposer,11,9.002431837301351,Fault_proner
CinemachineFramingTransposer,9,9.002431837301351,Clean
FramingMode,1,9.002431837301351,Clean
AdjustmentMode,1,9.002431837301351,Clean
CinemachineGroupComposer,9,9.002431837301351,Clean
CinemachineHardLockToTarget,3,9.002431837301351,Clean
CinemachineHardLookAt,2,9.002431837301351,Clean
CinemachineOrbitalTransposer,10,9.002431837301351,Fault_proner
Heading,4,9.002431837301351,Clean
HeadingDefinition,1,9.002431837301351,Clean
Recentering,5,9.002431837301351,Clean
HeadingTracker,7,9.002431837301351,Clean
Item,2,9.002431837301351,Clean
CinemachinePOV,7,9.002431837301351,Clean
CinemachineSameAsFollowObject,3,9.002431837301351,Clean
CinemachineTrackedDolly,10,9.002431837301351,Fault_proner
CameraUpMode,1,9.002431837301351,Clean
AutoDolly,3,9.002431837301351,Clean
CinemachineTransposer,11,9.002431837301351,Fault_proner
BindingMode,1,9.002431837301351,Clean
AxisState,8,9.002431837301351,Clean
CameraState,9,9.002431837301351,Clean
CustomBlendable,2,9.002431837301351,Clean
CinemachineBlend,7,9.002431837301351,Clean
CinemachineBlendDefinition,5,9.002431837301351,Clean
Style,1,9.002431837301351,Clean
CinemachineBlenderSettings,6,9.002431837301351,Clean
CustomBlend,3,9.002431837301351,Clean
CinemachineComponentBase,8,9.002431837301351,Clean
CinemachineCore,9,9.002431837301351,Clean
Stage,1,9.002431837301351,Clean
UpdateStatus,5,9.002431837301351,Clean
UpdateFilter,1,9.002431837301351,Clean
CinemachineExtension,8,9.002431837301351,Clean
CinemachinePathBase,10,9.002431837301351,Fault_proner
Appearance,3,9.002431837301351,Clean
PositionUnits,1,9.002431837301351,Clean
LensSettingsPropertyAttribute,0,9.002431837301351,Clean
CinemachineBlendDefinitionPropertyAttribute,1,9.002431837301351,Clean
SaveDuringPlayAttribute,0,9.002431837301351,Clean
NoSaveDuringPlayAttribute,1,9.002431837301351,Clean
TagFieldAttribute,0,9.002431837301351,Clean
DocumentationSortingAttribute,1,9.002431837301351,Clean
Level,0,9.002431837301351,Clean
