Component,Threshold,Cutoff,Status
ControllerProviderFactory,1,7.472,Clean
DummyControllerProvider,2,7.472,Clean
EditorControllerProvider,4,7.472,Clean
EmulatorControllerProvider,7,7.472,Clean
MouseControllerProvider,8,7.472,Fault_proner
ControllerState,2,7.472,Clean
EmulatorClientSocketConnectionState,1,7.472,Clean
EmulatorClientSocket,6,7.472,Clean
EmulatorConfig,4,7.472,Clean
Mode,1,7.472,Clean
EmulatorGyroEvent,3,7.472,Clean
EmulatorAccelEvent,3,7.472,Clean
EmulatorTouchEvent,7,7.472,Clean
Action,1,7.472,Clean
Pointer,2,7.472,Clean
EmulatorOrientationEvent,3,7.472,Clean
EmulatorButtonEvent,3,7.472,Clean
ButtonCode,1,7.472,Clean
EmulatorManager,7,7.472,Clean
IControllerProvider,2,7.472,Clean
HeadsetProviderFactory,1,7.472,Clean
gvr_feature,0,7.472,Clean
gvr_property_type,0,7.472,Clean
gvr_value_type,0,7.472,Clean
gvr_recenter_flags,0,7.472,Clean
DummyHeadsetProvider,4,7.472,Clean
EditorHeadsetProvider,5,7.472,Clean
HeadsetState,2,7.472,Clean
IHeadsetProvider,3,7.472,Clean
InstantPreview,3,7.472,Clean
Resolutions,0,7.472,Clean
ResolutionSize,1,7.472,Clean
MultisampleCounts,0,7.472,Clean
BitRates,0,7.472,Clean
UnityRect,3,7.472,Clean
UnityEyeViews,3,7.472,Clean
IKeyboardProvider,3,7.472,Clean
KeyboardProviderFactory,1,7.472,Clean
AndroidNativeKeyboardProvider,7,7.472,Clean
gvr_clock_time_point,2,7.472,Clean
gvr_recti,3,7.472,Clean
DummyKeyboardProvider,4,7.472,Clean
EmulatorKeyboardProvider,6,7.472,Clean
GvrCursorHelper,1,7.472,Clean
PhoneEvent,8,7.472,Fault_proner
Types,1,7.472,Clean
Type,0,7.472,Clean
MotionEvent,8,7.472,Fault_proner
Pointer_duplicated,8,7.472,Fault_proner
Builder,7,7.472,Clean
GyroscopeEvent,8,7.472,Fault_proner
AccelerometerEvent,8,7.472,Fault_proner
DepthMapEvent,8,7.472,Fault_proner
OrientationEvent,8,7.472,Fault_proner
KeyEvent,8,7.472,Fault_proner
PhoneEvent_duplicated,9,7.472,Fault_proner
Types_duplicated,2,7.472,Clean
Type_duplicated,1,7.472,Clean
MotionEvent_duplicated,9,7.472,Fault_proner
Pointer_duplicated_duplicated,9,7.472,Fault_proner
Builder_duplicated,8,7.472,Fault_proner
GyroscopeEvent_duplicated,9,7.472,Fault_proner
AccelerometerEvent_duplicated,9,7.472,Fault_proner
DepthMapEvent_duplicated,9,7.472,Fault_proner
OrientationEvent_duplicated,9,7.472,Fault_proner
KeyEvent_duplicated,9,7.472,Fault_proner
Benchmark01,2,7.472,Clean
Benchmark01_UGUI,2,7.472,Clean
Benchmark02,2,7.472,Clean
Benchmark03,1,7.472,Clean
Benchmark04,2,7.472,Clean
CameraController,5,7.472,Clean
CameraModes,1,7.472,Clean
ObjectSpin,3,7.472,Clean
MotionType,1,7.472,Clean
ShaderPropAnimator,2,7.472,Clean
SimpleScript,0,7.472,Clean
SkewTextExample,4,7.472,Clean
TeleType,0,7.472,Clean
TextConsoleSimulator,2,7.472,Clean
TextMeshProFloatingText,5,7.472,Clean
TextMeshSpawner,3,7.472,Clean
TMP_ExampleScript_01,3,7.472,Clean
objectType,1,7.472,Clean
TMP_FrameRateCounter,4,7.472,Clean
FpsCounterAnchorPositions,1,7.472,Clean
TMP_TextEventCheck,4,7.472,Clean
TMP_TextInfoDebugTool,5,7.472,Clean
TMP_TextSelector_A,3,7.472,Clean
TMP_TextSelector_B,6,7.472,Clean
TMP_UiFrameRateCounter,4,7.472,Clean
TMPro_InstructionOverlay,3,7.472,Clean
VertexColorCycler,0,7.472,Clean
VertexJitter,6,7.472,Clean
VertexAnim,2,7.472,Clean
VertexShakeA,5,7.472,Clean
VertexShakeB,5,7.472,Clean
VertexZoom,5,7.472,Clean
WarpTextExample,3,7.472,Clean
TMP_DigitValidator,0,7.472,Clean
TMP_TextEventHandler,7,7.472,Clean
CharacterSelectionEvent,1,7.472,Clean
WordSelectionEvent,1,7.472,Clean
LineSelectionEvent,1,7.472,Clean
LinkSelectionEvent,1,7.472,Clean
