Component,Threshold,Cutoff,Status
ovrAvatarCapabilities,0,6.5074912097479505,Clean
ovrAvatarMessageType,0,6.5074912097479505,Clean
ovrAvatarMessage_AvatarSpecification,1,6.5074912097479505,Clean
ovrAvatarMessage_AssetLoaded,1,6.5074912097479505,Clean
ovrAvatarAssetType,0,6.5074912097479505,Clean
ovrAvatarMeshVertex,2,6.5074912097479505,Clean
ovrAvatarMeshAssetData,2,6.5074912097479505,Clean
ovrAvatarTextureFormat,0,6.5074912097479505,Clean
ovrAvatarTextureAssetData,2,6.5074912097479505,Clean
ovrAvatarRenderPartType,0,6.5074912097479505,Clean
ovrAvatarTransform,2,6.5074912097479505,Clean
ovrAvatarButton,0,6.5074912097479505,Clean
ovrAvatarTouch,0,6.5074912097479505,Clean
ovrAvatarHandInputState,2,6.5074912097479505,Clean
ovrAvatarComponent,2,6.5074912097479505,Clean
ovrAvatarBaseComponent,1,6.5074912097479505,Clean
ovrAvatarBodyComponent,2,6.5074912097479505,Clean
ovrAvatarControllerComponent,1,6.5074912097479505,Clean
ovrAvatarHandComponent,1,6.5074912097479505,Clean
ovrAvatarMaterialLayerBlendMode,0,6.5074912097479505,Clean
ovrAvatarMaterialLayerSampleMode,0,6.5074912097479505,Clean
ovrAvatarMaterialMaskType,0,6.5074912097479505,Clean
ovrAvatarMaterialLayerState,6,6.5074912097479505,Clean
ovrAvatarMaterialState,6,6.5074912097479505,Clean
ovrAvatarSkinnedMeshPose,2,6.5074912097479505,Clean
ovrAvatarVisibilityFlags,0,6.5074912097479505,Clean
ovrAvatarRenderPart_SkinnedMeshRender,2,6.5074912097479505,Clean
ovrAvatarRenderPart_SkinnedMeshRenderPBS,2,6.5074912097479505,Clean
ovrAvatarRenderPart_ProjectorRender,2,6.5074912097479505,Clean
ovrAvatarHandGesture,0,6.5074912097479505,Clean
CAPI,4,6.5074912097479505,Clean
BodyCollider,1,6.5074912097479505,Clean
CircularDrive,6,6.5074912097479505,Clean
Axis_t,0,6.5074912097479505,Clean
ComplexThrowable,6,6.5074912097479505,Clean
AttachMode,1,6.5074912097479505,Clean
ControllerHoverHighlight,7,6.5074912097479505,Fault_proner
CustomEvents,0,6.5074912097479505,Clean
UnityEventSingleFloat,0,6.5074912097479505,Clean
UnityEventHand,1,6.5074912097479505,Clean
DebugUI,4,6.5074912097479505,Clean
DestroyOnDetachedFromHand,1,6.5074912097479505,Clean
DestroyOnParticleSystemDeath,2,6.5074912097479505,Clean
DestroyOnTriggerEnter,2,6.5074912097479505,Clean
DistanceHaptics,3,6.5074912097479505,Clean
DontDestroyOnLoad,0,6.5074912097479505,Clean
EnumFlags,2,6.5074912097479505,Clean
EnumFlagsPropertyDrawer,1,6.5074912097479505,Clean
FallbackCameraController,5,6.5074912097479505,Clean
Hand,9,6.5074912097479505,Fault_proner
HandType,1,6.5074912097479505,Clean
AttachmentFlags,1,6.5074912097479505,Clean
AttachedObject,3,6.5074912097479505,Clean
HandEditor,4,6.5074912097479505,Clean
HapticRack,6,6.5074912097479505,Clean
HideOnHandFocusLost,1,6.5074912097479505,Clean
IgnoreHovering,1,6.5074912097479505,Clean
InputModule,6,6.5074912097479505,Clean
Interactable,4,6.5074912097479505,Clean
InteractableButtonEvents,5,6.5074912097479505,Clean
InteractableHoverEvents,6,6.5074912097479505,Clean
ItemPackage,4,6.5074912097479505,Clean
ItemPackageType,1,6.5074912097479505,Clean
ItemPackageReference,2,6.5074912097479505,Clean
ItemPackageSpawner,7,6.5074912097479505,Fault_proner
