Component,Threshold,Cutoff,Status
DestinationMarkerEventArgs,3,6.12718270480895,Clean
VRTK_DestinationMarker,8,6.12718270480895,Fault_proner
VRTK_WorldPointer,10,6.12718270480895,Fault_proner
pointerVisibilityStates,1,6.12718270480895,Clean
VRTK_PlayAreaCollider,5,6.12718270480895,Clean
VRTK_IndependentRadialMenuController,7,6.12718270480895,Fault_proner
RadialMenuController,6,6.12718270480895,Clean
VRTK_ContentHandler,4,6.12718270480895,Clean
VRTK_Button,7,6.12718270480895,Fault_proner
ButtonEvents,1,6.12718270480895,Clean
ButtonDirection,1,6.12718270480895,Clean
VRTK_Chest,7,6.12718270480895,Fault_proner
VRTK_Control,8,6.12718270480895,Fault_proner
Direction,1,6.12718270480895,Clean
ValueChangedEvent,1,6.12718270480895,Clean
DefaultControlEvents,2,6.12718270480895,Clean
ControlValueRange,2,6.12718270480895,Clean
VRTK_Door,7,6.12718270480895,Fault_proner
VRTK_Drawer,7,6.12718270480895,Fault_proner
VRTK_Knob,7,6.12718270480895,Fault_proner
KnobDirection,1,6.12718270480895,Clean
VRTK_Lever,7,6.12718270480895,Fault_proner
LeverDirection,1,6.12718270480895,Clean
VRTK_Slider,7,6.12718270480895,Fault_proner
Bezier,4,6.12718270480895,Clean
CurveGenerator,8,6.12718270480895,Fault_proner
BezierControlPointMode,1,6.12718270480895,Clean
FramsPerSecondViewer,4,6.12718270480895,Clean
Utilities,6,6.12718270480895,Clean
VRTK_ControllerTooltips,6,6.12718270480895,Clean
TooltipButtons,1,6.12718270480895,Clean
VRTK_EventSystemVRInput,6,6.12718270480895,Clean
VRTK_ObjectTooltip,6,6.12718270480895,Clean
VRTK_PlayerObject,2,6.12718270480895,Clean
ObjectTypes,1,6.12718270480895,Clean
VRTK_UIGraphicRaycaster,7,6.12718270480895,Fault_proner
VRGraphic,3,6.12718270480895,Clean
VRTK_BasicTeleport,8,6.12718270480895,Fault_proner
VRTK_BezierPointer,7,6.12718270480895,Fault_proner
VRTK_ControllerActions,6,6.12718270480895,Clean
ControllerInteractionEventArgs,3,6.12718270480895,Clean
VRTK_ControllerEvents,8,6.12718270480895,Fault_proner
ButtonAlias,1,6.12718270480895,Clean
VRTK_DeviceFinder,6,6.12718270480895,Clean
ControllerHand,1,6.12718270480895,Clean
HeadsetCollisionEventArgs,2,6.12718270480895,Clean
VRTK_HeadsetCollisionFade,7,6.12718270480895,Fault_proner
VRTK_HeightAdjustTeleport,7,6.12718270480895,Fault_proner
InteractableObjectEventArgs,1,6.12718270480895,Clean
VRTK_InteractableObject,9,6.12718270480895,Fault_proner
GrabAttachType,1,6.12718270480895,Clean
AllowedController,1,6.12718270480895,Clean
ControllerHideMode,1,6.12718270480895,Clean
VRTK_InteractGrab,8,6.12718270480895,Fault_proner
ObjectInteractEventArgs,2,6.12718270480895,Clean
VRTK_InteractTouch,8,6.12718270480895,Fault_proner
VRTK_InteractUse,8,6.12718270480895,Fault_proner
VRTK_ObjectAutoGrab,3,6.12718270480895,Clean
PlayerClimbEventArgs,2,6.12718270480895,Clean
VRTK_PlayerClimb,7,6.12718270480895,Fault_proner
PlayerPresenceEventArgs,1,6.12718270480895,Clean
VRTK_PlayerPresence,8,6.12718270480895,Fault_proner
VRTK_SimplePointer,7,6.12718270480895,Fault_proner
VRTK_Simulator,6,6.12718270480895,Clean
Keys,3,6.12718270480895,Clean
VRTK_TouchpadWalking,7,6.12718270480895,Fault_proner
UIPointerEventArgs,2,6.12718270480895,Clean
VRTK_UIPointer,8,6.12718270480895,Fault_proner
ActivationMethods,1,6.12718270480895,Clean
IVRSystem,3,6.12718270480895,Clean
IVRExtendedDisplay,1,6.12718270480895,Clean
IVRTrackedCamera,3,6.12718270480895,Clean
IVRApplications,3,6.12718270480895,Clean
IVRChaperone,3,6.12718270480895,Clean
IVRChaperoneSetup,3,6.12718270480895,Clean
IVRCompositor,3,6.12718270480895,Clean
IVROverlay,3,6.12718270480895,Clean
IVRRenderModels,3,6.12718270480895,Clean
IVRNotifications,1,6.12718270480895,Clean
IVRSettings,3,6.12718270480895,Clean
IVRScreenshots,3,6.12718270480895,Clean
IVRResources,1,6.12718270480895,Clean
CVRSystem,6,6.12718270480895,Clean
CVRExtendedDisplay,4,6.12718270480895,Clean
CVRTrackedCamera,6,6.12718270480895,Clean
CVRApplications,6,6.12718270480895,Clean
CVRChaperone,6,6.12718270480895,Clean
CVRChaperoneSetup,6,6.12718270480895,Clean
CVRCompositor,6,6.12718270480895,Clean
CVROverlay,6,6.12718270480895,Clean
CVRRenderModels,6,6.12718270480895,Clean
CVRNotifications,3,6.12718270480895,Clean
CVRSettings,6,6.12718270480895,Clean
CVRScreenshots,6,6.12718270480895,Clean
CVRResources,3,6.12718270480895,Clean
OpenVRInterop,4,6.12718270480895,Clean
EVREye,1,6.12718270480895,Clean
EGraphicsAPIConvention,1,6.12718270480895,Clean
EColorSpace,1,6.12718270480895,Clean
ETrackingResult,1,6.12718270480895,Clean
ETrackedDeviceClass,1,6.12718270480895,Clean
ETrackedControllerRole,1,6.12718270480895,Clean
ETrackingUniverseOrigin,1,6.12718270480895,Clean
ETrackedDeviceProperty,2,6.12718270480895,Clean
ETrackedPropertyError,1,6.12718270480895,Clean
EVRSubmitFlags,1,6.12718270480895,Clean
EVRState,0,6.12718270480895,Clean
EVREventType,2,6.12718270480895,Clean
EDeviceActivityLevel,1,6.12718270480895,Clean
EVRButtonId,1,6.12718270480895,Clean
EVRMouseButton,0,6.12718270480895,Clean
EVRControllerAxisType,1,6.12718270480895,Clean
EVRControllerEventOutputType,0,6.12718270480895,Clean
ECollisionBoundsStyle,0,6.12718270480895,Clean
EVROverlayError,1,6.12718270480895,Clean
EVRApplicationType,1,6.12718270480895,Clean
EVRFirmwareError,1,6.12718270480895,Clean
EVRNotificationError,1,6.12718270480895,Clean
EVRInitError,2,6.12718270480895,Clean
EVRScreenshotType,1,6.12718270480895,Clean
EVRScreenshotPropertyFilenames,1,6.12718270480895,Clean
EVRTrackedCameraError,1,6.12718270480895,Clean
EVRTrackedCameraFrameType,1,6.12718270480895,Clean
EVRApplicationError,1,6.12718270480895,Clean
EVRApplicationProperty,1,6.12718270480895,Clean
EVRApplicationTransitionState,1,6.12718270480895,Clean
ChaperoneCalibrationState,1,6.12718270480895,Clean
EChaperoneConfigFile,1,6.12718270480895,Clean
EChaperoneImportFlags,0,6.12718270480895,Clean
EVRCompositorError,1,6.12718270480895,Clean
VROverlayInputMethod,1,6.12718270480895,Clean
VROverlayTransformType,1,6.12718270480895,Clean
VROverlayFlags,1,6.12718270480895,Clean
EGamepadTextInputMode,0,6.12718270480895,Clean
EGamepadTextInputLineMode,0,6.12718270480895,Clean
EOverlayDirection,1,6.12718270480895,Clean
EVRRenderModelError,1,6.12718270480895,Clean
EVRComponentProperty,0,6.12718270480895,Clean
EVRNotificationType,1,6.12718270480895,Clean
EVRNotificationStyle,1,6.12718270480895,Clean
EVRSettingsError,1,6.12718270480895,Clean
EVRScreenshotError,1,6.12718270480895,Clean
VREvent_Data_t,3,6.12718270480895,Clean
HmdMatrix34_t,3,6.12718270480895,Clean
HmdMatrix44_t,3,6.12718270480895,Clean
HmdVector3_t,2,6.12718270480895,Clean
HmdVector4_t,2,6.12718270480895,Clean
HmdVector3d_t,1,6.12718270480895,Clean
HmdVector2_t,2,6.12718270480895,Clean
HmdQuaternion_t,2,6.12718270480895,Clean
HmdColor_t,3,6.12718270480895,Clean
HmdQuad_t,4,6.12718270480895,Clean
HmdRect2_t,3,6.12718270480895,Clean
DistortionCoordinates_t,3,6.12718270480895,Clean
Texture_t,3,6.12718270480895,Clean
TrackedDevicePose_t,4,6.12718270480895,Clean
VRTextureBounds_t,3,6.12718270480895,Clean
VREvent_Controller_t,0,6.12718270480895,Clean
VREvent_Mouse_t,1,6.12718270480895,Clean
VREvent_Scroll_t,1,6.12718270480895,Clean
VREvent_TouchPadMove_t,2,6.12718270480895,Clean
VREvent_Notification_t,1,6.12718270480895,Clean
VREvent_Process_t,1,6.12718270480895,Clean
VREvent_Overlay_t,0,6.12718270480895,Clean
VREvent_Status_t,0,6.12718270480895,Clean
VREvent_Keyboard_t,2,6.12718270480895,Clean
VREvent_Ipd_t,0,6.12718270480895,Clean
VREvent_Chaperone_t,1,6.12718270480895,Clean
VREvent_Reserved_t,1,6.12718270480895,Clean
VREvent_PerformanceTest_t,0,6.12718270480895,Clean
VREvent_SeatedZeroPoseReset_t,0,6.12718270480895,Clean
VREvent_Screenshot_t,1,6.12718270480895,Clean
VREvent_ScreenshotProgress_t,0,6.12718270480895,Clean
VREvent_ApplicationLaunch_t,1,6.12718270480895,Clean
VREvent_t,4,6.12718270480895,Clean
HiddenAreaMesh_t,2,6.12718270480895,Clean
VRControllerAxis_t,2,6.12718270480895,Clean
VRControllerState_t,4,6.12718270480895,Clean
Compositor_OverlaySettings,3,6.12718270480895,Clean
CameraVideoStreamFrameHeader_t,4,6.12718270480895,Clean
AppOverrideKeys_t,2,6.12718270480895,Clean
Compositor_FrameTiming,4,6.12718270480895,Clean
Compositor_CumulativeStats,3,6.12718270480895,Clean
VROverlayIntersectionParams_t,3,6.12718270480895,Clean
VROverlayIntersectionResults_t,4,6.12718270480895,Clean
RenderModel_ComponentState_t,3,6.12718270480895,Clean
RenderModel_Vertex_t,3,6.12718270480895,Clean
RenderModel_TextureMap_t,1,6.12718270480895,Clean
RenderModel_t,2,6.12718270480895,Clean
RenderModel_ControllerMode_State_t,1,6.12718270480895,Clean
NotificationBitmap_t,3,6.12718270480895,Clean
COpenVRContext,8,6.12718270480895,Fault_proner
OpenVR,9,6.12718270480895,Fault_proner
