Component,Threshold,Cutoff,Status
DataProtector,7,9.88505747126437,Clean
DataProtectorFactory,4,9.88505747126437,Clean
EntropyCreator,5,9.88505747126437,Clean
IDataProtector,4,9.88505747126437,Clean
IDataProtectorFactory,3,9.88505747126437,Clean
IEntropyCreator,3,9.88505747126437,Clean
ILocalMachineScopeStringEncryptor,4,9.88505747126437,Clean
ISecretHasher,3,9.88505747126437,Clean
LocalMachineScopeStringEncryptor,8,9.88505747126437,Clean
SecretHasher,7,9.88505747126437,Clean
ExtensionsForEnumerableOfT,4,9.88505747126437,Clean
ExtensionsForString,4,9.88505747126437,Clean
ExtensionsForT,4,9.88505747126437,Clean
IAdapter,1,9.88505747126437,Clean
IConverter,2,9.88505747126437,Clean
IHandler,4,9.88505747126437,Clean
ISystemClock,2,9.88505747126437,Clean
RealSystemClock,2,9.88505747126437,Clean
