Component,Threshold,Cutoff,Status
BodyCollider,1,8.41406355569569,Clean
CircularDrive,6,8.41406355569569,Clean
Axis_t,0,8.41406355569569,Clean
ComplexThrowable,6,8.41406355569569,Clean
AttachMode,1,8.41406355569569,Clean
ControllerHoverHighlight,7,8.41406355569569,Clean
CustomEvents,0,8.41406355569569,Clean
UnityEventSingleFloat,0,8.41406355569569,Clean
UnityEventHand,1,8.41406355569569,Clean
DebugUI,3,8.41406355569569,Clean
DestroyOnDetachedFromHand,1,8.41406355569569,Clean
DestroyOnParticleSystemDeath,1,8.41406355569569,Clean
DestroyOnTriggerEnter,2,8.41406355569569,Clean
DistanceHaptics,2,8.41406355569569,Clean
DontDestroyOnLoad,0,8.41406355569569,Clean
EnumFlags,2,8.41406355569569,Clean
EnumFlagsPropertyDrawer,1,8.41406355569569,Clean
FallbackCameraController,5,8.41406355569569,Clean
Hand,9,8.41406355569569,Fault_proner
HandType,1,8.41406355569569,Clean
AttachmentFlags,1,8.41406355569569,Clean
AttachedObject,3,8.41406355569569,Clean
HandEditor,4,8.41406355569569,Clean
HapticRack,6,8.41406355569569,Clean
HideOnHandFocusLost,1,8.41406355569569,Clean
IgnoreHovering,1,8.41406355569569,Clean
InputModule,6,8.41406355569569,Clean
Interactable,4,8.41406355569569,Clean
InteractableButtonEvents,5,8.41406355569569,Clean
InteractableHoverEvents,6,8.41406355569569,Clean
ItemPackage,4,8.41406355569569,Clean
ItemPackageType,1,8.41406355569569,Clean
ItemPackageReference,2,8.41406355569569,Clean
ItemPackageSpawner,7,8.41406355569569,Clean
LinearAnimation,6,8.41406355569569,Clean
LinearAnimator,6,8.41406355569569,Clean
LinearAudioPitch,6,8.41406355569569,Clean
LinearBlendshape,6,8.41406355569569,Clean
LinearDisplacement,5,8.41406355569569,Clean
LinearDrive,6,8.41406355569569,Clean
LinearMapping,1,8.41406355569569,Clean
Player,9,8.41406355569569,Fault_proner
PlaySound,7,8.41406355569569,Clean
SeeThru,5,8.41406355569569,Clean
SleepOnAwake,0,8.41406355569569,Clean
SoundDeparent,1,8.41406355569569,Clean
SoundPlayOneshot,8,8.41406355569569,Clean
SpawnAndAttachAfterControllerIsTracking,4,8.41406355569569,Clean
SpawnAndAttachToHand,3,8.41406355569569,Clean
SpawnRenderModel,5,8.41406355569569,Clean
Throwable,6,8.41406355569569,Clean
UIElement,5,8.41406355569569,Clean
UIElementEditor,2,8.41406355569569,Clean
Unparent,3,8.41406355569569,Clean
Util,8,8.41406355569569,Clean
AfterTimer_Component,6,8.41406355569569,Clean
VelocityEstimator,7,8.41406355569569,Clean
ControllerButtonHints,9,8.41406355569569,Fault_proner
OffsetType,1,8.41406355569569,Clean
ButtonHintInfo,3,8.41406355569569,Clean
ArcheryTarget,6,8.41406355569569,Clean
Arrow,8,8.41406355569569,Clean
ArrowHand,7,8.41406355569569,Clean
ArrowheadRotation,0,8.41406355569569,Clean
Balloon,8,8.41406355569569,Clean
BalloonColor,1,8.41406355569569,Clean
BalloonColliders,4,8.41406355569569,Clean
BalloonHapticBump,2,8.41406355569569,Clean
BalloonSpawner,7,8.41406355569569,Clean
ExplosionWobble,2,8.41406355569569,Clean
FireSource,7,8.41406355569569,Clean
Longbow,8,8.41406355569569,Clean
Handedness,1,8.41406355569569,Clean
SoundBowClick,5,8.41406355569569,Clean
ControllerHintsExample,5,8.41406355569569,Clean
InteractableExample,5,8.41406355569569,Clean
AllowTeleportWhileAttachedToHand,2,8.41406355569569,Clean
ChaperoneInfo,7,8.41406355569569,Clean
IgnoreTeleportTrace,0,8.41406355569569,Clean
Teleport,9,8.41406355569569,Fault_proner
TeleportArc,8,8.41406355569569,Clean
TeleportArea,9,8.41406355569569,Fault_proner
TeleportAreaEditor,4,8.41406355569569,Clean
TeleportMarkerBase,8,8.41406355569569,Clean
TeleportPoint,10,8.41406355569569,Fault_proner
TeleportPointType,1,8.41406355569569,Clean
TeleportPointEditor,4,8.41406355569569,Clean
IVRSystem,3,8.41406355569569,Clean
