Component,Threshold,Cutoff,Status
LeapPinchDetector,8,8.349257142857143,Clean
LeapPinchSelector,6,8.349257142857143,Clean
Arm,8,8.349257142857143,Clean
Bone,8,8.349257142857143,Clean
BoneType,1,8.349257142857143,Clean
ClockCorrelator,7,8.349257142857143,Clean
Config,7,8.349257142857143,Clean
ValueType,1,8.349257142857143,Clean
Controller,9,8.349257142857143,Fault_proner
PolicyFlag,1,8.349257142857143,Clean
CSharpExtensions,4,8.349257142857143,Clean
Device,7,8.349257142857143,Clean
DeviceType,0,8.349257142857143,Clean
DeviceList,7,8.349257142857143,Clean
DistortionData,5,8.349257142857143,Clean
LeapEvent,1,8.349257142857143,Clean
LeapEventArgs,4,8.349257142857143,Clean
FrameEventArgs,4,8.349257142857143,Clean
ImageEventArgs,4,8.349257142857143,Clean
ImageRequestFailedEventArgs,7,8.349257142857143,Clean
LogEventArgs,4,8.349257142857143,Clean
PolicyEventArgs,3,8.349257142857143,Clean
DistortionEventArgs,4,8.349257142857143,Clean
ConfigChangeEventArgs,3,8.349257142857143,Clean
SetConfigResponseEventArgs,4,8.349257142857143,Clean
ConnectionEventArgs,2,8.349257142857143,Clean
ConnectionLostEventArgs,2,8.349257142857143,Clean
DeviceEventArgs,4,8.349257142857143,Clean
DeviceFailureEventArgs,3,8.349257142857143,Clean
FailedDevice,5,8.349257142857143,Clean
FailureType,1,8.349257142857143,Clean
FailedDeviceList,4,8.349257142857143,Clean
Finger,8,8.349257142857143,Clean
FingerType,1,8.349257142857143,Clean
Frame,7,8.349257142857143,Clean
Hand,8,8.349257142857143,Clean
IController,5,8.349257142857143,Clean
Image,8,8.349257142857143,Clean
FormatType,1,8.349257142857143,Clean
PerspectiveType,0,8.349257142857143,Clean
ImageType,1,8.349257142857143,Clean
RequestFailureReason,1,8.349257142857143,Clean
InteractionBox,7,8.349257142857143,Clean
Matrix,8,8.349257142857143,Clean
MessageSeverity,1,8.349257142857143,Clean
TimeBracket,3,8.349257142857143,Clean
TrackedQuad,6,8.349257142857143,Clean
Constants,3,8.349257142857143,Clean
Vector,9,8.349257142857143,Fault_proner
TestHandFactory,6,8.349257142857143,Clean
CircularObjectBuffer<T>,6,8.349257142857143,Clean
Connection,9,8.349257142857143,Fault_proner
DistortionDictionary,6,8.349257142857143,Clean
ImageData,9,8.349257142857143,Fault_proner
ImageFuture,4,8.349257142857143,Clean
eLeapConnectionStatus,1,8.349257142857143,Clean
eLeapDeviceCaps,1,8.349257142857143,Clean
eLeapDeviceType,1,8.349257142857143,Clean
eDistortionMatrixType,0,8.349257142857143,Clean
eLeapPolicyFlag,1,8.349257142857143,Clean
eLeapDeviceStatus,1,8.349257142857143,Clean
eLeapImageType,1,8.349257142857143,Clean
eLeapImageFormat,1,8.349257142857143,Clean
eLeapPerspectiveType,0,8.349257142857143,Clean
