Component,Threshold,Cutoff,Status
BodyCollider,1,6.390323826221262,Clean
CircularDrive,6,6.390323826221262,Clean
Axis_t,0,6.390323826221262,Clean
ComplexThrowable,6,6.390323826221262,Clean
AttachMode,1,6.390323826221262,Clean
ControllerHoverHighlight,7,6.390323826221262,Fault_proner
CustomEvents,0,6.390323826221262,Clean
UnityEventSingleFloat,0,6.390323826221262,Clean
UnityEventHand,1,6.390323826221262,Clean
DebugUI,4,6.390323826221262,Clean
DestroyOnDetachedFromHand,1,6.390323826221262,Clean
DestroyOnParticleSystemDeath,1,6.390323826221262,Clean
DestroyOnTriggerEnter,2,6.390323826221262,Clean
DistanceHaptics,2,6.390323826221262,Clean
DontDestroyOnLoad,0,6.390323826221262,Clean
EnumFlags,1,6.390323826221262,Clean
EnumFlagsPropertyDrawer,0,6.390323826221262,Clean
FallbackCameraController,5,6.390323826221262,Clean
Hand,9,6.390323826221262,Fault_proner
HandType,1,6.390323826221262,Clean
AttachmentFlags,1,6.390323826221262,Clean
AttachedObject,3,6.390323826221262,Clean
HandEditor,3,6.390323826221262,Clean
HapticRack,6,6.390323826221262,Clean
HideOnHandFocusLost,1,6.390323826221262,Clean
IgnoreHovering,1,6.390323826221262,Clean
InputModule,6,6.390323826221262,Clean
Interactable,4,6.390323826221262,Clean
InteractableButtonEvents,5,6.390323826221262,Clean
InteractableHoverEvents,6,6.390323826221262,Clean
ItemPackage,4,6.390323826221262,Clean
ItemPackageType,1,6.390323826221262,Clean
ItemPackageReference,2,6.390323826221262,Clean
ItemPackageSpawner,8,6.390323826221262,Fault_proner
ItemPackageSpawnerEditor,1,6.390323826221262,Clean
LinearAnimation,6,6.390323826221262,Clean
LinearAnimator,6,6.390323826221262,Clean
LinearAudioPitch,6,6.390323826221262,Clean
LinearBlendshape,6,6.390323826221262,Clean
LinearDisplacement,5,6.390323826221262,Clean
LinearDrive,6,6.390323826221262,Clean
LinearMapping,1,6.390323826221262,Clean
Player,9,6.390323826221262,Fault_proner
PlaySound,7,6.390323826221262,Fault_proner
SeeThru,5,6.390323826221262,Clean
SleepOnAwake,0,6.390323826221262,Clean
SoundDeparent,1,6.390323826221262,Clean
SoundPlayOneshot,8,6.390323826221262,Fault_proner
SpawnAndAttachAfterControllerIsTracking,4,6.390323826221262,Clean
SpawnAndAttachToHand,2,6.390323826221262,Clean
SpawnRenderModel,5,6.390323826221262,Clean
Throwable,6,6.390323826221262,Clean
UIElement,5,6.390323826221262,Clean
UIElementEditor,1,6.390323826221262,Clean
Unparent,2,6.390323826221262,Clean
Util,8,6.390323826221262,Fault_proner
AfterTimer_Component,5,6.390323826221262,Clean
VelocityEstimator,7,6.390323826221262,Fault_proner
ControllerButtonHints,9,6.390323826221262,Fault_proner
OffsetType,1,6.390323826221262,Clean
ButtonHintInfo,3,6.390323826221262,Clean
ArcheryTarget,6,6.390323826221262,Clean
Arrow,7,6.390323826221262,Fault_proner
ArrowHand,7,6.390323826221262,Fault_proner
ArrowheadRotation,0,6.390323826221262,Clean
Balloon,7,6.390323826221262,Fault_proner
BalloonColor,1,6.390323826221262,Clean
BalloonColliders,4,6.390323826221262,Clean
ColliderData,0,6.390323826221262,Clean
BalloonHapticBump,2,6.390323826221262,Clean
BalloonSpawner,7,6.390323826221262,Fault_proner
ExplosionWobble,1,6.390323826221262,Clean
FireSource,7,6.390323826221262,Fault_proner
Longbow,8,6.390323826221262,Fault_proner
Handedness,1,6.390323826221262,Clean
SoundBowClick,4,6.390323826221262,Clean
ControllerHintsExample,5,6.390323826221262,Clean
InteractableExample,5,6.390323826221262,Clean
AllowTeleportWhileAttachedToHand,2,6.390323826221262,Clean
ChaperoneInfo,6,6.390323826221262,Clean
IgnoreTeleportTrace,0,6.390323826221262,Clean
Teleport,9,6.390323826221262,Fault_proner
TeleportArc,8,6.390323826221262,Fault_proner
TeleportArea,9,6.390323826221262,Fault_proner
TeleportAreaEditor,4,6.390323826221262,Clean
TeleportMarkerBase,8,6.390323826221262,Fault_proner
TeleportPoint,10,6.390323826221262,Fault_proner
TeleportPointType,1,6.390323826221262,Clean
TeleportPointEditor,3,6.390323826221262,Clean
IVRSystem,3,6.390323826221262,Clean
IVRExtendedDisplay,2,6.390323826221262,Clean
IVRTrackedCamera,3,6.390323826221262,Clean
IVRApplications,3,6.390323826221262,Clean
IVRChaperone,3,6.390323826221262,Clean
IVRChaperoneSetup,3,6.390323826221262,Clean
IVRCompositor,3,6.390323826221262,Clean
IVROverlay,3,6.390323826221262,Clean
IVRRenderModels,3,6.390323826221262,Clean
IVRNotifications,1,6.390323826221262,Clean
IVRSettings,3,6.390323826221262,Clean
IVRScreenshots,3,6.390323826221262,Clean
IVRResources,1,6.390323826221262,Clean
CVRSystem,6,6.390323826221262,Clean
CVRExtendedDisplay,6,6.390323826221262,Clean
CVRTrackedCamera,6,6.390323826221262,Clean
CVRApplications,6,6.390323826221262,Clean
CVRChaperone,6,6.390323826221262,Clean
CVRChaperoneSetup,6,6.390323826221262,Clean
CVRCompositor,6,6.390323826221262,Clean
CVROverlay,6,6.390323826221262,Clean
CVRRenderModels,6,6.390323826221262,Clean
CVRNotifications,3,6.390323826221262,Clean
CVRSettings,6,6.390323826221262,Clean
CVRScreenshots,6,6.390323826221262,Clean
CVRResources,3,6.390323826221262,Clean
OpenVRInterop,4,6.390323826221262,Clean
EVREye,1,6.390323826221262,Clean
ETextureType,1,6.390323826221262,Clean
EColorSpace,1,6.390323826221262,Clean
ETrackingResult,1,6.390323826221262,Clean
ETrackedDeviceClass,1,6.390323826221262,Clean
ETrackedControllerRole,1,6.390323826221262,Clean
ETrackingUniverseOrigin,1,6.390323826221262,Clean
ETrackedDeviceProperty,2,6.390323826221262,Clean
ETrackedPropertyError,1,6.390323826221262,Clean
EVRSubmitFlags,1,6.390323826221262,Clean
EVRState,0,6.390323826221262,Clean
EVREventType,2,6.390323826221262,Clean
EDeviceActivityLevel,1,6.390323826221262,Clean
EVRButtonId,1,6.390323826221262,Clean
EVRMouseButton,0,6.390323826221262,Clean
EHiddenAreaMeshType,1,6.390323826221262,Clean
EVRControllerAxisType,1,6.390323826221262,Clean
EVRControllerEventOutputType,0,6.390323826221262,Clean
ECollisionBoundsStyle,0,6.390323826221262,Clean
EVROverlayError,1,6.390323826221262,Clean
EVRApplicationType,1,6.390323826221262,Clean
EVRFirmwareError,1,6.390323826221262,Clean
EVRNotificationError,1,6.390323826221262,Clean
EVRInitError,2,6.390323826221262,Clean
EVRScreenshotType,1,6.390323826221262,Clean
EVRScreenshotPropertyFilenames,1,6.390323826221262,Clean
EVRTrackedCameraError,1,6.390323826221262,Clean
EVRTrackedCameraFrameType,1,6.390323826221262,Clean
EVRApplicationError,1,6.390323826221262,Clean
EVRApplicationProperty,1,6.390323826221262,Clean
EVRApplicationTransitionState,1,6.390323826221262,Clean
ChaperoneCalibrationState,1,6.390323826221262,Clean
EChaperoneConfigFile,1,6.390323826221262,Clean
EChaperoneImportFlags,0,6.390323826221262,Clean
EVRCompositorError,1,6.390323826221262,Clean
VROverlayInputMethod,1,6.390323826221262,Clean
VROverlayTransformType,1,6.390323826221262,Clean
VROverlayFlags,1,6.390323826221262,Clean
VRMessageOverlayResponse,1,6.390323826221262,Clean
EGamepadTextInputMode,0,6.390323826221262,Clean
EGamepadTextInputLineMode,0,6.390323826221262,Clean
EOverlayDirection,1,6.390323826221262,Clean
EVROverlayIntersectionMaskPrimitiveType,1,6.390323826221262,Clean
EVRRenderModelError,1,6.390323826221262,Clean
EVRComponentProperty,0,6.390323826221262,Clean
EVRNotificationType,1,6.390323826221262,Clean
EVRNotificationStyle,1,6.390323826221262,Clean
EVRSettingsError,1,6.390323826221262,Clean
EVRScreenshotError,1,6.390323826221262,Clean
VREvent_Data_t,3,6.390323826221262,Clean
VROverlayIntersectionMaskPrimitive_Data_t,2,6.390323826221262,Clean
HmdMatrix34_t,3,6.390323826221262,Clean
HmdMatrix44_t,3,6.390323826221262,Clean
HmdVector3_t,3,6.390323826221262,Clean
HmdVector4_t,2,6.390323826221262,Clean
HmdVector3d_t,2,6.390323826221262,Clean
HmdVector2_t,2,6.390323826221262,Clean
HmdQuaternion_t,2,6.390323826221262,Clean
HmdColor_t,3,6.390323826221262,Clean
HmdQuad_t,4,6.390323826221262,Clean
HmdRect2_t,3,6.390323826221262,Clean
DistortionCoordinates_t,3,6.390323826221262,Clean
Texture_t,4,6.390323826221262,Clean
TrackedDevicePose_t,4,6.390323826221262,Clean
VRTextureBounds_t,3,6.390323826221262,Clean
VRVulkanTextureData_t,2,6.390323826221262,Clean
VREvent_Controller_t,0,6.390323826221262,Clean
VREvent_Mouse_t,2,6.390323826221262,Clean
VREvent_Scroll_t,2,6.390323826221262,Clean
VREvent_TouchPadMove_t,2,6.390323826221262,Clean
VREvent_Notification_t,1,6.390323826221262,Clean
VREvent_Process_t,2,6.390323826221262,Clean
VREvent_Overlay_t,0,6.390323826221262,Clean
VREvent_Status_t,0,6.390323826221262,Clean
VREvent_Keyboard_t,2,6.390323826221262,Clean
VREvent_Ipd_t,0,6.390323826221262,Clean
VREvent_Chaperone_t,1,6.390323826221262,Clean
VREvent_Reserved_t,1,6.390323826221262,Clean
VREvent_PerformanceTest_t,0,6.390323826221262,Clean
VREvent_SeatedZeroPoseReset_t,0,6.390323826221262,Clean
VREvent_Screenshot_t,1,6.390323826221262,Clean
VREvent_ScreenshotProgress_t,0,6.390323826221262,Clean
VREvent_ApplicationLaunch_t,1,6.390323826221262,Clean
VREvent_EditingCameraSurface_t,1,6.390323826221262,Clean
VREvent_MessageOverlay_t,0,6.390323826221262,Clean
VREvent_t,4,6.390323826221262,Clean
HiddenAreaMesh_t,2,6.390323826221262,Clean
VRControllerAxis_t,2,6.390323826221262,Clean
VRControllerState_t,4,6.390323826221262,Clean
Compositor_OverlaySettings,3,6.390323826221262,Clean
CameraVideoStreamFrameHeader_t,4,6.390323826221262,Clean
AppOverrideKeys_t,2,6.390323826221262,Clean
Compositor_FrameTiming,4,6.390323826221262,Clean
Compositor_CumulativeStats,3,6.390323826221262,Clean
VROverlayIntersectionParams_t,4,6.390323826221262,Clean
VROverlayIntersectionResults_t,4,6.390323826221262,Clean
IntersectionMaskRectangle_t,2,6.390323826221262,Clean
IntersectionMaskCircle_t,2,6.390323826221262,Clean
VROverlayIntersectionMaskPrimitive_t,3,6.390323826221262,Clean
RenderModel_ComponentState_t,4,6.390323826221262,Clean
RenderModel_Vertex_t,3,6.390323826221262,Clean
RenderModel_TextureMap_t,2,6.390323826221262,Clean
RenderModel_t,2,6.390323826221262,Clean
RenderModel_ControllerMode_State_t,1,6.390323826221262,Clean
NotificationBitmap_t,3,6.390323826221262,Clean
COpenVRContext,8,6.390323826221262,Fault_proner
OpenVR,9,6.390323826221262,Fault_proner
SteamVrControllerStateProvider,2,6.390323826221262,Clean
TrackedObjectRecorderProxy,6,6.390323826221262,Clean
VRControllerManager,1,6.390323826221262,Clean
VRPlaybackDevice,8,6.390323826221262,Fault_proner
VrKeyframe,4,6.390323826221262,Clean
VRPlayer,9,6.390323826221262,Fault_proner
VRRecorder,8,6.390323826221262,Fault_proner
ControllerStateProvider,2,6.390323826221262,Clean
SteamVR_ControllerStateProvider,2,6.390323826221262,Clean
EditorIntegration,4,6.390323826221262,Clean
VRRecorderSettingsWindow,0,6.390323826221262,Clean
