Component,Threshold,Cutoff,Status
SlidingMax,8,8.01101624166337,Clean
IndexValuePair,2,8.01101624166337,Clean
RingBuffer<T>,6,8.01101624166337,Clean
SmoothedFloat,5,8.01101624166337,Clean
SmoothedQuaternion,4,8.01101624166337,Clean
SmoothedVector3,4,8.01101624166337,Clean
IMinHeapNode,2,8.01101624166337,Clean
MinHeap<T>,5,8.01101624166337,Clean
ProduceConsumeBuffer<T>,6,8.01101624166337,Clean
SDictionaryAttribute,0,8.01101624166337,Clean
ICanReportDuplicateInformation,3,8.01101624166337,Clean
"SerializableDictionary<TKey,TValue>",5,8.01101624166337,Clean
AbstractHoldDetector,9,8.01101624166337,Fault_proner
Detector,9,8.01101624166337,Fault_proner
DetectorLogicGate,8,8.01101624166337,Clean
LogicType,1,8.01101624166337,Clean
ExtendedFingerDetector,7,8.01101624166337,Clean
PointingState,1,8.01101624166337,Clean
FingerDirectionDetector,7,8.01101624166337,Clean
PalmDirectionDetector,7,8.01101624166337,Clean
PointingType,1,8.01101624166337,Clean
PinchDetector,8,8.01101624166337,Clean
ProximityDetector,8,8.01101624166337,Clean
ProximityEvent,1,8.01101624166337,Clean
HandFactory,3,8.01101624166337,Clean
HandPool,8,8.01101624166337,Clean
ModelGroup,8,8.01101624166337,Clean
HandProxy,7,8.01101624166337,Clean
HandRepresentation,8,8.01101624166337,Clean
CapsuleHand,8,8.01101624166337,Clean
DebugHand,7,8.01101624166337,Clean
FingerModel,8,8.01101624166337,Clean
HandDrop,6,8.01101624166337,Clean
HandEnableDisable,3,8.01101624166337,Clean
HandFader,5,8.01101624166337,Clean
HandModel,11,8.01101624166337,Fault_proner
HandTransitionBehavior,5,8.01101624166337,Clean
Chirality,1,8.01101624166337,Clean
ModelType,1,8.01101624166337,Clean
IHandModel,8,8.01101624166337,Clean
RigidFinger,4,8.01101624166337,Clean
RigidHand,7,8.01101624166337,Clean
SkeletalFinger,6,8.01101624166337,Clean
SkeletalHand,8,8.01101624166337,Clean
LeapDeviceType,1,8.01101624166337,Clean
LeapDeviceInfo,5,8.01101624166337,Clean
LeapHandController,7,8.01101624166337,Clean
LeapImageRetriever,9,8.01101624166337,Fault_proner
LeapTextureData,6,8.01101624166337,Clean
LeapDistortionData,6,8.01101624166337,Clean
EyeTextureData,8,8.01101624166337,Clean
LeapProvider,6,8.01101624166337,Clean
LeapServiceProvider,9,8.01101624166337,Fault_proner
FrameOptimizationMode,1,8.01101624166337,Clean
DisconnectionNotice,5,8.01101624166337,Clean
EnableDepthBuffer,0,8.01101624166337,Clean
ExecuteBeforeAttribute,1,8.01101624166337,Clean
ExecuteAfterAttribute,1,8.01101624166337,Clean
ExecuteBeforeDefault,1,8.01101624166337,Clean
ExecuteAfterDefault,1,8.01101624166337,Clean
ExecutionOrderSolver,4,8.01101624166337,Clean
NodeType,1,8.01101624166337,Clean
Node,9,8.01101624166337,Fault_proner
FitHeightToScreen,0,8.01101624166337,Clean
FrameRateControls,6,8.01101624166337,Clean
KeyEnableBehaviors,3,8.01101624166337,Clean
KeyEnableGameObjects,3,8.01101624166337,Clean
UnityVectorExtension,4,8.01101624166337,Clean
UnityQuaternionExtension,4,8.01101624166337,Clean
UnityMatrixExtension,6,8.01101624166337,Clean
SceneSettings,5,8.01101624166337,Clean
ToggleValue<T>,1,8.01101624166337,Clean
ToggleFloat,1,8.01101624166337,Clean
ToggleVector3,1,8.01101624166337,Clean
StretchToScreen,0,8.01101624166337,Clean
Utils,5,8.01101624166337,Clean
EyeType,8,8.01101624166337,Clean
OrderType,1,8.01101624166337,Clean
LeapVRCameraControl,7,8.01101624166337,Clean
CameraParams,4,8.01101624166337,Clean
LeapVRTemporalWarping,8,8.01101624166337,Clean
WarpedAnchor,1,8.01101624166337,Clean
SyncMode,1,8.01101624166337,Clean
TransformData,3,8.01101624166337,Clean
TemporalWarpingStatus,4,8.01101624166337,Clean
AutoFindLocations,1,8.01101624166337,Clean
AutoFindAttribute,8,8.01101624166337,Clean
IPropertyConstrainer,2,8.01101624166337,Clean
IPropertyDisabler,2,8.01101624166337,Clean
IFullPropertyDrawer,2,8.01101624166337,Clean
IAdditiveDrawer,2,8.01101624166337,Clean
IBeforeLabelAdditiveDrawer,2,8.01101624166337,Clean
IAfterLabelAdditiveDrawer,2,8.01101624166337,Clean
IBeforeFieldAdditiveDrawer,2,8.01101624166337,Clean
IAfterFieldAdditiveDrawer,3,8.01101624166337,Clean
CombinablePropertyAttribute,4,8.01101624166337,Clean
DisableAttribute,1,8.01101624166337,Clean
DisableIf,7,8.01101624166337,Clean
EnumFlags,4,8.01101624166337,Clean
Incrementable,6,8.01101624166337,Clean
MaxValue,4,8.01101624166337,Clean
MinMax,7,8.01101624166337,Clean
MinValue,5,8.01101624166337,Clean
UnitsAttribute,4,8.01101624166337,Clean
TestHandFactory,5,8.01101624166337,Clean
RuntimeColliderGizmos,4,8.01101624166337,Clean
