Component,Threshold,Cutoff,Status
AssetBundleDownloader,9,7.484674261302955,Fault_proner
AssetBundlePersistenceStrategy,3,7.484674261302955,Clean
AssetMetadataPersistenceStrategy,4,7.484674261302955,Clean
CacheEntry,3,7.484674261302955,Clean
Container,2,7.484674261302955,Clean
AssetDatabaseStrategy,1,7.484674261302955,Clean
BehaviourWorkerCompatibilityCache,6,7.484674261302955,Clean
CachingAssetDatabase,7,7.484674261302955,Clean
ExponentialBackoffRetryAssetLoader,8,7.484674261302955,Fault_proner
GameObjectFromAssetBundleLoader,7,7.484674261302955,Clean
OnLoadCallback,3,7.484674261302955,Clean
LocalAssetBundleLoader,7,7.484674261302955,Clean
PrefabCompiler,7,7.484674261302955,Clean
PrefabGameObjectLoader,7,7.484674261302955,Clean
PreprocessingGameObjectLoader,5,7.484674261302955,Clean
ConcurrentAssetPrecacher,7,7.484674261302955,Clean
DefaultTemplateProvider,9,7.484674261302955,Fault_proner
AssetDatabaseTemplateProvider,6,7.484674261302955,Clean
EntityObjectDictionary,4,7.484674261302955,Clean
EntityBuilder,8,7.484674261302955,Fault_proner
EntityObject,8,7.484674261302955,Fault_proner
EntityObjectStorage,7,7.484674261302955,Clean
EntityVisualizers,9,7.484674261302955,Fault_proner
DefaultMonobehaviourActivator,4,7.484674261302955,Clean
IComponentAdder,3,7.484674261302955,Clean
IComponentInterestOverridesUpdateReceiver,2,7.484674261302955,Clean
IEntityComponentInterestOverridesUpdater,5,7.484674261302955,Clean
IEntityComponents,6,7.484674261302955,Clean
IEntityInterestedComponentsInvalidator,2,7.484674261302955,Clean
IEntityObject,4,7.484674261302955,Clean
IEntityTemplateProvider,3,7.484674261302955,Clean
IEntityVisualizers,7,7.484674261302955,Clean
IInterestedComponentUpdaterProvider,2,7.484674261302955,Clean
ILocalEntities,3,7.484674261302955,Clean
IMetadataAdder,2,7.484674261302955,Clean
IMutableLocalEntities,3,7.484674261302955,Clean
IMutableUniverse,5,7.484674261302955,Clean
IWorkerComponentInterestOverrider,4,7.484674261302955,Clean
WorkerComponentInterest,1,7.484674261302955,Clean
WorkerComponentInterestOverriderImpl,9,7.484674261302955,Fault_proner
IPersistenceSetter,2,7.484674261302955,Clean
IPipelineEntityComponentOpsReceiver,4,7.484674261302955,Clean
IPositionAdder,3,7.484674261302955,Clean
IPrefabFactory,3,7.484674261302955,Clean
IReadAclSetter,2,7.484674261302955,Clean
IUniverse,4,7.484674261302955,Clean
LocalEntities,9,7.484674261302955,Fault_proner
FilePersistenceStrategy,3,7.484674261302955,Clean
IAssetDatabase,3,7.484674261302955,Clean
IAssetLoader,3,7.484674261302955,Clean
IMachineCache,3,7.484674261302955,Clean
"MachineCache<TIn,TOut>",8,7.484674261302955,Fault_proner
IPersistenceStrategy,3,7.484674261302955,Clean
Platform,7,7.484674261302955,Clean
BuildPlatform,1,7.484674261302955,Clean
EditorCompatibilityExtensions,4,7.484674261302955,Clean
ISpatialOsComponent,2,7.484674261302955,Clean
ISpatialOsComponentInternal,4,7.484674261302955,Clean
SpatialOsComponentBase,8,7.484674261302955,Fault_proner
SpatialOsComponentEditorBase<TComponent>,1,7.484674261302955,Clean
ComponentEditorDataObject<TComponent>,9,7.484674261302955,Fault_proner
ICanAttachEditorDataObject,3,7.484674261302955,Clean
IComponentEditorDataObject,3,7.484674261302955,Clean
CommandDelivery,1,7.484674261302955,Clean
Commander,8,7.484674261302955,Fault_proner
EntityComponentId,5,7.484674261302955,Clean
CommandResponseHandler<TResponse>,7,7.484674261302955,Clean
ComponentCommander,9,7.484674261302955,Fault_proner
ICommandCallbackWrapper,3,7.484674261302955,Clean
CommandCallbackWrapper<TResponse>,5,7.484674261302955,Clean
ICommandCallbackResponse,4,7.484674261302955,Clean
ICommandErrorDetails,3,7.484674261302955,Clean
CommandCallbackResponse,2,7.484674261302955,Clean
ICommandResponseHandler,3,7.484674261302955,Clean
ICommandSender,6,7.484674261302955,Clean
IComponentCommander,4,7.484674261302955,Clean
IDescriptorCommander,3,7.484674261302955,Clean
IWorkerCommandSender,3,7.484674261302955,Clean
IWorldCommander,4,7.484674261302955,Clean
SpatialCommunicator,8,7.484674261302955,Fault_proner
CloudAssemblyArtifactResolver,7,7.484674261302955,Clean
State,1,7.484674261302955,Clean
AssemblyResponse,2,7.484674261302955,Clean
ArtifactId,2,7.484674261302955,Clean
AssemblyArtifact,3,7.484674261302955,Clean
ConnectionCoroutineHost,1,7.484674261302955,Clean
ConnectionLifecycle,7,7.484674261302955,Clean
CountBasedSpawnLimiter,7,7.484674261302955,Clean
DeferredActionDispatcher,6,7.484674261302955,Clean
DispatchEventHandler,9,7.484674261302955,Fault_proner
EntityAclExtensions,1,7.484674261302955,Clean
GreedySpawnLimiter,4,7.484674261302955,Clean
IAuthorityChangedReceiver,2,7.484674261302955,Clean
IDeferredActionDispatcher,3,7.484674261302955,Clean
IDispatchEventHandler,1,7.484674261302955,Clean
IEntitySpawnLimiter,3,7.484674261302955,Clean
ISpatialCommunicator,6,7.484674261302955,Clean
LegacyEntityPipelineConfiguration,6,7.484674261302955,Clean
ProjectDescriptor,7,7.484674261302955,Clean
SaveAndRestoreScene,2,7.484674261302955,Clean
SpatialOS,9,7.484674261302955,Fault_proner
TimeBasedSpawnLimiter,6,7.484674261302955,Clean
WorkerConnection,8,7.484674261302955,Fault_proner
WorkerConnectionParameters,3,7.484674261302955,Clean
EmptyEntityBlock,7,7.484674261302955,Clean
EntityPipeline,9,7.484674261302955,Fault_proner
RegisterHandler,3,7.484674261302955,Clean
UnregisterHandler,3,7.484674261302955,Clean
EntityPipelineExtensions,4,7.484674261302955,Clean
FactoryCallbackWrapper,4,7.484674261302955,Clean
PipelineOpType,1,7.484674261302955,Clean
IEntityPipelineOp,3,7.484674261302955,Clean
AddEntityPipelineOp,4,7.484674261302955,Clean
RemoveEntityPipelineOp,4,7.484674261302955,Clean
CriticalSectionPipelineOp,4,7.484674261302955,Clean
AddComponentPipelineOp,5,7.484674261302955,Clean
RemoveComponentPipelineOp,5,7.484674261302955,Clean
ChangeAuthorityPipelineOp,6,7.484674261302955,Clean
UpdateComponentPipelineOp,5,7.484674261302955,Clean
IEntityPipeline,3,7.484674261302955,Clean
IEntityPipelineBlock,7,7.484674261302955,Clean
IEntityPipelineInternal,8,7.484674261302955,Fault_proner
PassOpsBlock,8,7.484674261302955,Fault_proner
AssetPreloader,8,7.484674261302955,Fault_proner
AuthorityChangedNotifier,8,7.484674261302955,Fault_proner
CriticalSectionPipelineBlock,9,7.484674261302955,Fault_proner
EntityComponentUpdater,7,7.484674261302955,Clean
ILegacyEntityPipelineConfiguration,4,7.484674261302955,Clean
LegacyComponentPipeline,7,7.484674261302955,Clean
LegacyEntityCreator,9,7.484674261302955,Fault_proner
EntitySpawnData,2,7.484674261302955,Clean
LegacyEntityPipelineSetup,7,7.484674261302955,Clean
ThrottledEntityDispatcher,9,7.484674261302955,Fault_proner
CommandLineConfigNames,3,7.484674261302955,Clean
Defaults,3,7.484674261302955,Clean
EditableConfigNames,4,7.484674261302955,Clean
WorkerConfiguration,8,7.484674261302955,Fault_proner
WorkerConfigurationData,4,7.484674261302955,Clean
SpatialOsApplication,4,7.484674261302955,Clean
Unity,3,7.484674261302955,Clean
Networking,3,7.484674261302955,Clean
Debugging,3,7.484674261302955,Clean
Acl,7,7.484674261302955,Clean
CommonAttributeSets,4,7.484674261302955,Clean
CommonClaims,3,7.484674261302955,Clean
CommonPredicates,4,7.484674261302955,Clean
CommonRequirementSets,4,7.484674261302955,Clean
EntityExtensions,4,7.484674261302955,Clean
ConstraintExtensions,5,7.484674261302955,Clean
Query,7,7.484674261302955,Clean
CreateEntityResult,1,7.484674261302955,Clean
DeleteEntityResult,1,7.484674261302955,Clean
EntityQueryResult,3,7.484674261302955,Clean
ReserveEntityIdResult,1,7.484674261302955,Clean
ReserveEntityIdsResult,1,7.484674261302955,Clean
Vector3dUnityExtension,2,7.484674261302955,Clean
Vector3UnityExtension,3,7.484674261302955,Clean
GameObjectAuthorityExtensions,5,7.484674261302955,Clean
GameObjectExtensions,7,7.484674261302955,Clean
EntityComponentInterestOverridesUpdater,8,7.484674261302955,Fault_proner
EntityComponents,7,7.484674261302955,Clean
IMonobehaviourActivator,3,7.484674261302955,Clean
WorkerPlatform,1,7.484674261302955,Clean
WorkerTypeUtils,6,7.484674261302955,Clean
IPrefabExportProcessor,2,7.484674261302955,Clean
KeepOnExportedPrefabAttribute,1,7.484674261302955,Clean
PooledPrefabContainer,8,7.484674261302955,Fault_proner
PooledObject,2,7.484674261302955,Clean
PooledPrefabFactory,9,7.484674261302955,Fault_proner
PrefabFactoryMetrics,7,7.484674261302955,Clean
UnityPrefabFactory,3,7.484674261302955,Clean
ILogFilterReceiver,2,7.484674261302955,Clean
LogSender,8,7.484674261302955,Fault_proner
LogAction,1,7.484674261302955,Clean
LogListener,0,7.484674261302955,Clean
EndTimer,4,7.484674261302955,Clean
ScriptLifecycleAnalytics,8,7.484674261302955,Fault_proner
ScriptLifecycleLoadMetricProvider,8,7.484674261302955,Fault_proner
StartTimer,4,7.484674261302955,Clean
UnityFixedFrameLoadMetricProvider,7,7.484674261302955,Clean
ILoadMetricProvider,3,7.484674261302955,Clean
WorkerMetrics,6,7.484674261302955,Clean
MetricsReporter,4,7.484674261302955,Clean
CircularBuffer<T>,5,7.484674261302955,Clean
CircularIntBuffer,3,7.484674261302955,Clean
CommandLineUtil,5,7.484674261302955,Clean
IWWWRequest,3,7.484674261302955,Clean
MetricsUnityGui,5,7.484674261302955,Clean
PathUtil,5,7.484674261302955,Clean
TaskRunnerWithExponentialBackoff<TResult>,6,7.484674261302955,Clean
TaskResult,3,7.484674261302955,Clean
WorkerMetricsFPS,6,7.484674261302955,Clean
FPSMetric,6,7.484674261302955,Clean
WorkerMetricsMemoryUsage,1,7.484674261302955,Clean
WorkerTypeDisplay,3,7.484674261302955,Clean
WWWRequest,6,7.484674261302955,Clean
WWWRequestWrapper,7,7.484674261302955,Clean
WWWResponse,6,7.484674261302955,Clean
