Component,Threshold,Cutoff,Status
GizmoType,1,8.231292517006803,Clean
GizmoTypeDrawer,1,8.231292517006803,Clean
IPunObservable,0,8.231292517006803,Clean
IPunCallbacks,3,8.231292517006803,Clean
IPunPrefabPool,0,8.231292517006803,Clean
MonoBehaviour,4,8.231292517006803,Clean
PunBehaviour,6,8.231292517006803,Clean
PhotonMessageInfo,4,8.231292517006803,Clean
PunEvent,2,8.231292517006803,Clean
PhotonStream,6,8.231292517006803,Clean
HelpURL,0,8.231292517006803,Clean
EditorSceneManager,3,8.231292517006803,Clean
SceneManager,1,8.231292517006803,Clean
SceneManagerHelper,1,8.231292517006803,Clean
WebRpcResponse,2,8.231292517006803,Clean
IPunObservable_duplicated,0,8.231292517006803,Clean
IPunCallbacks_duplicated,3,8.231292517006803,Clean
IPunPrefabPool_duplicated,0,8.231292517006803,Clean
MonoBehaviour_duplicated,3,8.231292517006803,Clean
PunBehaviour_duplicated,5,8.231292517006803,Clean
PhotonMessageInfo_duplicated,4,8.231292517006803,Clean
PunEvent_duplicated,2,8.231292517006803,Clean
PhotonStream_duplicated,6,8.231292517006803,Clean
HelpURL_duplicated,0,8.231292517006803,Clean
EditorSceneManager_duplicated,3,8.231292517006803,Clean
SceneManager_duplicated,1,8.231292517006803,Clean
SceneManagerHelper_duplicated,1,8.231292517006803,Clean
WebRpcResponse_duplicated,2,8.231292517006803,Clean
IPunObservable_duplicated_duplicated,0,8.231292517006803,Clean
IPunCallbacks_duplicated_duplicated,3,8.231292517006803,Clean
IPunPrefabPool_duplicated_duplicated,0,8.231292517006803,Clean
MonoBehaviour_duplicated_duplicated,3,8.231292517006803,Clean
PunBehaviour_duplicated_duplicated,5,8.231292517006803,Clean
PhotonMessageInfo_duplicated_duplicated,4,8.231292517006803,Clean
PunEvent_duplicated_duplicated,2,8.231292517006803,Clean
PhotonStream_duplicated_duplicated,6,8.231292517006803,Clean
HelpURL_duplicated_duplicated,0,8.231292517006803,Clean
EditorSceneManager_duplicated_duplicated,3,8.231292517006803,Clean
SceneManager_duplicated_duplicated,2,8.231292517006803,Clean
SceneManagerHelper_duplicated_duplicated,1,8.231292517006803,Clean
WebRpcResponse_duplicated_duplicated,2,8.231292517006803,Clean
SocketUdp,5,8.231292517006803,Clean
PlayerRoomIndexing,9,8.231292517006803,Fault_proner
PlayerRoomIndexingExtensions,1,8.231292517006803,Clean
ButtonInsideScrollList,3,8.231292517006803,Clean
TextButtonTransition,4,8.231292517006803,Clean
TextToggleIsOnTransition,6,8.231292517006803,Clean
TimeKeeper,3,8.231292517006803,Clean
CameraRigSyncingSetup,3,8.231292517006803,Clean
NetworkManager,5,8.231292517006803,Clean
SDKChooser,6,8.231292517006803,Clean
SDKSetup,3,8.231292517006803,Clean
ReorderableListResources,6,8.231292517006803,Clean
ResourceName,0,8.231292517006803,Clean
PlayerRoomIndexingInspector,5,8.231292517006803,Clean
PunTeamsInspector,2,8.231292517006803,Clean
