Component,Threshold,Cutoff,Status
ActivationType,1,7.896082321252884,Clean
CallInterceptorBuilder<T>,5,7.896082321252884,Clean
CallInterceptorCollection,6,7.896082321252884,Clean
CallInterceptorHelper<T>,5,7.896082321252884,Clean
ClientHeartbeatEventArgs,2,7.896082321252884,Clean
ComponentCatalog,8,7.896082321252884,Fault_proner
ComponentInfo,1,7.896082321252884,Clean
ComponentRegistry,7,7.896082321252884,Clean
CallInterceptionData,5,7.896082321252884,Clean
CallInterceptor,8,7.896082321252884,Fault_proner
DisconnectedEventArgs,2,7.896082321252884,Clean
IComponentCatalog,6,7.896082321252884,Clean
IComponentCatalogExtensions,5,7.896082321252884,Clean
IComponentRegistry,4,7.896082321252884,Clean
InvalidSessionException,3,7.896082321252884,Clean
InvocationDetails,3,7.896082321252884,Clean
InvokeCanceledEventArgs,2,7.896082321252884,Clean
InvokeCanceledException,3,7.896082321252884,Clean
BeforeInvokeEventArgs,2,7.896082321252884,Clean
AfterInvokeEventArgs,3,7.896082321252884,Clean
ISerializationHandler,2,7.896082321252884,Clean
LanguageResource,4,7.896082321252884,Clean
LoginEventArgs,4,7.896082321252884,Clean
LoginEventType,1,7.896082321252884,Clean
NewLogonNeededEventArgs,4,7.896082321252884,Clean
LogicalCallContextData,1,7.896082321252884,Clean
CustomSerializationContainer,2,7.896082321252884,Clean
SerializationHandlerRepository,7,7.896082321252884,Clean
SubscriptionEventArgs,2,7.896082321252884,Clean
ZyanComponentHost,10,7.896082321252884,Fault_proner
ZyanConnection,8,7.896082321252884,Fault_proner
ComponentRegistration,8,7.896082321252884,Fault_proner
IZyanDispatcher,4,7.896082321252884,Clean
ZyanConnectionSetup,3,7.896082321252884,Clean
ZyanErrorAction,1,7.896082321252884,Clean
ZyanErrorEventArgs,4,7.896082321252884,Clean
ZyanProxy,7,7.896082321252884,Clean
ServerSession,6,7.896082321252884,Clean
ZyanSettings,2,7.896082321252884,Clean
ClientAddressServerChannelSink,6,7.896082321252884,Clean
ClientAddressServerChannelSinkProvider,5,7.896082321252884,Clean
CompressionMethod,1,7.896082321252884,Clean
DefinitionExtensions,5,7.896082321252884,Clean
IComponentCatalogMefExtensions,6,7.896082321252884,Clean
NonSharedPartsCatalog,1,7.896082321252884,Clean
ZyanComponentAttribute,7,7.896082321252884,Clean
ZyanComposablePart,7,7.896082321252884,Clean
ZyanCatalog,6,7.896082321252884,Clean
ZyanComposablePartDefinition,7,7.896082321252884,Clean
ZyanInterfaceAttribute,4,7.896082321252884,Clean
DelegateCorrelationInfo,5,7.896082321252884,Clean
DelegateInterceptor,6,7.896082321252884,Clean
DynamicEventWireBase,4,7.896082321252884,Clean
DynamicEventWire<T>,2,7.896082321252884,Clean
DynamicWireBase,4,7.896082321252884,Clean
DynamicWireFactory,7,7.896082321252884,Clean
DynamicWire<T>,2,7.896082321252884,Clean
EmptyDelegateFactory,5,7.896082321252884,Clean
InternalDelegateFactory<TDelegate>,2,7.896082321252884,Clean
EventFilter,1,7.896082321252884,Clean
