Component,Threshold,Cutoff,Status
BaseVRDevice,6,5.6463018510172045,Fault_proner
EditorDevice,2,5.6463018510172045,Clean
GvrDevice,4,5.6463018510172045,Clean
EmulatorClientSocket,3,5.6463018510172045,Clean
EmulatorConfig,1,5.6463018510172045,Clean
Mode,1,5.6463018510172045,Clean
EmulatorGyroEvent,1,5.6463018510172045,Clean
EmulatorAccelEvent,1,5.6463018510172045,Clean
EmulatorTouchEvent,3,5.6463018510172045,Clean
Action,1,5.6463018510172045,Clean
Pointer,1,5.6463018510172045,Clean
EmulatorOrientationEvent,1,5.6463018510172045,Clean
EmulatorButtonEvent,2,5.6463018510172045,Clean
ButtonCode,0,5.6463018510172045,Clean
EmulatorManager,3,5.6463018510172045,Clean
PhoneEvent,8,5.6463018510172045,Fault_proner
Types,1,5.6463018510172045,Clean
Type,0,5.6463018510172045,Clean
MotionEvent,8,5.6463018510172045,Fault_proner
Pointer_duplicated,8,5.6463018510172045,Fault_proner
Builder,7,5.6463018510172045,Fault_proner
GyroscopeEvent,8,5.6463018510172045,Fault_proner
AccelerometerEvent,8,5.6463018510172045,Fault_proner
DepthMapEvent,8,5.6463018510172045,Fault_proner
OrientationEvent,8,5.6463018510172045,Fault_proner
KeyEvent,7,5.6463018510172045,Fault_proner
PhoneEvent_duplicated,9,5.6463018510172045,Fault_proner
Types_duplicated,2,5.6463018510172045,Clean
Type_duplicated,1,5.6463018510172045,Clean
MotionEvent_duplicated,9,5.6463018510172045,Fault_proner
Pointer_duplicated_duplicated,8,5.6463018510172045,Fault_proner
Builder_duplicated,8,5.6463018510172045,Fault_proner
GyroscopeEvent_duplicated,8,5.6463018510172045,Fault_proner
AccelerometerEvent_duplicated,8,5.6463018510172045,Fault_proner
DepthMapEvent_duplicated,8,5.6463018510172045,Fault_proner
OrientationEvent_duplicated,8,5.6463018510172045,Fault_proner
KeyEvent_duplicated,7,5.6463018510172045,Fault_proner
