Component,Threshold,Cutoff,Status
OLE32,4,9.21904761904762,Clean
retval,0,9.21904761904762,Clean
DisposableObject,7,9.21904761904762,Clean
ObjectUser,5,9.21904761904762,Clean
OLE32Unsafe,3,9.21904761904762,Clean
_GUID,2,9.21904761904762,Clean
OLE32_duplicated,4,9.21904761904762,Clean
retval_duplicated,0,9.21904761904762,Clean
DisposableObject_duplicated,7,9.21904761904762,Clean
ObjectUser_duplicated,5,9.21904761904762,Clean
OLE32Unsafe_duplicated,3,9.21904761904762,Clean
_GUID_duplicated,2,9.21904761904762,Clean
ICallable,4,9.21904761904762,Clean
Facade,4,9.21904761904762,Clean
