Component,Threshold,Cutoff,Status
ControllerProviderFactory,1,6.346778504173349,Clean
DummyControllerProvider,2,6.346778504173349,Clean
EditorControllerProvider,4,6.346778504173349,Clean
EmulatorControllerProvider,6,6.346778504173349,Clean
MouseControllerProvider,7,6.346778504173349,Fault_proner
ControllerState,2,6.346778504173349,Clean
EmulatorClientSocketConnectionState,1,6.346778504173349,Clean
EmulatorClientSocket,6,6.346778504173349,Clean
EmulatorConfig,4,6.346778504173349,Clean
Mode,1,6.346778504173349,Clean
EmulatorGyroEvent,3,6.346778504173349,Clean
EmulatorAccelEvent,3,6.346778504173349,Clean
EmulatorTouchEvent,6,6.346778504173349,Clean
Action,1,6.346778504173349,Clean
Pointer,2,6.346778504173349,Clean
EmulatorOrientationEvent,3,6.346778504173349,Clean
EmulatorButtonEvent,3,6.346778504173349,Clean
ButtonCode,1,6.346778504173349,Clean
EmulatorManager,6,6.346778504173349,Clean
IControllerProvider,2,6.346778504173349,Clean
HeadsetProviderFactory,1,6.346778504173349,Clean
gvr_feature,0,6.346778504173349,Clean
gvr_property_type,0,6.346778504173349,Clean
gvr_value_type,0,6.346778504173349,Clean
gvr_recenter_flags,0,6.346778504173349,Clean
DummyHeadsetProvider,3,6.346778504173349,Clean
EditorHeadsetProvider,4,6.346778504173349,Clean
HeadsetState,2,6.346778504173349,Clean
IHeadsetProvider,2,6.346778504173349,Clean
InstantPreview,3,6.346778504173349,Clean
Resolutions,0,6.346778504173349,Clean
ResolutionSize,1,6.346778504173349,Clean
MultisampleCounts,0,6.346778504173349,Clean
BitRates,0,6.346778504173349,Clean
UnityRect,3,6.346778504173349,Clean
UnityEyeViews,3,6.346778504173349,Clean
IKeyboardProvider,2,6.346778504173349,Clean
KeyboardProviderFactory,1,6.346778504173349,Clean
AndroidNativeKeyboardProvider,7,6.346778504173349,Fault_proner
gvr_clock_time_point,2,6.346778504173349,Clean
gvr_recti,3,6.346778504173349,Clean
DummyKeyboardProvider,4,6.346778504173349,Clean
EmulatorKeyboardProvider,6,6.346778504173349,Clean
GvrCursorHelper,1,6.346778504173349,Clean
PhoneEvent,8,6.346778504173349,Fault_proner
Types,1,6.346778504173349,Clean
Type,0,6.346778504173349,Clean
MotionEvent,8,6.346778504173349,Fault_proner
Pointer_duplicated,8,6.346778504173349,Fault_proner
Builder,7,6.346778504173349,Fault_proner
GyroscopeEvent,8,6.346778504173349,Fault_proner
AccelerometerEvent,8,6.346778504173349,Fault_proner
DepthMapEvent,8,6.346778504173349,Fault_proner
OrientationEvent,8,6.346778504173349,Fault_proner
KeyEvent,8,6.346778504173349,Fault_proner
PhoneEvent_duplicated,9,6.346778504173349,Fault_proner
Types_duplicated,2,6.346778504173349,Clean
Type_duplicated,1,6.346778504173349,Clean
MotionEvent_duplicated,9,6.346778504173349,Fault_proner
Pointer_duplicated_duplicated,9,6.346778504173349,Fault_proner
Builder_duplicated,8,6.346778504173349,Fault_proner
GyroscopeEvent_duplicated,9,6.346778504173349,Fault_proner
AccelerometerEvent_duplicated,9,6.346778504173349,Fault_proner
DepthMapEvent_duplicated,9,6.346778504173349,Fault_proner
OrientationEvent_duplicated,9,6.346778504173349,Fault_proner
KeyEvent_duplicated,9,6.346778504173349,Fault_proner
