Component,Threshold,Cutoff,Status
AccessController,2,7.598698860106522,Clean
AList<T>,4,7.598698860106522,Clean
Arrays,5,7.598698860106522,Clean
AtomicInteger,5,7.598698860106522,Clean
AtomicLong,5,7.598698860106522,Clean
AtomicReference<T>,4,7.598698860106522,Clean
AtomicReferenceArray<T>,4,7.598698860106522,Clean
BufferedInputStream,3,7.598698860106522,Clean
BufferedOutputStream,2,7.598698860106522,Clean
BufferedReader,2,7.598698860106522,Clean
ByteArrayInputStream,6,7.598698860106522,Clean
ByteArrayOutputStream,6,7.598698860106522,Clean
Callable,1,7.598698860106522,Clean
CharBuffer,2,7.598698860106522,Clean
CharsetDecoder,6,7.598698860106522,Clean
CharsetEncoder,4,7.598698860106522,Clean
CodingErrorAction,0,7.598698860106522,Clean
Collections,5,7.598698860106522,Clean
"ConcurrentHashMap<T,U>",7,7.598698860106522,Clean
ConcurrentMap,2,7.598698860106522,Clean
CopyOnWriteArrayList<T>,6,7.598698860106522,Clean
CountDownLatch,6,7.598698860106522,Clean
CRC32,5,7.598698860106522,Clean
CyclicBarrier,2,7.598698860106522,Clean
DataConverter,9,7.598698860106522,Fault_proner
PackContext,5,7.598698860106522,Clean
CopyConverter,5,7.598698860106522,Clean
SwapConverter,5,7.598698860106522,Clean
DeflaterOutputStream,4,7.598698860106522,Clean
EnumerableWrapper<T>,1,7.598698860106522,Clean
EnumeratorWrapper<T>,6,7.598698860106522,Clean
Executors,3,7.598698860106522,Clean
FixedThreadPoolExecutorService,7,7.598698860106522,Clean
FutureBase,1,7.598698860106522,Clean
TaskFuture<T>,8,7.598698860106522,Fault_proner
CancellationException,0,7.598698860106522,Clean
RejectedExecutionException,0,7.598698860106522,Clean
ExecutorService,4,7.598698860106522,Clean
Extensions,7,7.598698860106522,Clean
FileChannel,8,7.598698860106522,Fault_proner
MapMode,0,7.598698860106522,Clean
FileInputStream,6,7.598698860106522,Clean
FileLock,1,7.598698860106522,Clean
FileOutputStream,7,7.598698860106522,Clean
FileReader,2,7.598698860106522,Clean
FileWriter,1,7.598698860106522,Clean
Future,2,7.598698860106522,Clean
GZIPInputStream,4,7.598698860106522,Clean
GZIPOutputStream,2,7.598698860106522,Clean
InflaterInputStream,6,7.598698860106522,Clean
InheritableThreadLocal<T>,5,7.598698860106522,Clean
InputStreamReader,5,7.598698860106522,Clean
LinkageError,0,7.598698860106522,Clean
"LinkedHashMap<T,U>",6,7.598698860106522,Clean
ListIterator<T>,3,7.598698860106522,Clean
MappedByteBuffer,1,7.598698860106522,Clean
Matcher,7,7.598698860106522,Clean
MessageFormat,3,7.598698860106522,Clean
ObjectInputStream,5,7.598698860106522,Clean
ObjectOutputStream,3,7.598698860106522,Clean
OutputStreamWriter,3,7.598698860106522,Clean
Pattern,8,7.598698860106522,Fault_proner
PipedInputStream,10,7.598698860106522,Fault_proner
PipedOutputStream,9,7.598698860106522,Fault_proner
PrintWriter,7,7.598698860106522,Clean
PrivilegedAction,1,7.598698860106522,Clean
RandomAccessFile,6,7.598698860106522,Clean
ReentrantLock,2,7.598698860106522,Clean
Reference<T>,0,7.598698860106522,Clean
ReferenceQueue<T>,3,7.598698860106522,Clean
Runtime,7,7.598698860106522,Clean
ShutdownHook,3,7.598698860106522,Clean
SimpleDateFormat,6,7.598698860106522,Clean
SingletonList,0,7.598698860106522,Clean
SoftReference<T>,5,7.598698860106522,Clean
SynchronizedList<T>,6,7.598698860106522,Clean
Thread,9,7.598698860106522,Fault_proner
ThreadGroup,7,7.598698860106522,Clean
TimeUnit,1,7.598698860106522,Clean
TimeUnitExtensions,1,7.598698860106522,Clean
WrappedSystemStream,7,7.598698860106522,Clean
AbstractCollection<T>,6,7.598698860106522,Clean
AbstractList<T>,5,7.598698860106522,Clean
SimpleIterator,5,7.598698860106522,Clean
"AbstractMap<T,U>",6,7.598698860106522,Clean
AbstractSet<T>,3,7.598698860106522,Clean
Authenticator,2,7.598698860106522,Clean
ByteBuffer,8,7.598698860106522,Fault_proner
ByteOrder,0,7.598698860106522,Clean
CharSequence,2,7.598698860106522,Clean
StringCharSequence,2,7.598698860106522,Clean
DigestOutputStream,8,7.598698860106522,Fault_proner
EnumSet,4,7.598698860106522,Clean
EnumSet<T>,7,7.598698860106522,Clean
BrokenBarrierException,0,7.598698860106522,Clean
BufferUnderflowException,0,7.598698860106522,Clean
CharacterCodingException,0,7.598698860106522,Clean
DataFormatException,0,7.598698860106522,Clean
EOFException,0,7.598698860106522,Clean
Error,3,7.598698860106522,Clean
ExecutionException,0,7.598698860106522,Clean
InstantiationException,0,7.598698860106522,Clean
InterruptedIOException,0,7.598698860106522,Clean
MissingResourceException,0,7.598698860106522,Clean
NoSuchAlgorithmException,0,7.598698860106522,Clean
NoSuchElementException,0,7.598698860106522,Clean
NoSuchMethodException,0,7.598698860106522,Clean
OverlappingFileLockException,0,7.598698860106522,Clean
RuntimeException,5,7.598698860106522,Clean
StringIndexOutOfBoundsException,0,7.598698860106522,Clean
UnknownHostException,0,7.598698860106522,Clean
UnsupportedEncodingException,0,7.598698860106522,Clean
URISyntaxException,0,7.598698860106522,Clean
ZipException,0,7.598698860106522,Clean
GitException,0,7.598698860106522,Clean
