Component,Threshold,Cutoff,Status
Resources,2,5.686369050995518,Clean
Settings,1,5.686369050995518,Clean
EmployeeDBMapper,7,5.686369050995518,Fault_proner
EmployeeDataReaderLoader,3,5.686369050995518,Clean
EmployeeDataUtils,6,5.686369050995518,Fault_proner
EmployeeProjectDBMapper,7,5.686369050995518,Fault_proner
EmployeeProjectDataReaderLoader,2,5.686369050995518,Clean
EmployeeProjectDataUtils,5,5.686369050995518,Clean
EmployeeRankDBMapper,7,5.686369050995518,Fault_proner
EmployeeRankDataReaderLoader,1,5.686369050995518,Clean
EmployeeRankDataUtils,5,5.686369050995518,Clean
EmployeeInfoDBMapper,7,5.686369050995518,Fault_proner
EmployeeInfoDataReaderLoader,1,5.686369050995518,Clean
EmployeeInfoDataUtils,5,5.686369050995518,Clean
ProjectDBMapper,7,5.686369050995518,Fault_proner
ProjectDataReaderLoader,1,5.686369050995518,Clean
ProjectDataUtils,6,5.686369050995518,Fault_proner
EmployeeTypeDBMapper,7,5.686369050995518,Fault_proner
EmployeeTypeDataReaderLoader,1,5.686369050995518,Clean
EmployeeTypeDataUtils,6,5.686369050995518,Fault_proner
EmployeeEvaluationDBMapper,7,5.686369050995518,Fault_proner
EmployeeEvaluationDataReaderLoader,1,5.686369050995518,Clean
EmployeeEvaluationDataUtils,6,5.686369050995518,Fault_proner
AccountDBMapper,7,5.686369050995518,Fault_proner
AccountDataReaderLoader,2,5.686369050995518,Clean
AccountDataUtils,6,5.686369050995518,Fault_proner
BankDBMapper,7,5.686369050995518,Fault_proner
BankDataReaderLoader,1,5.686369050995518,Clean
BankDataUtils,6,5.686369050995518,Fault_proner
AccountBankInfoDBMapper,7,5.686369050995518,Fault_proner
AccountBankInfoDataReaderLoader,2,5.686369050995518,Clean
AccountBankInfoDataUtils,5,5.686369050995518,Clean
TestTableNoIncrementDBMapper,7,5.686369050995518,Fault_proner
TestTableNoIncrementDataReaderLoader,2,5.686369050995518,Clean
TestTableNoIncrementDataUtils,5,5.686369050995518,Clean
EmployeeFactory,2,5.686369050995518,Clean
Employee,9,5.686369050995518,Fault_proner
EmployeeRequiredFieldsValidator,1,5.686369050995518,Clean
EmployeeProjectFactory,2,5.686369050995518,Clean
EmployeeProject,9,5.686369050995518,Fault_proner
EmployeeProjectRequiredFieldsValidator,1,5.686369050995518,Clean
EmployeeRankFactory,2,5.686369050995518,Clean
EmployeeRank,8,5.686369050995518,Fault_proner
EmployeeRankRequiredFieldsValidator,1,5.686369050995518,Clean
EmployeeInfoFactory,2,5.686369050995518,Clean
EmployeeInfo,9,5.686369050995518,Fault_proner
EmployeeInfoRequiredFieldsValidator,1,5.686369050995518,Clean
ProjectFactory,2,5.686369050995518,Clean
Project,9,5.686369050995518,Fault_proner
ProjectRequiredFieldsValidator,1,5.686369050995518,Clean
EmployeeTypeFactory,2,5.686369050995518,Clean
EmployeeType,8,5.686369050995518,Fault_proner
EmployeeTypeRequiredFieldsValidator,1,5.686369050995518,Clean
EmployeeEvaluationFactory,2,5.686369050995518,Clean
EmployeeEvaluation,8,5.686369050995518,Fault_proner
EmployeeEvaluationRequiredFieldsValidator,1,5.686369050995518,Clean
AccountFactory,2,5.686369050995518,Clean
Account,9,5.686369050995518,Fault_proner
AccountRequiredFieldsValidator,1,5.686369050995518,Clean
BankFactory,2,5.686369050995518,Clean
Bank,8,5.686369050995518,Fault_proner
BankRequiredFieldsValidator,1,5.686369050995518,Clean
AccountBankInfoFactory,2,5.686369050995518,Clean
AccountBankInfo,9,5.686369050995518,Fault_proner
AccountBankInfoRequiredFieldsValidator,1,5.686369050995518,Clean
TestTableNoIncrementFactory,1,5.686369050995518,Clean
TestTableNoIncrement,8,5.686369050995518,Fault_proner
TestTableNoIncrementRequiredFieldsValidator,1,5.686369050995518,Clean
