Component,Threshold,Cutoff,Status
UnityVectorExtension,5,10.203608821563822,Clean
UnityMatrixExtension,4,10.203608821563822,Clean
Utils,2,10.203608821563822,Clean
Trigger,0,10.203608821563822,Clean
Direction,0,10.203608821563822,Clean
EnableCondition,0,10.203608821563822,Clean
DisableCondition,0,10.203608821563822,Clean
Vector2i,3,10.203608821563822,Clean
Sizei,3,10.203608821563822,Clean
Recti,2,10.203608821563822,Clean
Quatf,4,10.203608821563822,Clean
Vector2f,3,10.203608821563822,Clean
Vector3f,4,10.203608821563822,Clean
Matrix4f,2,10.203608821563822,Clean
Matrix4f_Raw,3,10.203608821563822,Clean
Posef,4,10.203608821563822,Clean
PoseStatef,3,10.203608821563822,Clean
InitFlags,1,10.203608821563822,Clean
LogLevel,0,10.203608821563822,Clean
InitParams,4,10.203608821563822,Clean
FovPort,3,10.203608821563822,Clean
HmdType,1,10.203608821563822,Clean
HmdCaps,1,10.203608821563822,Clean
TrackingCaps,0,10.203608821563822,Clean
DistortionCaps,1,10.203608821563822,Clean
Eye,1,10.203608821563822,Clean
HmdDesc,6,10.203608821563822,Clean
HmdDesc_Raw32,5,10.203608821563822,Clean
HmdDesc_Raw64,5,10.203608821563822,Clean
StatusBits,0,10.203608821563822,Clean
SensorData,3,10.203608821563822,Clean
TrackingState,4,10.203608821563822,Clean
FrameTiming,5,10.203608821563822,Clean
FrameTiming_Raw,3,10.203608821563822,Clean
EyeRenderDesc,3,10.203608821563822,Clean
RenderAPIType,1,10.203608821563822,Clean
RenderAPIConfigHeader,3,10.203608821563822,Clean
RenderAPIConfig_Raw,4,10.203608821563822,Clean
RenderAPIConfig,5,10.203608821563822,Clean
OpenGLWindowsConfig,5,10.203608821563822,Clean
OpenGLLinuxConfig,4,10.203608821563822,Clean
AndroidGLESConfig,4,10.203608821563822,Clean
D3D9Config,4,10.203608821563822,Clean
D3D11Config,6,10.203608821563822,Clean
TextureHeader,3,10.203608821563822,Clean
Texture,5,10.203608821563822,Clean
GLTextureData,4,10.203608821563822,Clean
D3D9TextureData,4,10.203608821563822,Clean
D3D10TextureData,5,10.203608821563822,Clean
D3D11TextureData,5,10.203608821563822,Clean
Texture_Raw,4,10.203608821563822,Clean
DistortionVertex,4,10.203608821563822,Clean
DistortionMesh,6,10.203608821563822,Clean
DistortionMesh_Raw,3,10.203608821563822,Clean
HSWDisplayState,3,10.203608821563822,Clean
Hmd,7,10.203608821563822,Clean
ProjectionModifier,1,10.203608821563822,Clean
Displace,5,10.203608821563822,Clean
GerstnerDisplace,1,10.203608821563822,Clean
MeshContainer,4,10.203608821563822,Clean
PlanarReflection,8,10.203608821563822,Clean
SpecularLighting,5,10.203608821563822,Clean
Water,7,10.203608821563822,Clean
WaterMode,1,10.203608821563822,Clean
WaterQuality,1,10.203608821563822,Clean
WaterBase,8,10.203608821563822,Clean
WaterTile,6,10.203608821563822,Clean
