Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
LocatorExtensions,0,1,0,0,1,48,2,0,0,-1,2,0
SearchContextExtensions,0,15,0,0,14,324,17,0,0,-1,1,0
WebDriverExtensions,0,20,0,0,20,291,29,0,0,-1,2,0
WebElementExtensions,0,28,0,0,28,465,42,0,0,-1,1,0
CustomLogAppender,0,1,1,0,0,20,1,0,0,-1,0,0
Logger,0,9,0,0,6,129,15,0,0,-1,1,0
LogMessageSpec,0,0,6,0,0,9,0,0,0,-1,0,1
Log4NetHelper,4,4,1,0,1,67,7,0,0,0,0,0
CustomTestCaseSource,1,2,2,0,2,32,2,0,0,1,1,2
TestDataFactory,4,4,0,3,4,134,8,0,0,0.75,4,3
TestUploadData,0,0,11,0,0,15,0,0,0,-1,0,1
TestExcelDataVM,0,0,4,0,0,7,0,0,0,-1,0,1
ExcelModel,0,0,4,0,0,7,0,0,0,-1,0,1
Locator,0,0,0,0,0,42,0,0,0,-1,0,2
FrameworkSettings,2,1,3,0,0,50,1,0,0,0,0,1
BasePage,0,1,0,0,1,10,1,1,0,-1,1,0
BrowserType,0,0,0,0,0,6,0,0,0,-1,0,1
Hooks,6,7,1,2,6,128,11,4,1,0.2899999916553497,3,20
CommonUtilities,0,1,0,0,1,12,1,0,0,-1,0,1
ElementLocator,0,2,2,0,2,48,2,0,0,-1,1,4
ExcelHelper,2,5,0,1,5,115,11,0,0,0.6000000238418579,1,5
Datacollection,0,0,3,0,0,6,0,0,0,-1,0,1
KeyData,0,0,2,0,0,5,0,0,0,-1,0,0
LocalStorage,1,8,0,0,7,50,8,0,0,0,1,0
SessionStorage,1,8,0,0,7,50,9,0,0,0,1,0
ExtentManager,1,2,0,0,2,33,3,1,0,1,0,2
ExtentBase,0,0,0,0,0,54,0,0,0,-1,0,0
CssClass,16,0,0,16,0,35,0,0,0,-1,0,1
Calendar,10,20,1,0,7,293,30,0,1,0.1000000014901161,4,1
DateParser,0,3,0,0,1,70,5,0,0,-1,0,1
DatePicker,3,8,1,0,5,86,8,0,1,0.3799999952316284,3,1
DoPerPageContext,0,1,3,0,1,13,1,0,0,-1,0,1
FilterOperator,0,0,0,0,0,17,0,0,0,-1,0,2
GridFilter,0,1,3,0,1,15,1,0,0,-1,1,1
KendoComboBox,0,2,2,0,2,50,2,0,1,-1,0,0
KendoCommonUtilities,0,1,0,0,1,8,1,0,0,-1,1,1
KendoDropDownList,2,6,3,0,4,83,6,0,1,0.5,1,2
KendoGrid,4,27,2,0,25,461,38,0,1,0.1899999976158142,5,1
KendoMultiSelectDropDownList,2,2,1,0,2,36,2,0,1,0,1,1
KendoPanel,1,2,0,0,2,30,4,0,0,0,1,1
KendoTab,3,5,1,0,5,94,9,0,1,0,1,1
KendoSelect,3,4,5,0,4,136,4,1,0,1,2,0
KendoTreeView,2,5,2,0,5,113,6,0,0,0,0,0
KendoWidget,2,6,3,0,1,85,7,6,0,0,1,0
SortType,0,0,0,0,0,5,0,0,0,-1,0,2
Scripts,2,1,35,0,0,338,1,0,0,0,0,2
HighlightingStyle,2,0,4,0,0,43,0,0,0,-1,0,0
BorderStyle,0,0,0,0,0,15,0,0,0,-1,0,0
JavaScriptAlert,1,4,1,0,4,51,4,0,0,0,0,1
TestType,0,0,0,0,0,14,0,0,0,-1,0,0
WebDriverType,0,0,0,0,0,21,0,0,0,-1,0,0
DeviceOrientation,0,0,0,0,0,8,0,0,0,-1,0,0
Emulator,0,0,0,0,0,24,0,0,0,-1,0,0
ElementType,0,0,0,0,0,33,0,0,0,-1,0,0
AlertAction,0,0,0,0,0,8,0,0,0,-1,0,0
LogLevel,0,0,0,0,0,6,0,0,0,-1,0,0
MediaAction,0,0,0,0,0,8,0,0,0,-1,0,0
TestSettings,0,0,15,0,0,164,0,0,0,-1,0,0
PageOriginStrictness,0,0,0,0,0,25,0,0,0,-1,0,0
HubSettings,0,0,3,0,0,27,0,0,0,-1,0,0
