Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CHeaderFileWriter,0,2,4,0,1,41,3,0,0,-1,1,2
BaseDeclaration<TDeclarator>,0,1,3,0,1,25,6,0,0,-1,1,0
ArrayDeclarator,0,3,3,0,3,38,6,0,1,-1,1,1
FunctionDeclarator,0,5,3,0,5,85,15,0,1,-1,2,2
ParenthesizedDeclarator,0,4,2,0,4,34,4,0,1,-1,1,1
SpecifierQualifierList,0,4,3,0,4,63,12,1,0,-1,2,5
DeclarationSpecifiers,0,5,1,0,3,91,12,0,1,-1,4,3
DirectDeclarator,0,5,1,0,5,32,5,3,0,-1,0,6
EnumSpecifier,0,3,3,0,3,89,8,0,1,-1,2,1
ParameterDeclaration,0,4,3,0,4,58,9,1,0,-1,2,2
EllipsisParameterDeclaration,0,2,0,0,2,14,2,0,1,-1,0,0
Pointer,0,3,2,0,3,69,13,0,0,-1,1,2
StructureType,0,0,0,0,0,5,0,0,0,-1,0,2
StructureSpecifier,0,3,4,0,3,124,15,0,1,-1,5,1
KeywordAttribute,0,1,1,0,1,9,1,0,0,-1,0,1
StorageClass,0,0,0,0,0,9,0,0,0,-1,0,4
Utilities,0,3,0,0,3,42,8,0,0,-1,2,2
TypeQualifier,3,2,0,3,2,28,5,0,0,1,0,4
Include,0,1,3,0,1,12,1,0,0,-1,0,2
CSourceFile,4,9,3,0,7,132,18,0,0,0.3300000131130219,9,4
Declaration,0,7,4,0,5,128,20,0,0,-1,7,3
BaseDeclarator,0,5,2,0,5,59,13,1,0,-1,2,3
Declarator,0,2,1,0,2,27,4,0,1,-1,1,6
Definition,0,2,4,0,2,61,6,0,0,-1,1,4
Enumerator,0,3,2,0,3,62,12,0,0,-1,0,2
StructureDeclarator,0,4,3,0,4,70,14,0,0,-1,2,2
TypeSpecifier,0,4,1,0,4,27,4,2,0,-1,0,7
DeclMarker,0,1,2,0,1,10,1,0,0,-1,1,2
IfStackWriter,0,1,0,0,1,26,1,0,1,-1,0,0
IncludeGuardWriter,0,1,0,0,1,22,1,0,1,-1,0,0
WrappingWriter,1,2,0,0,2,15,2,2,0,0,0,0
WriterExtensions,0,3,0,0,3,85,8,0,0,-1,2,2
CSourceFileOptions,7,2,7,0,0,143,4,0,0,1,1,1
GuidList,5,0,0,5,0,9,0,0,0,-1,0,1
LogLevel,0,0,0,0,0,10,0,0,0,-1,0,2
Resources,2,1,2,0,0,41,1,0,0,0,0,0
CHeaderGeneratorPackage,4,17,1,0,1,426,26,0,0,0.2899999916553497,12,0
PkgCmdIDList,2,0,0,2,0,6,0,0,0,-1,0,1
MiscExtensions,0,3,0,0,3,24,5,0,0,-1,0,0
StringExtensions,0,6,0,0,6,59,12,0,0,-1,0,0
BeginCommentDelimiter,0,1,1,0,0,19,1,0,0,-1,0,2
CommentDelimiters,0,1,2,0,1,12,1,0,0,-1,2,1
EndCommentDelimiter,1,1,1,1,0,27,1,1,0,0,0,4
EndOfLineEndCommentDelimiter,0,1,0,0,1,5,1,0,1,-1,0,0
IParser,0,1,0,0,0,4,1,1,0,-1,0,2
ParserException,0,2,3,0,2,33,3,0,0,-1,0,3
InvalidTokenException,0,6,1,0,6,37,7,0,0,-1,1,1
IScanner,0,5,1,0,0,9,5,1,0,-1,0,2
ITokenizer,0,2,1,0,0,6,2,2,0,-1,0,1
Scanner,6,6,1,0,6,180,16,0,1,0,0,2
Token,0,1,3,0,1,15,1,2,0,-1,0,10
Token<TTokenType>,0,2,1,0,2,13,2,0,1,-1,1,0
Tokenizer,2,24,6,0,3,520,55,1,1,0.07999999821186066,6,2
TokenType,0,0,0,0,0,10,0,0,0,-1,0,6
UnexpectedCharEncounteredException,0,2,0,0,2,9,2,0,0,-1,0,1
CParserFactory,0,1,0,0,1,8,1,0,1,-1,1,1
ICLexer,0,1,0,0,0,4,1,1,1,-1,1,1
ICParserFactory,0,1,0,0,0,4,1,1,0,-1,0,1
CLexer,4,4,1,0,4,88,8,0,2,0,4,1
CParser,2,40,0,0,2,1796,164,0,1,0,25,2
CToken,4,5,1,0,2,139,7,0,1,0.4000000059604645,3,4
CTokenizer,0,1,0,0,1,15,1,0,2,-1,3,0
CTokenType,0,0,0,0,0,18,0,0,0,-1,0,4
DialogCloser,1,2,0,1,1,18,3,0,0,1,0,0
DialogService,0,6,0,0,6,44,6,0,1,-1,0,0
ExceptionConverter,0,2,0,0,2,17,3,0,0,-1,0,0
IDialogService,0,6,0,0,0,9,6,1,0,-1,0,1
DialogViewModel,2,4,3,0,2,64,6,2,0,0.5,0,0
ExceptionViewModel,3,1,3,0,1,60,1,0,1,0,0,0
ProgressViewModel,5,0,5,0,0,81,0,0,1,-1,0,1
ExceptionDialog,0,1,0,0,1,7,1,0,0,-1,0,0
ProgressDialog,0,2,0,0,1,31,2,0,0,-1,1,0
NativeMethods,2,2,0,2,2,11,2,0,0,1,0,1
