Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BenchMarker,2,2,1,0,2,33,3,0,0,0,0,2
Crawler,3,9,11,1,3,331,33,0,0,0.3300000131130219,4,2
Program,1,2,1,0,0,68,4,0,0,0,3,0
test,1,2,3,0,2,96,2,0,0,1,0,0
test1,1,2,3,0,2,38,2,0,0,1,0,0
testtest,1,2,3,0,2,38,2,0,0,1,0,0
Contentfix,1,2,3,0,2,31,2,0,0,1,0,0
Page_id,1,2,3,0,2,29,2,0,0,1,0,0
Images,1,2,3,0,2,29,2,0,0,1,0,0
ImagesFix,1,2,3,0,2,48,2,0,0,1,0,0
addedindexes,1,2,3,0,2,35,2,0,0,1,0,0
Configuration,0,2,0,0,1,24,2,0,0,-1,1,0
Resources,2,1,2,0,0,41,1,0,0,0,0,0
Settings,1,0,1,0,0,12,0,0,0,-1,0,0
BundleConfig,0,1,0,0,1,25,1,0,0,-1,0,1
FilterConfig,0,1,0,0,1,7,1,0,0,-1,0,1
EmailService,0,1,0,0,1,8,1,0,0,-1,0,0
SmsService,0,1,0,0,1,8,1,0,0,-1,0,0
ApplicationUserManager,0,2,0,0,2,54,3,0,0,-1,0,4
ApplicationSignInManager,0,3,0,0,3,17,3,0,0,-1,2,3
RouteConfig,0,1,0,0,1,13,1,0,0,-1,0,1
Startup,0,2,0,0,2,62,2,0,0,-1,3,0
WebApiConfig,0,1,0,0,1,19,1,0,0,-1,0,1
MvcApplication,0,1,0,0,0,11,1,0,0,-1,4,0
AccountController,3,25,3,0,22,470,53,0,0,0.8399999737739563,11,0
ChallengeResult,0,3,3,0,3,28,4,0,0,-1,0,2
HomeController,0,3,0,0,3,21,3,0,0,-1,0,1
ManageController,3,22,3,0,18,376,45,0,0,0.949999988079071,9,0
ManageMessageId,0,0,0,0,0,10,0,0,0,-1,0,1
ValuesController,0,5,0,0,5,29,5,0,0,-1,0,1
Link,3,0,0,3,0,6,0,0,0,-1,0,1
SearchController,0,1,0,0,1,43,1,0,0,-1,1,0
SlaveController,2,3,0,0,3,35,3,0,0,1,2,0
InitialCreate,1,2,3,0,2,112,2,0,0,1,0,0
addtableSlaveControl,1,2,3,0,2,40,2,0,0,1,0,0
changedSlaveControlBuildNumber,1,2,3,0,2,33,2,0,0,1,0,0
Configuration,0,2,0,0,1,32,2,0,0,-1,1,0
ApplicationUser,0,1,0,0,1,10,1,0,0,-1,0,2
ApplicationDbContext,0,2,1,0,2,14,2,0,0,-1,0,3
ExternalLoginConfirmationViewModel,0,0,1,0,0,6,0,0,0,-1,0,1
ExternalLoginListViewModel,0,0,1,0,0,4,0,0,0,-1,0,0
SendCodeViewModel,0,0,4,0,0,7,0,0,0,-1,0,1
VerifyCodeViewModel,0,0,5,0,0,15,0,0,0,-1,0,1
ForgotViewModel,0,0,1,0,0,6,0,0,0,-1,0,0
LoginViewModel,0,0,3,0,0,15,0,0,0,-1,0,1
RegisterViewModel,0,0,3,0,0,18,0,0,0,-1,0,1
ResetPasswordViewModel,0,0,4,0,0,20,0,0,0,-1,0,1
ForgotPasswordViewModel,0,0,1,0,0,7,0,0,0,-1,0,1
IndexViewModel,0,0,5,0,0,8,0,0,0,-1,0,1
ManageLoginsViewModel,0,0,2,0,0,5,0,0,0,-1,0,0
FactorViewModel,0,0,1,0,0,4,0,0,0,-1,0,0
SetPasswordViewModel,0,0,2,0,0,13,0,0,0,-1,0,1
ChangePasswordViewModel,0,0,3,0,0,18,0,0,0,-1,0,1
AddPhoneNumberViewModel,0,0,1,0,0,7,0,0,0,-1,0,1
VerifyPhoneNumberViewModel,0,0,2,0,0,11,0,0,0,-1,0,1
ConfigureTwoFactorViewModel,0,0,2,0,0,5,0,0,0,-1,0,0
