Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Config,2,1,10,1,0,193,1,0,0,0,2,8
StartupOptions,0,0,0,0,0,12,0,0,0,-1,0,2
CsQueryConfig,7,2,10,0,1,239,2,0,0,1,9,1
CQ,5,289,11,0,234,8187,490,0,0,0.2599999904632568,37,88
CSSRuleType,0,0,0,0,0,31,0,0,0,-1,0,0
IFormReassociateableElement,0,0,0,0,0,3,0,6,1,-1,0,0
IFormSubmittableElement,0,0,0,0,0,3,0,5,1,-1,0,0
IFormAssociatedElement,0,0,1,0,0,7,0,3,0,-1,0,0
IHTMLButtonElement,0,0,0,0,0,3,0,1,2,-1,0,1
IHTMLTextAreaElement,0,0,0,0,0,3,0,1,2,-1,0,1
ICSSRule,0,0,4,0,0,29,0,2,0,-1,0,3
ICSSStyleRule,0,0,2,0,0,15,0,1,1,-1,0,0
ICSSStyleSheet,0,0,5,0,0,37,0,1,0,-1,0,2
IHTMLFormElement,0,0,9,0,0,65,0,1,1,-1,0,1
IHTMLLabelElement,0,0,2,0,0,14,0,1,2,-1,0,2
RelLink,0,0,0,0,0,85,0,0,0,-1,0,0
IHTMLMeterElement,0,0,7,0,0,44,0,1,1,-1,0,0
IHTMLLIElement,0,0,1,0,0,8,0,1,1,-1,0,0
IHTMLProgressElement,0,0,4,0,0,28,0,1,1,-1,0,0
IHTMLOptionElement,0,0,2,0,0,24,0,1,1,-1,0,3
IHTMLInputElement,0,0,2,0,0,15,0,1,2,-1,0,1
IHTMLAnchorElement,0,0,5,0,0,36,0,1,1,-1,0,2
RelAnchor,0,0,0,0,0,85,0,0,0,-1,0,1
INodeList,0,3,2,0,0,60,3,3,1,-1,0,21
IHTMLSelectElement,0,0,5,0,0,51,0,1,2,-1,0,6
DomIndexProviders,3,1,3,0,0,57,1,0,0,0,1,1
SimpleDomIndexProvider,0,1,0,0,1,17,1,0,1,-1,1,0
RangedDomIndexProvider,0,1,0,0,1,15,1,0,1,-1,1,0
NoDomIndexProvider,0,1,0,0,1,15,1,0,1,-1,1,0
IDomObject,0,25,39,0,0,797,25,6,1,-1,0,97
IHTMLOptionsCollection,0,2,0,0,0,78,2,1,0,-1,0,0
HtmlParsingOptions,0,0,0,0,0,28,0,0,0,-1,0,8
HtmlParsingMode,0,0,0,0,0,27,0,0,0,-1,0,10
HtmlEncoders,5,0,1,5,0,48,0,0,0,-1,1,7
OutputFormatters,0,4,7,0,3,155,5,0,0,-1,5,9
When,0,6,1,0,6,120,6,0,0,-1,4,3
CSSStyleType,0,0,0,0,0,42,0,0,0,-1,0,2
DocType,0,0,0,0,0,33,0,0,0,-1,0,10
DomRenderingOptions,0,0,0,0,0,37,0,0,0,-1,0,10
NodeType,0,0,0,0,0,37,0,0,0,-1,0,24
ICSSStyle,0,0,5,0,0,33,0,1,0,-1,0,0
ICSSStyleDeclaration,0,7,3,0,0,126,7,1,0,-1,0,0
IAttributeCollection,0,2,1,0,0,31,2,1,0,-1,0,1
IDomCData,0,0,0,0,0,4,0,1,1,-1,0,0
IDomComment,0,0,1,0,0,8,0,1,1,-1,0,1
IDomContainer,0,1,0,0,0,12,1,3,2,-1,0,31
IDomDocument,0,12,6,0,0,260,12,2,3,-1,1,35
IDomDocumentType,0,0,1,0,0,8,0,1,1,-1,0,2
IDomElement,0,1,2,0,0,29,1,12,3,-1,0,44
IDomFragment,0,0,0,0,0,4,0,1,4,-1,0,3
IDomIndexedNode,0,1,1,0,0,21,1,1,1,-1,0,4
IDomInnerText,0,0,0,0,0,4,0,0,1,-1,0,0
IDomInvalidElement,0,0,0,0,0,5,0,0,1,-1,0,0
IDomText,0,0,0,0,0,4,0,3,2,-1,0,8
IDomNode,0,8,10,0,0,170,8,4,0,-1,2,0
IDomSpecialElement,0,0,1,0,0,9,0,3,2,-1,0,1
JsObject,0,28,8,0,13,570,37,0,0,-1,2,11
Objects,1,55,0,0,47,1797,121,0,0,0.25,11,15
CSSRule,0,1,4,0,1,65,1,1,1,-1,2,0
CSSStyleChangedArgs,0,1,1,0,1,24,1,0,0,-1,0,2
CSSStyleRule,0,1,3,0,1,61,1,0,2,-1,2,0
CSSStyleSheet,1,1,5,0,1,108,1,0,1,0,1,0
