Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Algo,0,2,0,0,1,88,6,0,0,-1,0,0
StartPosComparer<TItem>,0,1,0,0,1,23,1,0,0,-1,0,0
CsvCorpusParser<TTag>,2,2,0,0,2,71,2,0,1,0,1,0
Enumers,0,9,0,0,9,113,13,0,0,-1,0,1
EnumConverter<TEnum>,2,2,0,2,0,23,2,0,0,0,0,0
EnumsTagWorker<TType>,6,1,4,0,1,78,1,0,1,0,1,0
HtmlEntitiesParser,0,1,0,0,1,19,1,0,0,-1,0,0
Extensions,0,6,0,0,6,83,7,0,0,-1,0,0
HtmlCorpusParser<TTag>,1,4,0,0,2,218,13,0,1,0.75,1,0
TagPart<TType>,0,1,7,0,1,21,1,0,0,-1,0,0
ParsingState,0,0,0,0,0,19,0,0,0,-1,0,1
HtmlRenderer<TTag>,3,3,0,0,2,148,12,0,1,0,2,0
EndPositionComparer,1,2,0,0,2,26,3,0,0,0,0,1
StartPositionComparer,1,2,0,0,2,26,3,0,0,0,0,1
ModelParsingException<TTag>,0,5,4,0,0,70,6,0,0,-1,0,0
Candidate<TType>,0,2,2,0,2,28,2,0,0,-1,1,0
Comparer,0,3,0,0,1,119,11,0,0,-1,1,0
ComparisonReport<TType>,4,14,5,1,2,243,31,0,0,0.5,2,0
PrecRecall,0,1,3,0,1,25,1,0,0,-1,0,1
Const,3,0,0,3,0,6,0,0,0,-1,0,4
StringTagsWorker,4,1,4,0,1,64,1,0,1,0,0,2
HtmlParser,0,1,0,0,1,18,1,0,0,-1,0,0
Match<TType>,0,2,0,0,1,25,2,0,0,-1,0,0
Mismatch<TType>,1,2,2,0,1,33,2,0,0,1,0,0
RenderingExtensions,0,3,0,0,3,76,3,0,0,-1,0,0
Tag<TTag>,0,2,4,0,2,44,2,0,1,-1,0,0
TagsCorpus<TTag>,0,3,2,0,3,39,3,0,0,-1,1,0
ITagComparer,0,1,0,0,0,7,1,3,0,-1,0,4
TagsMatchers<TType>,4,1,0,4,0,117,1,0,0,0,1,0
StrictComparer,0,1,0,0,1,22,2,0,1,-1,0,0
LenientComparer,0,1,0,0,1,27,3,0,1,-1,1,0
SemiStrictComparer,0,1,0,0,1,27,3,0,1,-1,1,0
PosComparer<T>,0,1,0,0,1,8,1,0,0,-1,0,0
TagsPair<T>,0,3,2,0,2,41,3,0,0,-1,1,0
ICorpusParser,0,1,0,0,0,10,1,2,0,-1,0,0
ITagsRenderer,0,1,0,0,0,10,1,1,0,-1,0,1
ITagsWorker,0,0,4,0,0,26,0,2,0,-1,0,0
IRange,0,0,2,0,0,12,0,2,0,-1,0,0
