Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
GedcomAddress,22,4,22,0,3,950,72,0,0,1,3,10
GedcomAge,6,4,9,0,3,320,7,0,0,1,3,4
GedcomAssociation,2,2,4,0,2,90,3,0,1,1,1,5
GedcomChangeDate,0,2,0,0,1,19,2,0,1,-1,1,7
GedcomCustomRecord,1,2,3,0,2,45,2,0,1,1,1,1
GedcomDatabase,15,11,16,0,9,462,25,0,0,0.1800000071525574,12,67
GedcomDate,25,8,11,0,6,989,39,1,1,0.6200000047683716,5,21
GedcomDateType,0,0,0,0,0,9,0,0,0,-1,0,1
GedcomDatePeriod,0,0,0,0,0,12,0,0,0,-1,0,1
GedcomEvent,14,10,15,0,10,842,44,3,1,0.5,13,19
GedcomEventType,0,0,0,0,0,62,0,0,0,-1,0,14
GedcomFamilyEvent,2,2,5,0,2,156,6,0,2,1,3,10
GedcomFamilyLink,7,1,8,0,1,122,1,0,1,0,2,8
GedcomFamilyRecord,11,19,11,0,19,953,84,0,1,0.2099999934434891,14,20
GedcomHeader,15,2,18,0,2,335,13,0,1,1,3,7
GedcomIndividualEvent,3,3,6,0,3,185,8,0,2,1,6,14
GedcomIndividualRecord,18,21,24,3,21,1251,100,0,1,0.3799999952316284,15,34
GedcomMultimediaFile,5,2,5,0,1,109,3,0,0,1,2,4
GedcomMultimediaRecord,2,5,5,0,5,176,10,0,1,0.6000000238418579,4,5
GedcomName,13,4,17,0,3,643,43,0,1,0.5,2,14
GedcomNoteRecord,2,4,3,1,4,97,6,0,1,1,2,9
GedcomPlace,6,2,9,0,2,293,21,0,1,1,2,14
GedcomRecordType,0,0,0,0,0,29,0,0,0,-1,0,8
GedcomSex,0,0,0,0,0,8,0,0,0,-1,0,5
PedegreeLinkageType,0,0,0,0,0,14,0,0,0,-1,0,5
ChildLinkageStatus,0,0,0,0,0,7,0,0,0,-1,0,2
GedcomRestrictionNotice,0,0,0,0,0,7,0,0,0,-1,0,5
GedcomCertainty,0,0,0,0,0,8,0,0,0,-1,0,4
GedcomAdoptionType,0,0,0,0,0,7,0,0,0,-1,0,3
SourceMediaType,0,0,0,0,0,26,0,0,0,-1,0,4
MarriageStartStatus,0,0,0,0,0,8,0,0,0,-1,0,1
GedcomRecord,13,13,15,0,8,523,44,17,0,0.5400000214576721,7,52
GedcomRecordedEvent,5,2,5,0,1,139,3,0,0,1,4,4
GedcomRecordList<T>,0,12,0,0,11,97,15,0,0,-1,0,0
GedcomRepositoryCitation,4,4,6,0,4,192,11,0,1,0.5,4,3
GedcomRepositoryRecord,3,6,6,0,6,196,10,0,1,0.8299999833106995,4,8
GedcomSourceCitation,8,4,9,1,4,311,22,0,1,0.75,5,6
GedcomSourceRecord,14,7,13,4,7,516,43,0,1,0.5699999928474426,8,11
GedcomSubmissionRecord,6,1,8,0,1,116,1,0,1,0,0,1
GedcomSubmitterRecord,4,3,7,0,3,185,9,0,1,1,3,5
GedcomVariation,5,2,4,0,1,98,3,0,0,1,2,3
Util,1,9,0,0,9,310,27,0,0,0.4399999976158142,0,19
XRefIndexedKeyCollection,3,1,2,0,1,83,1,0,1,0,1,1
