Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AnalyzerCategory,1,0,0,0,0,4,0,0,0,-1,0,0
AnalyzerConstants,0,1,4,0,0,66,1,0,0,-1,0,0
DocumentEditorExt,0,1,0,0,0,123,1,0,0,-1,1,0
MakeSealedRewriter,2,7,0,1,7,114,20,0,0,0.8600000143051147,0,1
InjectFix,0,6,1,0,2,335,26,0,0,-1,3,1
ReplaceNodes,3,7,1,0,5,85,12,0,0,0.4300000071525574,1,1
MakeInternalFix,0,2,1,0,2,34,4,0,0,-1,0,1
MakeSealedFix,0,1,1,0,0,26,3,0,0,-1,0,0
MoveArgumentFix,0,7,1,0,0,139,22,0,0,-1,2,2
NameArgumentsFix,1,3,1,0,0,84,9,0,0,0.6700000166893005,2,1
NonSerializedFix,3,1,1,0,0,58,5,0,0,0,0,1
NullCheckParameterFix,0,4,1,0,0,145,9,0,0,-1,0,1
RenameConstructorArgumentsFix,0,2,1,0,2,38,4,0,0,-1,0,1
SortPropertiesFix,0,5,1,0,0,105,11,0,0,-1,0,1
TestMethodParametersFix,0,3,1,0,0,131,13,0,0,-1,1,0
ThrowForCorrectParameterFix,0,1,1,0,0,31,3,0,0,-1,0,1
UseGetOnlyFix,1,7,1,0,0,197,27,0,0,1,2,1
UseLambdaFix,0,3,1,0,0,72,8,0,0,-1,0,0
UselessDocsFix,0,2,1,0,0,74,6,0,0,-1,1,0
UseNameofFix,0,3,1,0,0,66,8,0,0,-1,0,1
UseParameterFix,0,1,1,0,0,44,4,0,0,-1,0,0
GU0001NameArguments,2,0,0,1,0,14,0,0,0,-1,0,2
GU0002NamedArgumentPositionMatches,2,0,0,1,0,14,0,0,0,-1,0,2
GU0003CtorParameterNamesShouldMatch,2,0,0,1,0,14,0,0,0,-1,0,1
GU0004AssignAllReadOnlyMembers,2,0,0,1,0,14,0,0,0,-1,0,1
GU0005ExceptionArgumentsPositions,2,0,0,1,0,14,0,0,0,-1,0,2
GU0006UseNameof,2,3,1,1,1,80,8,0,0,1,0,2
GU0007PreferInjecting,2,10,1,1,1,339,52,0,0,0.699999988079071,1,5
Injectable,0,0,0,0,0,6,0,0,0,-1,0,2
GU0008AvoidRelayProperties,2,0,0,1,0,14,0,0,0,-1,0,1
GU0009UseNamedParametersForBooleans,2,7,1,1,1,145,16,0,0,0.4300000071525574,3,2
GU0010DoNotAssignSameValue,2,0,0,1,0,14,0,0,0,-1,0,1
