Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AuthConfig,1,3,0,0,1,71,6,0,0,0,0,1
AutoMapperConfig,0,1,0,0,1,13,1,0,0,-1,0,2
DatabaseConfig,0,1,0,0,1,8,1,0,0,-1,1,1
Startup,0,2,3,0,1,82,2,0,0,-1,0,0
BundleConfig,0,1,0,0,1,42,1,0,0,-1,0,1
FilterConfig,0,1,0,0,1,9,1,0,0,-1,0,1
RouteConfig,0,1,0,0,1,45,1,0,0,-1,0,1
WebApiConfig,0,1,0,0,1,22,1,0,0,-1,0,1
MvcApplication,4,1,1,2,0,57,1,0,0,0,8,3
AdminAreaRegistration,0,1,1,0,1,19,1,0,0,-1,0,0
APIController,1,4,0,0,3,200,16,0,1,0.5,5,0
AssetsController,5,11,0,0,10,546,57,0,1,0,11,1
CommentsController,2,12,0,0,8,200,24,0,1,0.1700000017881393,3,0
ContactsController,1,4,0,0,3,272,19,0,1,0.5,4,1
CustomersController,1,7,0,0,7,180,17,0,1,0.2899999916553497,4,0
UsersController,1,15,0,0,9,488,61,0,1,0.1299999952316284,4,1
APICustomerModel,0,0,2,0,0,5,0,0,0,-1,0,1
AddOrUpdateUserForm,0,1,10,0,1,32,1,0,0,-1,0,4
webpages_UsersInRolesModel,0,1,3,0,1,10,1,0,0,-1,0,0
AssetDocumentModel,0,0,4,0,0,7,0,0,0,-1,0,0
AssetInErrorModel,0,0,6,0,0,9,0,0,0,-1,0,1
AssetModificationModel,0,0,1,0,0,4,0,0,1,-1,0,1
AssetSearchForm,0,0,4,0,0,7,0,0,0,-1,0,2
AssetsWithDocumentsModel,0,0,2,0,0,5,0,0,0,-1,0,1
SaveAssetForm,0,0,11,0,0,19,0,0,0,-1,0,3
U1AFormErrorModel,0,0,6,0,0,9,0,0,0,-1,0,1
ContactModel,0,0,5,0,0,8,0,0,0,-1,0,0
SaveContactCategoryModel,0,0,3,0,0,6,0,0,0,-1,0,2
UsersGridDataBuilder,1,6,0,0,6,98,6,0,0,0.8299999833106995,1,0
AddOrUpdateUserFormValidator,2,2,0,0,2,31,3,0,0,0,1,0
AnalyticsController,2,4,0,0,4,145,13,0,1,0.5,2,0
ActionGroup,0,0,3,0,0,6,0,0,0,-1,0,1
