Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FormatterData,4,0,4,0,0,58,0,0,0,-1,1,2
FormatterDataCollection,0,12,0,0,12,134,14,0,0,-1,2,1
FormatterDataEnumerator,1,5,2,0,2,67,5,0,0,0,1,1
FormatterType,0,0,0,0,0,11,0,0,0,-1,0,1
FormatterElement,1,0,5,0,0,60,0,0,0,-1,1,1
FormatterElementCollection,0,12,0,0,12,134,14,0,0,-1,2,2
FormatterElementEnumerator,1,5,2,0,2,67,5,0,0,0,1,1
NUnit2Test,7,0,8,0,0,106,0,0,0,-1,1,2
NUnit2TestCollection,0,12,0,0,12,134,14,0,0,-1,2,2
NUnit2TestEnumerator,1,5,2,0,2,67,5,0,0,0,1,1
Categories,2,0,2,0,0,29,0,0,0,-1,1,1
Category,3,0,3,0,0,44,0,0,0,-1,0,1
CategoryCollection,0,14,0,0,14,195,19,0,0,-1,2,2
CategoryEnumerator,1,5,2,0,2,67,5,0,0,0,1,1
TraceLogger,1,4,0,0,3,25,4,0,1,0,0,0
ILog,0,2,0,0,0,5,2,2,0,-1,0,1
LogManager,2,3,0,0,3,30,5,0,0,0.6700000166893005,1,0
NullLogger,0,2,0,0,2,11,2,0,1,-1,0,0
NUnit2OutProcTask,3,6,5,0,0,229,16,0,0,0,3,0
