Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AccessModifer,0,0,0,0,0,1,0,0,0,-1,0,75
AccessModifierExtensions,0,1,0,0,1,9,1,0,0,-1,3,0
ArgumentDirection,0,0,0,0,0,4,0,0,0,-1,0,32
ArgumentDirectionExtenstions,0,1,0,0,1,13,2,0,0,-1,1,0
AssemblyData,2,8,4,1,7,75,8,1,1,0.5,0,95
AssemblyDataComparer,0,2,0,0,2,12,2,0,0,-1,1,0
CleanConstructor,1,2,0,1,2,23,2,0,1,1,4,17
CleanConstructors,0,1,0,0,1,5,1,0,0,-1,0,12
CleanDetachedVariable,0,1,0,0,1,8,1,0,1,-1,1,12
CleanEvent,0,3,0,0,3,20,3,0,1,-1,3,6
CleanEvents,0,1,0,0,1,7,1,0,0,-1,0,2
CleanField,0,1,0,0,1,7,1,0,1,-1,2,2
CleanMethods,0,1,0,0,1,5,1,0,0,-1,0,34
CleanArrayElement,0,1,1,0,1,10,1,0,1,-1,2,7
CleanProperty,0,1,0,0,1,8,1,0,1,-1,2,2
ShallowCollectionInfo,1,2,4,1,1,20,2,0,0,1,1,2
CollectionInfo,1,2,5,1,1,28,2,0,0,1,2,42
IContainerOfTypeMemberData,0,0,1,0,0,4,0,3,0,-1,0,9
ITypeSystem,0,24,0,0,0,41,24,1,0,-1,4,209
TypeDataProperties,0,0,0,0,0,27,0,0,0,-1,0,37
IPartOfTest,0,2,0,0,0,7,2,11,0,-1,0,16
CleanAssembly,0,2,2,0,2,17,2,0,0,-1,1,11
OverloadResolutionParameterInfo,0,3,2,0,3,26,4,0,0,-1,0,7
ParameterData,0,4,3,0,4,32,4,0,0,-1,3,5
ParameterTypeData,0,4,2,0,4,30,5,0,0,-1,0,0
CleanMethodContents,1,1,4,1,1,30,1,0,0,0,0,12
CleanArguments,2,2,2,2,1,23,2,0,0,1,3,29
CleanMembers,0,1,4,0,1,11,1,0,0,-1,0,30
CleanReturnValue,0,1,1,0,1,14,1,0,1,-1,1,17
TypeMemberData,1,9,11,0,7,124,10,1,1,0.5600000023841858,5,95
MemberRole,0,0,0,0,0,1,0,0,0,-1,0,32
CleanArgument,0,1,1,0,1,11,1,0,1,-1,2,37
CleanMember,0,2,7,0,1,30,2,3,1,-1,2,75
