Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CustomExceptionHandler,1,1,0,0,1,19,2,0,0,0,0,0
FilterConfig,0,1,0,0,1,7,1,0,0,-1,0,1
RequestContext,0,1,3,0,1,13,1,0,0,-1,0,0
Startup,0,2,0,0,2,22,2,0,0,-1,0,0
ValidationErrorResult,1,2,0,0,2,14,2,0,0,0,0,0
WebApiConfig,0,1,0,0,1,11,1,0,0,-1,0,1
WebApiApplication,0,1,0,0,0,9,1,0,0,-1,2,0
StructuremapMvc,0,2,1,0,2,22,2,0,0,-1,3,2
StructuremapWebApi,0,1,0,0,1,6,1,0,0,-1,2,0
ApiAuthorizeAttribute,0,1,0,0,0,7,1,0,0,-1,0,0
TaskController,2,4,0,0,4,67,5,0,0,0.5,0,2
DefaultRegistry,0,3,0,0,1,31,3,0,0,-1,0,0
IoC,0,1,0,0,1,9,1,0,0,-1,0,1
StructureMapDependencyScope,1,7,3,0,5,94,11,1,0,0.7099999785423279,0,3
StructureMapScopeModule,0,2,0,0,2,16,2,0,0,-1,2,1
StructureMapWebApiDependencyResolver,0,2,0,0,2,33,2,0,1,-1,0,0
StructureMapWebApiDependencyScope,0,1,0,0,1,6,1,1,1,-1,0,0
DefaultRegistry,0,3,0,0,1,32,3,0,0,-1,0,0
ApprenticeshipUpdateAcceptedMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
ApprenticeshipUpdateCancelledMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
ApprenticeshipUpdateRejectedMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
ApprenticeshipUpdateCreatedMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
ApprovedCohortReturnedToProviderMessageProcessor,2,2,0,0,1,30,2,0,0,0,1,1
CohortApprovedBySenderMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,0
CohortRejectedBySenderMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,0
CohortApprovalRequestedBySenderMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,0
RejectedTransferConnectionInvitationMessageProcessor,2,2,0,0,1,28,2,0,0,0,1,1
ApprovedTransferConnectionInvitationMessageProcessor,2,2,0,0,1,28,2,0,0,0,1,1
CohortApprovalRequestedMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
CohortApprovedMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
SentTransferConnectionInvitationEventMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
CohortCreatedMessageProcessor,2,2,0,0,1,27,2,0,0,0,1,1
LegalEntityRemovedMessageProcessor,2,2,0,0,1,29,3,0,0,0,1,1
ProviderCohortApprovalUndoneByEmployerUpdateMessageProcessor,2,2,0,0,1,29,2,0,0,0,1,1
SignedEmployerAgreementMessageProcessor,2,4,0,0,1,65,5,0,0,0,1,1
CreatedEmployerAgreementMessageProcessor,2,2,0,0,1,29,2,0,0,0,1,1
WorkerRole,3,3,0,0,3,75,4,0,0,0,0,0
SaveUserReminderSuppressionFlagCommand,0,0,3,0,0,6,0,0,0,-1,0,4
SaveUserReminderSuppressionFlagCommandHandler,3,2,0,0,2,34,3,0,0,0,5,1
SaveUserReminderSuppressionFlagCommandValidator,0,2,0,0,2,29,5,0,1,-1,2,1
SaveUserReminderSuppressionFlagCommandResponse,0,0,0,0,0,3,0,0,0,-1,0,1
SaveTaskCommand,0,0,4,0,0,7,0,0,0,-1,0,4
SaveTaskCommandHandler,2,2,0,0,2,46,5,0,0,0,5,1
SaveTaskCommandResponse,0,0,0,0,0,3,0,0,0,-1,0,1
SaveTaskCommandValidator,0,2,0,0,2,24,4,0,1,-1,3,1
INoRegistration,0,0,0,0,0,3,0,1,0,-1,0,0
InvalidRequestException,0,2,1,0,1,20,3,0,1,-1,0,0
NotFoundException,0,1,1,0,1,9,1,0,0,-1,0,0
GetTasksByEmployerAccountIdRequest,0,0,2,0,0,5,0,0,0,-1,0,4
GetTasksByEmployerAccountIdHandler,2,2,0,0,2,34,4,0,0,0,5,1
GetTasksByEmployerAccountIdResponse,0,0,1,0,0,4,0,0,0,-1,0,1
GetTasksByEmployerAccountIdValidator,0,2,0,0,2,19,3,0,1,-1,2,1
GetTaskRequest,0,0,2,0,0,5,0,0,0,-1,0,4
GetTaskRequestHandler,2,2,0,0,2,28,3,0,0,0,5,1
GetTaskRequestValidator,0,2,0,0,2,24,4,0,1,-1,3,1
GetTaskResponse,0,0,1,0,0,4,0,0,0,-1,0,1
IValidator,0,2,0,0,0,6,2,4,0,-1,0,4
ValidationResult,0,4,2,0,4,31,5,0,0,-1,0,12
