Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BinaryPropertyDeserializer,2,22,0,0,4,352,42,0,1,0,16,0
BinaryPropertySerializer,1,21,0,0,3,267,33,0,1,0,15,0
PropertyCache,1,2,0,0,2,21,3,0,0,0,0,1
SizeOptimizedBinaryReader,5,10,0,0,9,129,13,0,1,0.2000000029802322,2,0
BurstBinaryReader,3,9,0,0,9,99,12,0,1,0.2199999988079071,2,0
BurstBinaryWriter,3,9,0,0,9,102,12,0,1,0,2,0
PropertyProvider,3,4,3,0,1,163,13,1,0,0,3,2
PropertiesToIgnore,1,3,0,0,2,105,5,0,0,0,2,4
TypePropertiesToIgnore,1,1,2,0,1,21,1,0,0,0,0,2
TypePropertiesToIgnoreCollection,0,4,0,0,3,36,9,0,0,-1,1,1
DefaultXmlReader,5,13,0,0,10,217,27,0,1,0,2,1
XmlPropertyDeserializer,2,21,0,0,4,411,75,0,1,0,20,0
XmlPropertySerializer,1,23,0,0,3,318,44,0,1,0,16,0
SizeOptimizedBinaryWriter,6,12,0,0,9,233,17,0,1,0,3,0
ByteWriteCommand,0,2,1,0,2,14,2,0,1,-1,0,0
NumberWriteCommand,0,2,1,0,2,14,2,0,1,-1,1,0
NumbersWriteCommand,0,2,1,0,2,14,2,0,1,-1,1,0
ValueWriteCommand,0,2,1,0,2,14,2,0,1,-1,1,0
WriteCommand,0,1,0,0,1,4,1,4,0,-1,0,1
DefaultXmlWriter,4,11,0,0,10,139,19,0,1,0,2,1
TypeNameConverter,1,7,3,0,4,108,13,0,1,0.5699999928474426,0,1
SimpleValueConverter,4,5,0,0,4,122,30,0,1,0,1,1
ArrayAnalyzer,3,11,1,0,4,181,19,0,0,0,2,1
ArrayInfo,1,0,1,0,0,16,0,0,0,-1,0,2
DefaultInitializer,0,5,0,0,5,36,5,0,0,-1,3,1
CreatingInstanceException,0,4,0,0,3,39,4,0,0,-1,0,0
DeserializingException,0,4,0,0,3,44,4,0,0,-1,0,0
Tools,0,6,0,0,6,116,15,0,0,-1,0,2
SimpleValueParsingException,0,4,0,0,3,37,4,0,0,-1,0,0
Property,0,4,4,0,2,84,5,3,0,-1,8,15
ReferenceTargetProperty,0,3,1,0,2,36,3,3,1,-1,2,12
ReferenceInfo,0,2,3,0,2,35,2,0,0,-1,0,9
NullProperty,0,3,0,0,2,25,3,0,1,-1,1,6
PropertyCollection,0,4,1,0,0,48,5,0,0,-1,1,8
SimpleProperty,0,3,1,0,2,36,3,0,1,-1,2,8
ComplexProperty,1,3,1,0,2,52,4,2,2,1,3,11
CollectionProperty,1,3,2,0,2,57,4,0,3,1,3,9
DictionaryProperty,1,3,3,0,2,63,4,0,3,1,3,8
SingleDimensionalArrayProperty,1,3,3,0,2,64,4,0,2,1,3,9
MultiDimensionalArrayProperty,2,3,3,0,2,72,4,0,2,1,3,8
MultiDimensionalArrayItem,0,1,2,0,1,22,1,0,0,-1,1,5
DimensionInfo,0,0,2,0,0,12,0,0,0,-1,0,7
KeyValueItem,0,1,2,0,1,22,1,0,0,-1,1,5
PropertyArt,0,0,0,0,0,30,0,0,0,-1,0,9
SharpSerializerSettings<T>,1,1,4,0,0,42,1,0,0,0,0,0
AdvancedSharpSerializerXmlSettings,0,0,1,0,0,8,0,0,1,-1,0,3
AdvancedSharpSerializerBinarySettings,0,0,0,0,0,3,0,0,1,-1,0,2
AdvancedSharpSerializerSettings,2,1,4,0,1,60,1,2,0,0,2,0
BinarySerializationMode,0,0,0,0,0,11,0,0,0,-1,0,6
SharpSerializerBinarySettings,0,2,2,0,2,30,2,0,0,-1,1,5
SharpSerializerXmlSettings,0,1,2,0,1,23,1,0,0,-1,0,3
ExcludeFromSerializationAttribute,0,0,0,0,0,4,0,0,0,-1,0,1
SharpSerializer,4,14,2,0,11,276,22,0,0,0.2099999934434891,18,4
Elements,13,1,0,13,1,75,6,0,0,0,0,2
SubElements,7,0,0,7,0,30,0,0,0,-1,0,0
Attributes,10,0,0,10,0,42,0,0,0,-1,0,0
NumberSize,4,1,0,4,1,35,4,0,0,0,0,2
IndexGenerator<T>,1,1,1,0,1,27,2,0,0,0,0,0
BinaryReaderTools,0,9,0,0,4,143,35,0,0,-1,1,2
BinaryWriterTools,0,8,0,0,4,227,34,0,0,-1,1,5
ISimpleValueConverter,0,2,0,0,0,15,2,2,0,-1,0,3
IXmlReader,0,9,0,0,0,61,9,1,0,-1,0,1
IXmlWriter,0,9,0,0,0,59,9,2,0,-1,0,2
IBinaryReader,0,8,0,0,0,50,8,3,0,-1,0,3
IBinaryWriter,0,8,0,0,0,49,8,3,0,-1,0,3
PropertyTypeInfo<TProperty>,0,2,4,0,2,48,2,0,0,-1,0,0
TypeInfoCollection,0,2,0,0,1,23,3,0,0,-1,1,1
PropertyFactory,4,12,0,0,2,248,32,0,0,0,16,2
TypeInfo,1,3,10,0,2,182,11,0,0,0,2,4
ITypeNameConverter,0,2,0,0,0,16,2,2,0,-1,0,9
IPropertySerializer,0,3,0,0,0,19,3,1,0,-1,1,2
PropertySerializer,0,14,0,0,3,193,28,2,1,-1,10,0
Elements,9,0,0,9,0,40,0,0,0,-1,0,2
SubElements,5,0,0,5,0,22,0,0,0,-1,0,2
Attributes,11,0,0,11,0,47,0,0,0,-1,0,2
IPropertyDeserializer,0,3,0,0,0,19,3,2,0,-1,0,2
ObjectFactory,2,11,0,0,1,332,43,0,0,0,16,1
MultiDimensionalArrayCreatingInfo,0,0,2,0,0,5,0,0,0,-1,0,1
