Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BundleConfig,0,1,0,0,1,25,1,0,0,-1,0,1
FilterConfig,0,1,0,0,1,7,1,0,0,-1,0,1
RouteConfig,0,1,0,0,1,13,1,0,0,-1,0,1
Startup,0,2,0,0,2,36,2,0,0,-1,0,0
WebApiConfig,0,1,0,0,1,16,1,0,0,-1,0,1
MvcApplication,0,1,0,0,0,11,1,0,0,-1,4,0
AccountController,1,22,2,0,17,393,43,0,0,0.5899999737739563,7,0
ManageMessageId,0,0,0,0,0,7,0,0,0,-1,0,1
ChallengeResult,0,3,3,0,3,27,4,0,0,-1,0,1
ChartsController,1,4,0,0,4,94,7,0,0,0,2,0
HomeController,0,4,0,0,4,28,4,0,0,-1,0,1
RankingController,1,11,0,0,8,659,53,0,0,0.1800000071525574,3,1
UserController,1,9,0,0,8,114,18,0,0,0.2199999988079071,2,1
initial,1,2,3,0,2,63,2,0,0,1,0,0
WinFirst,1,2,3,0,2,35,2,0,0,1,0,0
Configuration,0,2,0,0,1,96,2,0,0,-1,3,0
ExternalLoginConfirmationViewModel,0,0,1,0,0,6,0,0,0,-1,0,1
ManageUserViewModel,0,0,3,0,0,18,0,0,0,-1,0,1
LoginViewModel,0,0,3,0,0,14,0,0,0,-1,0,1
RegisterViewModel,0,0,3,0,0,17,0,0,0,-1,0,1
ApplicationUser,0,0,0,0,0,3,0,0,0,-1,0,1
ApplicationDbContext,0,1,0,0,1,7,1,0,0,-1,0,0
Ranking,0,0,15,0,0,49,0,0,0,-1,0,2
SickFridayDB,0,0,2,0,0,5,0,0,0,-1,0,4
User,0,0,6,0,0,21,0,0,0,-1,0,4
