Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SimhoppConsole,4,10,0,0,10,254,18,0,0,0,3,1
HandleClient,3,3,1,0,3,69,4,0,0,0,1,1
ServerObjectData,0,2,4,0,2,16,2,0,0,-1,0,1
ClientObjectData,0,2,2,0,2,12,2,0,0,-1,0,5
MsgBox,0,2,0,0,2,25,2,0,0,-1,0,7
Program,0,2,0,0,0,32,3,0,0,-1,3,0
Server,8,10,0,0,7,163,16,0,0,0.2000000029802322,4,1
Simhopp,6,46,0,0,45,669,58,0,1,0.03999999910593033,9,2
Contest,10,35,6,0,33,547,51,0,0,0.05999999865889549,6,9
DatabaseController,2,39,0,0,37,1380,99,0,0,0,7,3
ISimhopp,0,39,0,0,0,54,39,1,0,-1,1,1
JumpResult,4,7,3,0,7,148,13,0,0,0,0,5
Participant,3,17,2,0,17,189,20,0,0,0,2,7
Diver,0,3,0,0,3,33,3,0,1,-1,0,8
Judge,3,7,2,0,7,119,9,0,1,0,0,9
Person,4,6,4,0,5,153,7,2,0,0,0,3
Trick,3,3,3,0,3,80,3,0,0,0,0,4
TrickList,2,9,0,0,9,123,11,0,0,0.2199999988079071,2,3
PresenterStartScreen,0,40,2,0,34,220,40,0,0,-1,5,1
IStartScreen,0,0,0,0,0,59,0,1,0,-1,0,1
