Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BasicFeedForwardNeuralNetwork,9,8,6,0,4,431,51,0,0,0,0,1
FeatureScaler,0,11,0,0,8,239,28,0,0,-1,2,7
FeatureScalingParameters,2,1,2,0,1,38,1,0,0,0,0,3
FunctionMinimizer,2,5,0,0,5,269,17,0,0,0,6,7
GradientDescentOptimizer,7,6,0,0,6,185,14,0,0,0,7,5
HypothesisCalculatorUtilities,0,1,0,0,1,20,3,0,0,-1,1,3
ICostFunctionCalculator,0,1,0,0,0,5,1,2,0,-1,1,4
IHypothesisCalculator,0,1,0,0,0,5,1,2,0,-1,1,6
ICostFunctionGradientCalculator,0,1,0,0,0,5,1,1,1,-1,1,5
LoggingUtilities,1,2,0,0,2,25,2,0,0,0,0,2
LogisticRegressionCostFunctionCalculator,0,3,0,0,3,71,8,0,2,-1,3,3
LogisticRegressionErrorRateCalculator,2,3,0,0,3,54,5,0,0,0,3,3
LogisticRegressionHypothesisCalculator,1,2,0,0,2,24,2,0,1,0,2,2
MatrixRandomizer,0,1,0,0,1,37,4,0,0,-1,1,3
MatrixUtilities,0,5,0,0,5,126,18,0,0,-1,1,18
MetricsUtilities,1,7,0,0,7,73,7,0,0,0,0,2
MultivariateLinearRegressionCostFunctionCalculator,1,2,0,0,2,30,2,0,1,1,4,5
MultivariateLinearRegressionHypothesisCalculator,1,2,0,0,2,20,2,0,1,0,2,5
NullApplicationLogger,0,8,0,0,8,34,8,0,0,-1,0,0
PolynomialFeatureGenerator,1,2,0,0,2,83,7,0,0,0,2,3
TrainingDataProcessorArgumentValidator,0,2,0,0,2,38,6,0,0,-1,1,5
CostHistoryItem,2,1,2,0,1,45,2,0,0,0,0,0
Matrix,3,10,2,0,9,344,34,0,0,0,0,88
MatrixCsvReader,1,3,0,0,3,75,9,0,0,0,1,6
MnistImageFileReader,3,3,2,0,3,141,6,0,0,0,0,1
MnistLabelFileReader,1,3,0,0,3,74,6,0,0,0,0,1
Program,1,10,0,0,0,722,15,0,0,0.699999988079071,22,0
ContainerObjectXmlSerializer,5,3,0,0,3,79,7,0,0,0.6700000166893005,1,2
