Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ButtonReaction,4,4,1,0,2,110,6,0,0,0.5,2,1
Accessor,1,6,0,1,6,117,12,0,0,0.6700000166893005,2,11
ChannelsControler,1,1,0,0,1,24,2,0,0,0,4,2
ConversationControler,1,1,0,0,1,26,2,0,0,0,4,1
EmojiControler,1,1,0,0,1,24,2,0,0,0,5,1
Ext,0,2,0,0,2,39,7,0,0,-1,0,0
Status,6,1,6,0,1,51,1,0,1,0,0,2
Event,0,2,1,0,2,17,2,4,0,-1,0,4
GroupControler,1,1,0,0,1,24,2,0,0,0,3,2
ImControler,1,1,0,0,1,24,2,0,0,0,3,2
RtmControler,1,0,0,0,0,18,0,0,0,-1,0,0
SlackAdapter,9,10,8,1,4,187,18,0,0,0.300000011920929,15,18
SlackClientTest,2,2,0,0,2,26,2,0,0,0,0,0
SlackJsonConverter,1,5,0,0,4,94,15,0,0,0.6000000238418579,3,1
TrueCamelCasePropertyNamesContractResolver,0,2,0,0,0,14,3,0,0,-1,0,0
SlackRtm,7,12,10,0,9,179,26,0,0,0.3300000131130219,8,2
TeamControler,1,1,0,0,1,25,2,0,0,0,5,1
Token,3,1,3,0,1,40,1,0,0,0,0,3
UserControler,1,3,0,0,3,64,6,0,0,0,6,3
Ack,0,1,6,0,1,22,1,0,1,-1,0,1
AppHome,0,0,0,0,0,3,0,0,1,-1,0,1
Attachment,7,1,7,0,1,51,1,0,0,0,0,0
Authorisation,6,1,6,0,1,45,1,0,0,0,0,2
Channel,24,1,24,0,1,162,1,2,1,0,2,7
ChannelList,2,1,2,0,1,21,1,0,1,0,1,2
CommentDetail,4,1,4,0,1,33,1,0,0,0,0,0
Conversation,5,1,5,0,1,39,1,0,0,0,1,2
DoNotDisturb,7,1,7,0,1,51,1,0,0,0,0,0
Emoji,32,1,32,0,1,201,1,0,0,0,0,3
Emojis,2,1,2,0,1,21,1,0,1,0,1,1
File,36,1,36,0,1,226,1,0,0,0,0,1
FileInfo,4,1,4,0,1,33,1,0,0,0,2,0
Group,13,1,13,0,1,87,1,0,2,0,3,3
GroupInfo,2,1,2,0,1,21,1,0,0,0,1,0
History,3,1,3,0,1,27,1,0,0,0,0,0
Icon,8,0,8,0,0,53,0,0,0,-1,0,2
Im,6,1,6,0,1,45,1,0,2,0,0,2
Info,6,1,6,0,1,45,1,0,0,0,6,1
Latest,1,1,1,0,1,15,1,0,0,0,0,2
Member,19,1,19,0,1,123,1,0,0,0,1,6
Message,13,4,13,0,2,116,4,0,1,1,0,5
Mpim,11,0,11,0,0,71,0,0,1,-1,1,1
Paging,4,1,4,0,1,33,1,0,0,0,0,1
Permission,2,1,2,0,1,21,1,6,0,0,1,0
PermissionInfo,2,1,2,0,1,21,1,0,0,0,1,2
Profile,20,1,20,0,1,129,1,0,0,0,0,3
Purpose,3,1,3,0,1,27,1,0,0,0,0,2
Reaction,3,1,3,0,1,27,1,0,0,0,0,1
Response,2,1,2,0,1,22,1,4,0,0,0,10
ResponseMetadata,1,1,1,0,1,15,1,0,0,0,0,2
Resources,3,1,3,0,1,28,1,0,0,0,0,1
Rtm,7,1,7,0,1,57,1,0,1,0,4,0
Self,2,1,2,0,1,21,1,0,0,0,0,1
Team,5,1,5,0,1,38,1,0,1,0,1,6
TeamInfo,1,0,1,0,0,10,0,0,1,-1,1,1
Topic,3,1,3,0,1,27,1,0,0,0,0,2
Users,3,1,3,0,1,27,1,0,1,0,0,2
Hello,0,1,1,0,1,11,1,0,1,-1,0,0
SlackEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
UnknownEvent,1,2,1,1,1,24,2,0,1,0,0,1
SlackControl,6,10,1,0,3,187,14,0,0,0.300000011920929,6,1
SlackConversation,3,8,2,0,2,136,14,0,0,0.3799999952316284,5,1
SlackHeader,3,4,0,0,2,102,5,0,0,0.5,2,1
SlackInput,4,6,1,0,1,130,12,0,0,0.3300000131130219,2,1
SlackMenu,16,21,1,0,2,502,39,0,0,0.1899999976158142,10,1
SlackMessage,9,12,3,0,2,283,26,0,0,0.25,6,2
SlackSettings,13,7,1,0,2,283,10,0,0,0.5699999928474426,2,1
TestControler,1,1,0,0,1,22,1,0,0,0,3,1
PermissionControler,1,1,0,0,1,24,2,0,0,0,4,1
TestControler,1,1,0,0,1,24,2,0,0,0,4,1
Resources,2,1,10,0,0,121,1,0,0,0,0,2
