Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IWait,0,0,1,0,0,4,0,1,0,-1,0,1
Wait,0,1,1,0,1,10,1,0,1,-1,0,0
CapabilitiesBuilder,8,12,0,0,8,119,15,0,1,0,6,1
CapabilitiesExtensions,1,4,0,1,4,46,6,0,0,0.5,2,0
ICapabilitiesBuilder,0,7,0,0,0,16,7,1,0,-1,2,3
RemoteCapabilityType,0,0,0,0,0,26,0,0,0,-1,0,2
Default,3,0,0,3,0,6,0,0,0,-1,0,1
BrowserStack,13,0,0,13,0,16,0,0,0,-1,0,2
BrowserConfiguration,2,5,8,2,5,87,7,0,0,0.4000000059604645,0,15
BrowserConfigurationParser,6,5,0,2,2,110,14,0,1,0,2,1
BrowserHost,1,5,2,0,5,54,6,0,1,0,1,2
BrowserHostFactory,1,8,1,0,3,88,9,0,1,0,5,1
ConfigurationProvider,0,0,11,0,0,84,0,0,1,-1,0,0
Constants,6,0,0,6,0,9,0,0,0,-1,0,0
DateTimeProvider,0,0,1,0,0,7,0,0,1,-1,0,0
IBrowserConfigurationParser,0,1,0,0,0,4,1,1,0,-1,0,2
IBrowserHost,0,2,2,0,0,11,2,1,0,-1,0,5
IBrowserHostFactory,0,2,0,0,0,5,2,1,0,-1,2,2
IConfigurationProvider,0,0,9,0,0,13,0,1,0,-1,0,14
IDateTimeProvider,0,0,1,0,0,4,0,1,0,-1,0,2
InvalidDesktopResolution,0,1,1,0,1,9,1,0,0,-1,0,0
PrivateLocalServer,4,5,0,1,4,44,8,0,0,0.4000000059604645,3,1
RemoteBrowserConfigurator,4,2,0,0,2,34,3,0,0,0,7,1
TestSpecification,0,1,2,0,1,12,1,0,0,-1,0,5
EnumerableExtensions,0,1,0,0,1,9,1,0,0,-1,0,0
BoDiExtensions,0,5,0,0,4,44,9,0,0,-1,0,0
CategorySelection,2,3,0,1,3,31,4,0,0,0.6700000166893005,0,1
CodeAttributeDeclarationExtensions,0,2,0,0,2,26,3,0,0,-1,1,0
EnumExtensions,0,3,0,0,3,39,6,0,0,-1,0,0
PageProvider,1,3,1,0,2,24,3,0,0,1,0,1
SelenoExtensions,0,2,0,0,2,15,2,0,0,-1,0,0
TypeExtensions,0,2,0,0,2,11,2,0,0,-1,0,0
WebDriverExtensions,0,3,0,0,2,31,4,0,0,-1,0,0
IBrowserStackTunnel,0,5,1,0,0,9,5,1,0,-1,0,2
BrowserStackTunnel,8,11,3,1,6,180,19,0,1,0,3,1
BrowserStackLocalServer,9,5,1,0,4,139,11,0,1,0.4000000059604645,1,1
IBrowserStackLocalServer,0,2,1,0,0,6,2,1,0,-1,0,2
LocalState,0,0,0,0,0,8,0,0,0,-1,0,2
IProcess,0,6,0,0,0,22,6,1,0,-1,0,2
ProcessWrapper,1,7,1,0,7,70,7,0,1,0,0,1
BrowserStackService,2,5,0,0,4,57,5,0,1,0,7,1
IBrowserStackService,0,3,0,0,0,6,3,1,0,-1,2,4
Disposable,0,2,1,0,1,36,2,1,0,-1,0,1
NUnitAttributeConstants,10,0,0,10,0,14,0,1,0,-1,0,1
TestResultNotifier,4,3,1,0,2,58,7,0,0,0,5,1
BrowserEnum,0,0,0,0,0,8,0,0,0,-1,0,5
InvalidBrowserConfigurationException,0,1,0,0,1,6,1,0,0,-1,0,1
UnsupportedBrowserException,0,1,1,0,1,9,1,0,0,-1,1,0
IResponsiveComponent,0,0,0,0,0,1,0,1,0,-1,0,1
Page,0,0,2,0,0,16,0,1,1,-1,0,1
UiComponent,1,3,1,0,0,45,4,2,0,0,2,0
HttpClientFactory,3,2,0,2,2,21,2,0,1,0,2,1
HttpClientWrapper,0,6,1,0,5,57,7,0,1,-1,1,2
IHttpClient,0,3,0,0,0,8,3,1,0,-1,0,3
IHttpClientFactory,0,1,0,0,0,4,1,1,0,-1,0,2
AutomationSession,0,0,15,0,0,39,0,0,0,-1,0,4
SessionDetail,0,1,1,0,1,10,1,0,0,-1,0,2
SessionStatus,0,0,0,0,0,6,0,0,0,-1,0,7
SessionUpdate,0,1,2,0,1,12,1,0,0,-1,1,1
