Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Sys_CodeConfigServices,0,0,0,0,0,3,0,0,1,-1,0,0
Sys_GeneralServices,0,1,0,0,1,8,1,0,1,-1,1,1
Sys_SqlCommanderServices,0,2,0,0,2,88,2,0,1,-1,2,2
Sys_DelegateApproveServices,0,0,0,0,0,3,0,0,1,-1,0,0
Sys_VersionServices,0,0,0,0,0,4,0,0,1,-1,0,0
Sys_AttOvertimePermitConfigServices,3,24,1,0,21,1248,30,0,1,"0,209999993443489",13,21
Sys_AsynTaskServices,0,0,0,0,0,4,0,0,1,-1,0,1
Sys_BookmarkServices,0,0,0,0,0,5,0,0,1,-1,0,2
Sys_DynamicColumnServices,0,1,0,0,1,21,1,0,1,-1,3,2
Sys_GroupPermissionServices,0,4,0,0,4,108,4,0,1,-1,5,1
Sys_AutoBackupServices,0,0,0,0,0,4,0,0,1,-1,0,0
Task_AutoBackup,0,2,4,0,1,59,3,0,0,-1,1,0
Sys_LockObjectItemServices,0,0,0,0,0,3,0,0,1,-1,0,3
Sys_LockObjectServices,0,1,0,0,1,21,1,0,1,-1,3,3
Sys_ReleaseNoteServices,0,0,0,0,0,5,0,0,1,-1,0,0
Sys_GroupServices,0,2,0,0,2,31,3,0,1,-1,4,3
Sys_DataPermissionServices,0,4,0,0,4,73,6,0,1,-1,8,2
Sys_ResourceServices,0,3,0,0,3,62,4,0,1,-1,5,3
Sys_UserApproveServices,0,5,0,0,5,203,13,0,1,-1,14,1
Sys_CodeObjectServices,0,0,0,0,0,3,0,0,1,-1,0,0
Sys_UserServices,0,15,0,0,13,480,23,0,1,-1,22,6
Sys_AllSettingServices,0,5,0,0,5,151,5,0,1,-1,4,11
EmployeeServices,0,1,0,0,1,29,1,0,1,-1,4,2
HreGenericService<T>,1,1,0,0,1,9,1,0,0,0,2,0
Hre_AccidentServices,0,0,0,0,0,3,0,0,1,-1,0,0
Hre_ContractExtendServices,0,0,0,0,0,3,0,0,1,-1,0,2
Hre_AppendixContractServices,0,0,0,0,0,3,0,0,1,-1,0,2
Hre_PlanHeadCountServices,0,0,0,0,0,4,0,0,1,-1,0,1
Hre_ProfileQualificationServices,0,0,0,0,0,3,0,0,1,-1,0,0
Hre_StopWorkingServices,0,6,0,0,6,300,9,0,1,-1,23,3
Hre_UniformServices,0,0,0,0,0,3,0,0,1,-1,0,0
Hre_QualificationServices,0,0,0,0,0,3,0,0,1,-1,0,0
Hre_CertificateServices,0,0,0,0,0,3,0,0,1,-1,0,0
Hre_SoftSkillServices,0,0,0,0,0,3,0,0,0,-1,0,0
Hre_CardHistoryServices,0,0,0,0,0,3,0,0,1,-1,0,1
Hre_AddressServices,0,0,0,0,0,3,0,0,1,-1,0,1
Hre_ContractServices,0,6,0,0,6,449,17,0,1,-1,17,9
