Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BundleConfig,0,1,0,0,1,27,1,0,0,-1,0,1
AuthConfig,0,1,0,0,1,22,1,0,0,-1,0,1
About,0,1,0,0,0,10,1,0,0,-1,0,0
RouteConfig,0,1,0,0,1,7,1,0,0,-1,0,1
Contact,0,1,0,0,0,9,1,0,0,-1,0,0
_Default,0,1,0,0,0,9,1,0,0,-1,0,0
Global,0,3,0,0,0,22,3,0,0,-1,3,0
SiteMaster,6,3,0,0,0,91,5,0,0,0.6700000166893005,0,0
Site_Mobile,4,1,0,0,0,44,1,0,0,0,0,0
ViewSwitcher,0,1,3,0,0,32,2,0,0,-1,0,0
Login,2,1,0,0,0,34,2,0,0,0,1,0
Manage,5,5,2,0,2,137,9,0,0,1,0,0
OpenAuthProviders,1,2,1,0,1,47,5,0,0,1,0,1
Register,2,2,0,0,0,39,3,0,0,0,0,0
RegisterExternalLogin,2,6,4,0,0,166,15,0,0,0,0,0
