Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
OLE32,0,2,0,0,2,55,3,0,0,-1,0,0
retval,0,0,0,0,0,1,0,0,0,-1,0,0
DisposableObject,5,8,1,2,7,81,12,0,0,0.3799999952316284,0,0
ObjectUser,0,7,0,0,3,39,7,0,1,-1,0,0
OLE32Unsafe,0,3,0,0,1,83,4,0,0,-1,0,0
_GUID,4,0,0,4,0,8,0,0,0,-1,0,0
OLE32,0,2,0,0,2,55,3,0,0,-1,0,0
retval,0,0,0,0,0,1,0,0,0,-1,0,0
DisposableObject,5,8,1,2,7,81,12,0,0,0.3799999952316284,0,0
ObjectUser,0,7,0,0,3,39,7,0,1,-1,0,0
OLE32Unsafe,0,3,0,0,1,83,4,0,0,-1,0,0
_GUID,4,0,0,4,0,8,0,0,0,-1,0,0
ICallable,0,3,0,0,0,6,3,2,0,-1,0,2
Facade,0,2,0,0,2,14,3,0,0,-1,0,2
