Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SvgConverter,0,47,0,0,41,962,50,0,0,-1,8,8
StyleResolverUtil,2,5,0,0,2,85,11,0,0,0.4000000059604645,0,3
SvgAttributeInheritance,1,1,0,0,1,15,1,0,0,0,0,0
SvgNodeRendererInheritanceResolver,1,3,0,0,2,44,9,0,0,0,5,2
SvgStyleResolver,5,10,0,0,5,201,31,0,0,0.2000000029802322,6,2
SvgCssContext,0,0,0,0,0,2,0,0,0,-1,0,1
SvgLogMessageConstant,29,1,0,29,0,64,1,0,0,0,0,26
SvgProcessingException,0,2,0,0,2,14,2,0,0,-1,0,4
DefaultSvgProcessor,6,11,0,0,3,194,31,0,1,0.1800000071525574,17,7
ProcessorState,1,6,0,0,6,39,6,0,0,0,1,2
SvgConverterProperties,5,10,0,0,10,74,10,1,1,0.5,1,5
SvgProcessorContext,4,7,0,0,7,83,12,0,0,0.2899999916553497,1,5
SvgProcessorResult,4,7,0,0,7,46,8,0,1,0,1,1
FontFace,2,5,0,0,4,257,15,0,0,0,1,3
FontFaceSrc,7,5,0,0,1,129,9,0,0,0.4000000059604645,2,3
FontFormat,0,0,0,0,0,9,0,0,0,-1,0,3
SvgFontProcessor,1,4,0,0,2,94,12,0,0,0,5,2
ISvgConverterProperties,0,5,0,0,0,45,5,2,0,-1,0,9
ISvgProcessor,0,1,0,0,0,18,1,1,0,-1,1,0
ISvgProcessorResult,0,4,0,0,0,29,4,1,0,-1,0,12
DefaultSvgNodeRendererFactory,2,4,0,0,4,66,8,0,1,0.5,5,0
DefaultSvgNodeRendererMapper,0,2,0,0,2,77,2,0,1,-1,15,1
ISvgNodeRendererFactory,0,2,0,0,0,14,2,2,0,-1,1,6
ISvgNodeRendererMapper,0,2,0,0,0,14,2,4,0,-1,0,1
IBranchSvgNodeRenderer,0,2,0,0,0,9,2,2,1,-1,1,7
ISvgNodeRenderer,0,8,0,0,0,52,8,4,0,-1,1,43
SvgDrawContext,7,18,0,0,18,157,24,0,0,0.3300000131130219,2,29
AbstractBranchSvgNodeRenderer,1,11,0,0,5,222,28,2,2,0.1800000071525574,7,2
AbstractSvgNodeRenderer,4,17,0,0,11,232,40,11,1,0.2899999916553497,6,1
CircleSvgNodeRenderer,0,2,0,0,1,28,5,0,1,-1,2,6
EllipseSvgNodeRenderer,4,3,0,0,1,57,8,1,2,0.6700000166893005,4,3
GroupSvgNodeRenderer,0,2,0,0,1,17,3,0,3,-1,2,4
ImageSvgNodeRenderer,0,2,0,0,1,39,9,0,2,-1,3,1
LineSvgNodeRenderer,0,4,0,0,1,43,10,0,2,-1,3,3
NoDrawOperationSvgNodeRenderer,0,2,0,0,1,11,2,0,2,-1,2,4
PathSvgNodeRenderer,5,6,0,0,1,139,14,0,2,0.5,12,2
PdfRootSvgNodeRenderer,1,13,0,0,11,92,15,0,1,0.5400000214576721,3,1
PolygonSvgNodeRenderer,0,3,0,0,1,35,5,0,1,-1,1,2
PolylineSvgNodeRenderer,1,4,0,0,1,65,9,1,2,0.5,6,3
RectangleSvgNodeRenderer,0,6,0,0,2,137,15,0,2,-1,3,7
SvgTagSvgNodeRenderer,0,5,0,0,2,54,10,0,3,-1,4,7
TextSvgNodeRenderer,0,3,0,0,1,72,9,0,2,-1,5,3
UseSvgNodeRenderer,0,4,0,0,1,59,12,0,2,-1,6,4
AbstractPathShape,1,5,0,0,5,34,7,5,1,0.800000011920929,1,0
CurveTo,0,2,0,0,2,19,2,1,2,-1,2,1
LineTo,0,2,0,0,2,13,2,0,2,-1,2,1
MoveTo,0,2,0,0,2,13,2,0,2,-1,2,1
PathShapeMapper,0,1,0,0,1,11,1,0,1,-1,2,1
QuadraticCurveTo,0,2,0,0,2,18,2,0,2,-1,2,0
SmoothSCurveTo,0,0,0,0,0,2,0,0,3,-1,0,1
IPathShape,0,4,0,0,0,17,4,1,0,-1,0,2
IPathShapeMapper,0,1,0,0,0,11,1,1,0,-1,0,0
SvgPathShapeFactory,0,2,0,0,1,15,2,0,0,-1,2,1
SvgConstants,0,1,0,0,0,542,1,0,0,-1,0,41
Tags,81,0,0,81,0,293,0,0,0,-1,0,3
Attributes,63,0,0,63,0,191,0,0,0,-1,0,40
Values,16,0,0,16,0,48,0,0,0,-1,0,4
DrawUtils,0,2,0,0,1,31,4,0,0,-1,0,1
SvgCssUtils,0,5,0,0,4,49,6,0,0,-1,3,7
SvgMathUtils,1,2,0,0,1,18,2,0,0,1,0,1
SvgTextUtil,0,3,0,0,2,58,11,0,0,-1,0,2
TransformUtils,6,12,0,0,1,246,28,0,0,0.1700000017881393,2,8
