Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ServiceModule,0,1,0,0,0,12,1,0,0,-1,1,0
BankDetailsService,1,4,0,0,4,60,6,0,1,0,7,2
CertificateService,4,10,0,0,6,105,21,0,1,0,15,6
CompanyDetailsService,5,15,0,0,8,173,25,0,1,0.1299999952316284,16,6
ConsignmentItemService,5,12,0,0,12,162,34,0,1,0,17,7
ConsignmentService,4,10,0,0,8,107,22,0,1,0,15,6
CurrencyService,1,6,0,0,5,62,13,0,1,0,7,6
CustomerService,1,13,0,0,7,155,21,0,1,0,9,12
DeliveryItemService,6,16,0,0,12,172,34,0,1,0,21,7
DeliveryService,4,10,0,0,8,111,22,0,1,0,14,4
EntityIdProviderFromWebService,1,3,0,0,2,39,4,0,1,0,2,0
EntityIdProviderService,1,2,0,0,2,17,2,0,1,0,3,1
InstrumentService,1,10,0,0,9,95,20,0,1,0,7,16
InvoiceItemService,6,14,0,0,9,175,29,0,1,0,21,5
InvoiceService,9,13,0,0,7,146,26,0,1,0,27,4
JobItemService,4,17,0,0,10,194,37,0,1,0,17,22
JobService,5,13,0,0,11,148,28,0,1,0,16,12
ListItemService,1,5,0,0,5,35,6,0,1,0,6,21
OrderItemService,5,23,0,0,15,259,49,0,1,0,18,7
OrderService,7,16,0,0,12,179,34,0,1,0,22,5
QuoteItemService,5,26,0,0,17,321,62,0,1,0,18,8
QuoteService,6,11,0,0,8,129,23,0,1,0,19,5
ServiceBase,2,3,1,0,2,32,4,23,0,0.6700000166893005,4,1
SupplierService,2,11,0,0,7,115,18,0,1,0,10,7
TaxCodeService,1,2,0,0,2,26,3,0,1,0,5,1
UserManagementService,3,10,0,0,8,104,19,0,1,0.2000000029802322,9,7
DomainValidationException,0,7,1,0,7,42,7,0,0,-1,0,40
IValidator,0,1,0,0,0,4,1,2,0,-1,0,1
ValidationExtensions,0,2,0,0,2,33,4,0,0,-1,1,0
SupplierValidator,1,3,0,0,2,23,4,0,1,0,3,1
UserAccountValidator,1,3,0,0,2,24,5,0,1,0,3,1
