Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
LogViewType,0,0,0,0,0,5,0,0,0,-1,0,5
TimeCount,0,1,0,0,1,9,1,0,0,-1,0,1
LogOpreate,1,2,0,1,1,22,3,0,0,1,3,4
clsSetting,8,2,23,7,2,283,11,0,0,0,1,10
CommunicationCfg,1,1,5,0,1,39,1,0,0,0,0,2
FileIo,2,6,0,0,6,152,10,0,0,0.8299999833106995,0,1
CallWebApi,0,3,0,0,3,139,6,0,0,-1,0,2
CommunicationType,0,0,0,0,0,4,0,0,0,-1,0,2
ICommunication,0,7,0,0,0,9,7,2,0,-1,0,1
SerialPortManage,5,10,0,0,10,148,10,0,1,0.2000000029802322,0,0
TcpIpManage,5,8,0,0,8,88,8,0,1,0,1,0
Helper,0,5,0,0,5,127,19,0,0,-1,0,1
CommonHelper,0,5,0,0,5,60,10,0,0,-1,0,4
CacheEngine,5,0,0,5,0,7,0,0,0,-1,3,0
CommandParameter,2,2,2,0,2,30,2,0,0,1,0,1
DataAccess,3,7,0,1,7,241,15,0,0,0,1,7
CreateDataAccess,1,0,0,1,0,4,0,0,0,-1,1,6
LableState,0,0,0,0,0,5,0,0,0,-1,0,3
FloorPerformance,0,0,0,0,0,6,0,0,0,-1,0,3
CacheState,0,0,0,0,0,8,0,0,0,-1,0,4
LableCode,18,44,18,0,42,629,63,0,0,0.550000011920929,7,12
ERPAlarmNo,0,0,0,0,0,6,0,0,0,-1,0,2
LCodeSignal,0,1,3,0,1,19,5,0,0,-1,1,5
OPCScanParam,0,1,10,0,1,60,5,0,0,-1,1,3
OPCBeforCacheParam,0,1,7,0,1,48,5,0,0,-1,1,3
NoneOpcParame,0,1,5,0,1,34,5,0,0,-1,1,2
OPCParam,11,7,0,11,2,109,18,0,0,0,6,8
PanelInfo,0,1,10,0,1,23,2,0,0,-1,2,9
RobotParam,6,3,0,6,2,43,5,0,0,0,2,1
SqliteAccess,2,5,0,0,4,111,12,0,0,0,1,1
CreateDataAccess,1,0,0,1,0,4,0,0,0,-1,1,0
FrmMain,78,72,0,6,5,2029,119,0,0,0.1000000014901161,32,4
FrmSet,69,13,0,2,1,1165,17,0,0,0.2300000041723251,3,1
LableCodeBll,0,11,0,0,7,257,26,0,0,-1,12,5
LogType,4,0,0,4,0,6,0,0,0,-1,0,5
MessageItem,2,2,3,0,2,27,3,0,0,1,0,1
MessageCenter,1,4,0,0,4,42,5,0,0,0,0,2
OpcHelper,2,14,0,0,14,100,14,0,0,0,5,0
PanelGen,2,4,0,0,2,42,5,0,0,0.5,4,3
Program,0,1,0,0,0,28,3,0,0,-1,1,0
RobotJobTask,5,9,0,0,4,158,22,0,0,0,12,0
PanelState,0,0,0,0,0,5,0,0,0,-1,0,4
RollPosition,15,6,3,15,4,99,9,0,0,0.3300000131130219,3,4
RobotHelper,7,16,0,3,10,284,37,0,0,0,15,2
RobotJobQueue,1,5,0,1,5,46,5,0,0,0,1,3
WinDeleteLabel,6,6,0,1,1,138,10,0,0,0.5,5,1
WRollBrowser,18,9,0,0,1,395,17,0,0,0.3300000131130219,6,1
PanelBrief,0,1,2,0,1,9,1,0,0,-1,0,1
ListBoxHelper,0,4,0,0,4,49,6,0,0,-1,0,0
RobotAgent,5,25,2,4,20,456,58,0,0,0.07999999821186066,5,0
NormalScan,5,6,1,3,5,69,6,0,0,0,1,1
OPCClient,4,10,1,1,10,130,16,0,0,0,3,4
WebService,4,15,2,0,11,164,24,0,0,0.7300000190734863,1,0
getDataForLocationCompletedEventArgs,1,1,1,0,0,20,1,0,0,0,0,0
getDataForWeightCompletedEventArgs,1,1,1,0,0,20,1,0,0,0,0,0
getDataForFinishCompletedEventArgs,1,1,1,0,0,20,1,0,0,0,0,0
Resources,2,1,2,0,0,41,1,0,0,0,0,0
Settings,1,0,2,0,0,22,0,0,0,-1,0,1
RobotControl,4,28,3,0,23,455,62,0,0,0,5,3
Commands,55,0,0,55,0,62,0,0,0,-1,0,2
PosVarType,0,0,0,0,0,5,0,0,0,-1,0,4
PosType,0,0,0,0,0,8,0,0,0,-1,0,4
VariableType,0,0,0,0,0,9,0,0,0,-1,0,4
PostionVar,13,4,21,0,3,199,5,0,0,0,0,5
