Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AxisTouchButton,6,5,0,4,2,61,10,0,0,0,2,0
ButtonHandler,1,7,0,1,6,34,7,0,0,0.4300000071525574,1,0
CrossPlatformInputManager,3,24,1,0,22,266,26,0,0,0,4,8
ActiveInputMethod,0,0,0,0,0,5,0,0,0,-1,0,1
VirtualAxis,1,4,4,0,4,39,4,0,0,1,0,8
VirtualButton,3,5,5,0,5,65,6,0,0,0.800000011920929,0,3
InputAxisScrollbar,1,2,0,1,1,9,2,0,0,1,1,0
Joystick,9,8,0,4,3,97,16,0,0,0.25,3,0
AxisOption,0,0,0,0,0,12,0,0,0,-1,0,2
MobileControlRig,0,6,0,0,0,65,9,0,0,-1,0,0
TiltInput,5,3,0,4,0,80,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,2
AxisMapping,2,0,0,2,0,14,0,0,0,-1,1,2
MappingType,0,0,0,0,0,7,0,0,0,-1,0,4
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,34,3,0,0,-1,0,0
TouchPad,17,8,0,6,2,132,16,0,0,0.25,4,0
ControlStyle,0,0,0,0,0,6,0,0,0,-1,0,1
VirtualInput,3,21,1,0,21,112,25,2,0,0.7099999785423279,2,1
MobileInput,0,13,0,0,11,112,23,0,1,-1,3,0
StandaloneInput,0,11,0,0,11,63,11,0,1,-1,0,0
TiltInput,5,3,0,4,0,80,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,0
AxisMapping,2,0,0,2,0,14,0,0,0,-1,1,0
MappingType,0,0,0,0,0,7,0,0,0,-1,0,0
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,34,3,0,0,-1,0,0
CrossPlatformInitialize,2,7,0,0,0,129,13,0,0,0,0,0
