Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AngledLookAtSurfaceCameraComponent,3,2,0,2,0,35,4,0,1,0,5,0
CameraControlPoint,2,0,0,2,0,9,0,0,0,-1,0,1
CameraComponent,0,1,0,0,0,4,1,2,0,-1,0,2
CubeSurfaceComponent,2,2,0,1,0,18,3,0,1,0,1,0
LookAtSurfaceCameraComponent,2,1,0,1,0,16,2,0,1,0,2,0
MoverComponent,0,1,0,0,0,4,1,2,0,-1,0,1
MoverInputHandler,2,8,0,1,0,56,14,0,0,0,2,0
PlaneMoverComponent,5,1,0,4,0,19,2,0,1,0,4,0
PlaneSurfaceComponent,2,2,0,1,0,18,3,0,1,1,1,1
SphereMoverComponent,5,1,0,4,0,19,2,0,1,0,4,0
SphereSurfaceComponent,2,2,0,1,0,18,3,0,1,0,1,1
SurfaceComponent,0,1,0,0,0,4,1,3,0,-1,0,2
AABoxCameraBounds,3,2,0,0,2,31,4,0,1,0,2,1
AngledLookAtSurfaceCamera,1,2,0,0,1,21,2,0,1,0,2,2
CartesianCameraBounds,0,0,0,0,0,3,0,0,0,-1,0,1
CubeSurface,3,5,0,0,5,55,9,0,1,0,0,2
LerpCurve,1,5,0,0,2,45,7,0,0,0,1,4
CurveControlPoint,2,2,2,0,2,18,2,0,0,0,0,3
LerpCurveException,0,1,0,0,1,4,1,0,0,-1,0,0
LookAtSurfaceCamera,5,11,0,1,8,68,11,1,0,0.1800000071525574,1,10
LookAtSurfaceCameraBounds,0,1,0,0,0,4,1,1,0,-1,1,0
LookAtSurfaceCameraMover,0,6,0,0,0,9,6,2,0,-1,0,1
PlaneMover,4,9,0,0,7,64,9,0,1,0,2,2
PlaneSurface,3,5,0,0,5,35,5,0,1,0,0,8
SphereMover,4,14,0,0,7,100,14,0,1,0,2,2
SphereSurface,3,5,2,0,5,52,5,0,1,0,0,5
Surface,0,4,0,0,0,7,4,3,0,-1,0,4
