Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BodyCollider,2,2,0,1,0,22,2,0,0,0,0,0
CircularDrive,38,15,0,20,0,514,44,0,0,"0,129999995231628",5,0
Axis_t,0,0,0,0,0,6,0,0,0,-1,0,0
ComplexThrowable,8,8,0,4,0,176,23,0,0,0,4,0
AttachMode,0,0,0,0,0,5,0,0,0,-1,0,1
ControllerHoverHighlight,8,12,0,2,2,180,29,0,0,"0,170000001788139",2,0
CustomEvents,0,0,0,0,0,15,0,0,0,-1,0,0
UnityEventSingleFloat,0,0,0,0,0,4,0,0,0,-1,0,0
UnityEventHand,0,0,0,0,0,4,0,0,0,-1,0,1
DebugUI,2,2,1,0,0,34,2,0,0,0,1,0
DestroyOnDetachedFromHand,0,1,0,0,0,9,1,0,0,-1,1,0
DestroyOnParticleSystemDeath,1,2,0,0,0,23,3,0,0,0,0,0
DestroyOnTriggerEnter,2,2,0,1,0,25,4,0,0,0,0,0
DistanceHaptics,4,1,0,4,0,29,3,0,0,0,0,0
DontDestroyOnLoad,0,1,0,0,0,8,1,0,0,-1,0,0
EnumFlags,0,1,0,0,1,4,1,0,0,-1,0,3
EnumFlagsPropertyDrawer,0,1,0,0,1,8,1,0,0,-1,0,0
FallbackCameraController,6,3,0,3,0,83,11,0,0,"0,670000016689301",0,0
Hand,25,27,4,14,11,856,85,0,0,0,13,28
HandType,0,0,0,0,0,6,0,0,0,-1,0,4
AttachmentFlags,0,0,0,0,0,8,0,0,0,-1,0,3
AttachedObject,3,0,0,3,0,6,0,0,0,-1,0,2
HandEditor,0,1,0,0,1,36,6,0,0,-1,2,0
HapticRack,7,5,0,5,0,69,8,0,0,0,2,0
HideOnHandFocusLost,0,1,0,0,0,8,1,0,0,-1,1,0
IgnoreHovering,1,0,0,1,0,5,0,0,0,-1,0,1
InputModule,2,5,1,0,5,65,7,0,0,"0,600000023841858",0,2
Interactable,0,2,0,0,0,29,4,0,0,-1,1,4
InteractableButtonEvents,8,1,0,8,0,65,11,0,0,0,3,0
InteractableHoverEvents,4,4,0,4,0,35,4,0,0,1,1,0
ItemPackage,6,0,0,6,0,11,0,0,0,-1,1,3
ItemPackageType,0,0,0,0,0,1,0,0,0,-1,0,2
ItemPackageReference,1,0,0,1,0,4,0,0,0,-1,1,2
ItemPackageSpawner,16,14,1,11,0,329,49,0,0,"0,140000000596046",8,0
LinearAnimation,5,2,0,2,0,51,5,0,0,0,1,0
LinearAnimator,4,2,0,2,0,46,5,0,0,0,1,0
LinearAudioPitch,6,3,0,5,0,44,6,0,0,0,1,0
LinearBlendshape,3,2,0,2,0,38,5,0,0,0,2,0
LinearDisplacement,3,2,0,2,0,28,4,0,0,0,1,0
LinearDrive,12,7,0,6,0,135,18,0,0,0,2,0
LinearMapping,1,0,0,1,0,4,0,0,0,-1,0,9
Player,9,7,10,8,3,389,20,0,0,"0,430000007152557",2,10
PlaySound,21,8,0,19,6,203,21,0,0,"0,25",0,1
SeeThru,5,6,0,1,0,137,16,0,0,0,2,0
SleepOnAwake,0,1,0,0,0,12,2,0,0,-1,0,0
SoundDeparent,2,2,0,1,0,24,3,0,0,0,0,0
SoundPlayOneshot,7,4,0,6,3,62,8,0,0,0,1,5
SpawnAndAttachAfterControllerIsTracking,2,2,0,1,0,36,5,0,0,0,1,0
SpawnAndAttachToHand,2,1,0,2,1,24,3,0,0,0,1,0
SpawnRenderModel,8,9,0,1,0,152,22,0,0,0,3,0
Throwable,17,10,0,11,0,244,25,0,0,"0,200000002980232",8,0
UIElement,2,5,0,1,0,53,7,0,0,"0,600000023841858",5,1
UIElementEditor,0,1,0,0,1,17,2,0,0,-1,2,0
Unparent,1,3,0,0,1,27,4,0,0,0,0,0
Util,10,46,0,10,46,668,93,0,0,"0,959999978542328",1,15
AfterTimer_Component,4,3,0,0,1,45,5,0,0,0,0,1
VelocityEstimator,7,7,0,3,5,149,18,0,0,0,0,1
ControllerButtonHints,16,32,1,4,8,757,87,0,0,0,7,6
OffsetType,0,0,0,0,0,7,0,0,0,-1,0,1
ButtonHintInfo,14,0,0,14,0,21,0,0,0,-1,0,1
ArcheryTarget,8,4,0,6,0,67,8,0,0,0,1,0
Arrow,17,6,0,8,1,250,27,0,0,0,6,1
ArrowHand,17,11,0,8,0,282,27,0,0,"0,360000014305115",6,1
ArrowheadRotation,0,1,0,0,0,9,1,0,0,-1,0,0
Balloon,15,8,0,7,1,209,24,0,0,"0,25",5,2
BalloonColor,0,0,0,0,0,1,0,0,0,-1,0,2
BalloonColliders,4,4,0,1,0,74,9,0,0,0,0,0
BalloonHapticBump,1,1,0,1,0,18,3,0,0,0,2,1
BalloonSpawner,15,4,0,14,2,108,16,0,0,0,3,0
ExplosionWobble,0,1,0,0,1,12,2,0,0,-1,0,1
FireSource,11,5,0,8,0,99,13,0,0,0,1,1
Longbow,46,21,0,18,6,428,40,0,0,"0,189999997615814",11,1
Handedness,0,0,0,0,0,1,0,0,0,-1,0,1
SoundBowClick,5,2,0,4,1,26,2,0,0,0,0,1
ControllerHintsExample,2,5,0,0,3,101,12,0,0,0,4,0
InteractableExample,5,9,0,0,0,116,11,0,0,"0,439999997615814",3,0
AllowTeleportWhileAttachedToHand,2,0,0,2,0,5,0,0,0,-1,0,2
ChaperoneInfo,2,2,5,1,1,73,5,0,0,0,2,1
IgnoreTeleportTrace,0,0,0,0,0,3,0,0,0,-1,0,0
Teleport,79,31,1,42,7,1137,121,0,0,0,13,2
TeleportArc,17,12,0,7,6,295,26,0,0,0,1,1
TeleportArea,6,10,1,0,8,145,17,0,1,"0,300000011920929",1,2
TeleportAreaEditor,0,2,0,0,1,32,6,0,0,-1,1,0
TeleportMarkerBase,2,7,1,2,7,45,7,2,0,"0,860000014305115",0,1
TeleportPoint,25,13,1,7,10,297,22,0,1,"0,310000002384186",3,2
TeleportPointType,0,0,0,0,0,5,0,0,0,-1,0,2
TeleportPointEditor,0,2,0,0,1,29,5,0,0,-1,1,0
Add_HeadsetCollisionFade,1,1,0,0,0,19,3,0,0,0,1,0
SceneChanger,2,5,0,0,0,69,13,0,0,0,2,0
Setup_Scene_031,1,1,0,0,0,27,3,0,0,0,4,0
Setup_Scene_034,1,1,0,0,0,34,4,0,0,0,6,0
Arrow,8,11,0,2,4,97,13,0,0,0,0,2
ArrowNotch,2,3,0,0,0,35,4,0,0,0,4,0
ArrowSpawner,4,4,0,2,0,44,6,0,0,0,6,0
BowAim,20,13,0,6,4,175,22,0,0,0,10,3
BowAnimation,1,1,0,1,1,11,1,0,0,0,0,1
BowHandle,3,0,0,3,0,7,0,0,0,-1,1,2
Follow,3,1,0,3,0,26,4,0,0,0,0,0
AutoRotation,2,2,0,2,0,20,2,0,0,0,0,0
Breakable_Cube,1,5,0,0,0,54,10,0,0,"0,400000005960465",1,0
ButtonReactor,2,2,0,2,0,18,2,0,0,1,2,0
Controller_Hand,8,7,0,1,0,76,8,0,0,0,3,0
Hands,0,0,0,0,0,5,0,0,0,-1,0,1
Controller_Menu,4,5,0,1,0,49,7,0,0,0,2,0
ControlReactor,1,2,0,1,0,15,2,0,0,0,3,0
ExcludeTeleport,0,0,0,0,0,3,0,0,0,-1,0,0
Gun,3,3,0,0,1,28,3,0,1,0,1,0
Lamp,0,3,0,0,2,22,4,0,1,-1,1,0
