Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BodyCollider,2,2,0,1,0,19,2,0,0,0,0,0
CircularDrive,38,15,0,20,0,441,44,0,0,0.1299999952316284,5,0
Axis_t,0,0,0,0,0,6,0,0,0,-1,0,0
ComplexThrowable,8,8,0,4,0,147,23,0,0,0,4,0
AttachMode,0,0,0,0,0,5,0,0,0,-1,0,1
ControllerHoverHighlight,8,12,0,2,2,157,29,0,0,0.1700000017881393,2,0
CustomEvents,0,0,0,0,0,14,0,0,0,-1,0,0
UnityEventSingleFloat,0,0,0,0,0,4,0,0,0,-1,0,0
UnityEventHand,0,0,0,0,0,4,0,0,0,-1,0,1
DebugUI,2,2,1,0,0,31,2,0,0,0,1,0
DestroyOnDetachedFromHand,0,1,0,0,0,9,1,0,0,-1,1,0
DestroyOnParticleSystemDeath,1,2,0,0,0,23,3,0,0,0,0,0
DestroyOnTriggerEnter,2,2,0,1,0,22,4,0,0,0,0,0
DistanceHaptics,4,1,0,4,0,23,3,0,0,0,0,0
DontDestroyOnLoad,0,1,0,0,0,8,1,0,0,-1,0,0
EnumFlags,0,1,0,0,1,4,1,0,0,-1,0,3
EnumFlagsPropertyDrawer,0,1,0,0,1,8,1,0,0,-1,0,0
FallbackCameraController,6,3,0,3,0,71,11,0,0,0.6700000166893005,0,0
Hand,25,27,4,14,11,731,85,0,0,0,13,28
HandType,0,0,0,0,0,6,0,0,0,-1,0,4
AttachmentFlags,0,0,0,0,0,8,0,0,0,-1,0,3
AttachedObject,3,0,0,3,0,6,0,0,0,-1,0,2
HandEditor,0,1,0,0,1,31,6,0,0,-1,2,0
HapticRack,7,5,0,5,0,58,8,0,0,0,2,0
HideOnHandFocusLost,0,1,0,0,0,8,1,0,0,-1,1,0
IgnoreHovering,1,0,0,1,0,5,0,0,0,-1,0,1
InputModule,2,5,1,0,5,56,7,0,0,0.6000000238418579,0,2
Interactable,0,2,0,0,0,26,4,0,0,-1,1,4
InteractableButtonEvents,8,1,0,8,0,55,11,0,0,0,3,0
InteractableHoverEvents,4,4,0,4,0,31,4,0,0,1,1,0
ItemPackage,6,0,0,6,0,10,0,0,0,-1,1,3
ItemPackageType,0,0,0,0,0,1,0,0,0,-1,0,2
ItemPackageReference,1,0,0,1,0,4,0,0,0,-1,1,2
ItemPackageSpawner,16,14,1,11,0,284,49,0,0,0.1400000005960464,8,0
LinearAnimation,5,2,0,2,0,43,5,0,0,0,1,0
LinearAnimator,4,2,0,2,0,41,5,0,0,0,1,0
LinearAudioPitch,6,3,0,5,0,38,6,0,0,0,1,0
LinearBlendshape,3,2,0,2,0,32,5,0,0,0,2,0
LinearDisplacement,3,2,0,2,0,24,4,0,0,0,1,0
LinearDrive,12,7,0,6,0,115,18,0,0,0,2,0
LinearMapping,1,0,0,1,0,4,0,0,0,-1,0,9
Player,9,7,10,8,3,343,20,0,0,0.4300000071525574,2,10
PlaySound,21,8,0,19,6,175,21,0,0,0.25,0,1
SeeThru,5,6,0,1,0,120,16,0,0,0,2,0
SleepOnAwake,0,1,0,0,0,12,2,0,0,-1,0,0
SoundDeparent,2,2,0,1,0,20,3,0,0,0,0,0
SoundPlayOneshot,7,4,0,6,3,52,8,0,0,0,1,5
SpawnAndAttachAfterControllerIsTracking,2,2,0,1,0,33,5,0,0,0,1,0
SpawnAndAttachToHand,2,1,0,2,1,21,3,0,0,0,1,0
SpawnRenderModel,8,9,0,1,0,133,22,0,0,0,3,0
Throwable,17,10,0,11,0,208,25,0,0,0.2000000029802322,8,0
UIElement,2,5,0,1,0,47,7,0,0,0.6000000238418579,5,1
UIElementEditor,0,1,0,0,1,16,2,0,0,-1,2,0
Unparent,1,3,0,0,1,24,4,0,0,0,0,0
Util,10,46,0,10,46,563,93,0,0,0.9599999785423279,1,15
AfterTimer_Component,4,3,0,0,1,41,5,0,0,0,0,1
VelocityEstimator,7,7,0,3,5,125,18,0,0,0,0,1
ControllerButtonHints,16,32,1,4,8,645,87,0,0,0,7,6
OffsetType,0,0,0,0,0,7,0,0,0,-1,0,1
ButtonHintInfo,14,0,0,14,0,18,0,0,0,-1,0,1
ArcheryTarget,8,4,0,6,0,55,8,0,0,0,1,0
Arrow,17,6,0,8,1,209,27,0,0,0,6,1
ArrowHand,17,11,0,8,0,234,27,0,0,0.3600000143051147,6,1
ArrowheadRotation,0,1,0,0,0,9,1,0,0,-1,0,0
Balloon,15,8,0,7,1,176,24,0,0,0.25,5,2
BalloonColor,0,0,0,0,0,1,0,0,0,-1,0,2
BalloonColliders,4,4,0,1,0,61,9,0,0,0,0,0
BalloonHapticBump,1,1,0,1,0,17,3,0,0,0,2,1
BalloonSpawner,15,4,0,14,2,92,16,0,0,0,3,0
ExplosionWobble,0,1,0,0,1,12,2,0,0,-1,0,1
FireSource,11,5,0,8,0,85,13,0,0,0,1,1
Longbow,46,21,0,18,6,352,40,0,0,0.1899999976158142,11,1
Handedness,0,0,0,0,0,1,0,0,0,-1,0,1
SoundBowClick,5,2,0,4,1,22,2,0,0,0,0,1
ControllerHintsExample,2,5,0,0,3,101,12,0,0,0,4,0
InteractableExample,5,9,0,0,0,101,11,0,0,0.4399999976158142,3,0
AllowTeleportWhileAttachedToHand,2,0,0,2,0,5,0,0,0,-1,0,2
ChaperoneInfo,2,2,5,1,1,63,5,0,0,0,2,1
IgnoreTeleportTrace,0,0,0,0,0,3,0,0,0,-1,0,0
Teleport,79,31,1,42,7,964,121,0,0,0,13,2
TeleportArc,17,12,0,7,6,252,26,0,0,0,1,1
TeleportArea,6,10,1,0,8,128,17,0,1,0.300000011920929,1,2
TeleportAreaEditor,0,2,0,0,1,30,6,0,0,-1,1,0
TeleportMarkerBase,2,7,1,2,7,36,7,2,0,0.8600000143051147,0,1
TeleportPoint,25,13,1,7,10,253,22,0,1,0.3100000023841858,3,2
TeleportPointType,0,0,0,0,0,5,0,0,0,-1,0,2
TeleportPointEditor,0,2,0,0,1,27,5,0,0,-1,1,0
IVRSystem,45,0,0,0,0,184,0,0,0,-1,0,1
IVRExtendedDisplay,3,0,0,0,0,16,0,0,0,-1,0,1
IVRTrackedCamera,12,0,0,0,0,52,0,0,0,-1,0,1
IVRApplications,31,0,0,0,0,128,0,0,0,-1,0,1
IVRChaperone,8,0,0,0,0,36,0,0,0,-1,0,1
IVRChaperoneSetup,20,0,0,0,0,84,0,0,0,-1,0,1
IVRCompositor,41,0,0,0,0,168,0,0,0,-1,0,1
IVROverlay,80,0,0,0,0,324,0,0,0,-1,0,1
IVRRenderModels,18,0,0,0,0,76,0,0,0,-1,0,1
IVRNotifications,2,0,0,0,0,12,0,0,0,-1,0,1
IVRSettings,12,0,0,0,0,52,0,0,0,-1,0,1
IVRScreenshots,7,0,0,0,0,32,0,0,0,-1,0,1
IVRResources,2,0,0,0,0,12,0,0,0,-1,0,1
IVRDriverManager,2,0,0,0,0,12,0,0,0,-1,0,1
CVRSystem,1,46,0,0,45,301,49,0,0,0,26,3
PollNextEventUnion,2,0,0,2,0,8,0,0,0,-1,0,1
GetControllerStateUnion,2,0,0,2,0,8,0,0,0,-1,0,1
GetControllerStateWithPoseUnion,2,0,0,2,0,8,0,0,0,-1,0,1
CVRExtendedDisplay,1,4,0,0,3,30,4,0,0,0,2,1
CVRTrackedCamera,1,13,0,0,12,76,13,0,0,0,7,1
CVRApplications,1,32,0,0,31,163,32,0,0,0,5,1
CVRChaperone,1,9,0,0,8,46,9,0,0,0,4,2
CVRChaperoneSetup,1,21,0,0,20,116,21,0,0,0,4,1
CVRCompositor,1,42,0,0,41,195,42,0,0,0,11,2
CVROverlay,1,81,0,0,80,453,82,0,0,0,22,1
PollNextOverlayEventUnion,2,0,0,2,0,8,0,0,0,-1,0,1
CVRRenderModels,1,19,0,0,18,118,20,0,0,0,7,2
GetComponentStateUnion,2,0,0,2,0,8,0,0,0,-1,0,1
CVRNotifications,1,3,0,0,2,19,3,0,0,0,5,0
CVRSettings,1,13,0,0,12,61,13,0,0,0,2,1
CVRScreenshots,1,8,0,0,7,45,8,0,0,0,4,1
CVRResources,1,3,0,0,2,18,3,0,0,0,1,0
CVRDriverManager,1,3,0,0,2,18,3,0,0,0,1,0
OpenVRInterop,0,8,0,0,0,19,8,0,0,-1,2,2
EVREye,0,0,0,0,0,5,0,0,0,-1,0,3
