Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BackButton,0,1,0,0,1,7,1,0,0,-1,0,0
CreateDiceMesh,1,1,1,0,0,63,3,0,0,0,0,0
CustomCanvas,4,5,0,3,2,57,8,0,0,0.6000000238418579,1,2
LevelProfileData,2,0,0,2,0,7,0,0,0,-1,0,3
GameEnv,7,2,1,6,0,39,2,0,0,0,0,8
JfEye,1,0,0,1,0,12,0,0,0,-1,0,1
EyeAt,0,0,0,0,0,6,0,0,0,-1,0,1
SpaceData,0,5,3,0,5,34,5,0,0,-1,0,2
JfSimulateInput,6,1,0,1,1,48,4,0,0,0,1,1
JfViewCenter,9,3,0,5,0,57,7,0,0,0,1,0
JfVrHead,10,7,2,5,0,130,20,0,0,0.2899999916553497,6,0
ColorMaterialGallery,14,5,0,12,3,113,8,0,0,0.4000000059604645,1,2
EditTagType,0,0,0,0,0,14,0,0,0,-1,0,3
CreateBallSpace,2,4,0,2,0,74,12,0,0,0,4,0
CreateDiceWorld,3,12,0,2,0,318,49,0,0,0,12,0
FocusTargetShader,3,4,0,0,3,120,7,0,0,0,2,1
ShaderState,0,0,0,0,0,9,0,0,0,-1,0,1
CustomTarget,8,8,0,6,7,81,11,0,1,0.5,4,2
DemoMenuItems,3,9,0,3,6,201,16,0,0,0.5600000023841858,3,2
DiceWall,1,1,0,1,0,13,1,0,0,0,0,0
EarthLike,1,1,0,1,0,11,1,0,0,0,0,0
PointDistort,0,0,0,0,0,6,0,0,0,-1,0,3
PointEasyOrHard,0,0,0,0,0,6,0,0,0,-1,0,3
SchemaLoadFrom,0,0,0,0,0,6,0,0,0,-1,0,0
FWallData,4,1,0,1,1,17,1,0,0,0,0,2
ModeOptionType,0,0,0,0,0,6,0,0,0,-1,0,0
FLevelView,2,0,0,2,0,11,0,0,0,-1,0,2
FPointView,3,0,0,3,0,10,0,0,0,-1,0,4
FWallView,2,0,1,1,0,13,0,0,0,-1,1,2
HitCurrentTarget,2,7,2,0,3,117,11,0,0,0.2899999916553497,2,1
NotifyState,0,0,0,0,0,7,0,0,0,-1,0,1
HitSceneManager,4,5,1,1,1,112,16,0,0,0,4,0
HitTargetState,5,10,0,0,7,173,18,0,0,0,2,1
State,0,0,0,0,0,8,0,0,0,-1,0,1
HitTarget,9,11,3,6,9,115,11,0,1,0.2700000107288361,3,3
LevelNumber,4,5,0,4,3,58,7,0,0,0,1,1
LevelNumberButton,2,3,0,1,1,40,4,0,0,0,2,0
OpType,0,0,0,0,0,5,0,0,0,-1,0,1
PlayButton,0,1,0,0,1,37,2,0,0,-1,0,0
SpaceLevelView,3,1,4,2,0,66,4,0,0,0,0,2
SpacePointView,0,0,0,0,0,4,0,0,0,-1,0,1
StartupEnvs,0,2,0,0,0,53,9,0,0,-1,2,0
DataPointState,0,0,0,0,0,7,0,0,0,-1,0,0
DataPoint,3,0,0,3,0,6,0,0,0,-1,2,0
DataWall,3,0,0,3,0,7,0,0,0,-1,0,0
DataLevel,4,0,0,4,0,8,0,0,0,-1,0,0
IndexData,3,0,0,3,0,6,0,0,0,-1,0,0
ColorTheSelectable,0,8,0,0,8,43,8,0,1,-1,0,2
CustomButton,4,4,0,2,3,82,8,0,0,0.5,1,0
UnlockDirection,0,0,0,0,0,5,0,0,0,-1,0,1
JfDrawLine,1,4,0,0,4,57,9,0,0,0,0,1
JfGUIStyle,1,0,1,0,0,18,0,0,0,-1,0,8
JfRandomPick,2,5,0,0,5,33,6,0,0,0,0,1
JfRandomRange,2,7,0,0,7,61,12,0,0,0,0,1
JfRaycaster3D,4,2,1,1,0,70,9,0,0,1,2,0
JfSelectable,2,4,0,1,3,63,8,0,0,0,1,3
JfSelectableShader,0,8,0,0,0,30,8,1,0,-1,0,0
JfSelectableTarget,0,4,0,0,0,20,4,2,0,-1,0,1
JfUndo,0,2,0,0,2,15,2,0,0,-1,0,1
JfUtilsEnv,3,2,2,2,0,36,2,0,0,0,0,6
