Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
PlayClubController,0,1,0,0,1,19,1,0,0,-1,0,0
DynamicColliderRegistry,2,7,1,0,5,65,12,0,0,0,1,4
IDynamicBoneWrapper,0,0,5,0,0,22,0,2,0,-1,0,3
DynamicBoneWrapper,0,1,5,0,1,45,1,0,1,-1,0,0
DynamicBone_CustomWrapper,0,1,5,0,1,45,1,0,1,-1,0,0
ImpersonationHandler,6,9,2,0,0,298,23,0,0,0.3300000131130219,2,0
LookAtMeHandler,0,3,1,0,0,51,5,0,0,-1,1,0
MaestroTool,7,6,4,0,1,144,16,0,0,0.5,0,0
PlayClubActor,4,2,4,0,1,74,5,1,0,1,3,3
PlayClubContext,2,1,10,0,1,94,1,0,0,0,0,0
PlayClubInterpreter,2,16,3,0,9,209,33,0,0,0.6899999976158142,0,3
PlayClubSeatedMode,2,12,2,0,1,185,22,1,0,0.6700000166893005,5,0
PlayClubSettings,1,0,2,0,0,12,0,0,0,-1,0,2
PlayClubStandingMode,1,12,1,0,1,168,15,1,0,0.5799999833106995,4,1
PlayClubVoiceCommand,9,1,0,9,0,16,1,0,0,0,0,2
PlayClubVR,0,7,3,0,7,63,9,0,0,-1,0,0
PlayTool,8,8,1,0,1,189,24,0,0,0.5,3,0
TransientHead,7,4,1,0,2,103,9,0,0,0,0,1
OSPAudioVolumeManager,1,6,0,0,6,80,10,0,0,0.3300000131130219,0,1
EyeTargetController,2,2,1,1,0,21,2,0,0,1,1,0
EyeTarget,2,1,0,2,0,24,2,0,0,0,0,1
IKCtrl,2,6,2,0,0,99,14,0,0,0,2,2
IKVisibility,0,0,0,0,0,6,0,0,0,-1,0,3
IKState,0,0,0,0,0,5,0,0,0,-1,0,2
IKTool,14,9,1,0,1,213,24,0,0,0.3300000131130219,2,0
IKStateReactor,1,4,0,0,0,28,4,0,0,0.5,3,0
PlayClubStudioVR,0,7,3,0,7,64,9,0,0,-1,0,0
ShisenCorrecter,2,2,0,1,0,38,6,0,0,0,1,0
StudioActor,0,2,0,0,1,18,3,0,1,-1,1,0
StudioInterpreter,3,8,1,1,2,80,11,0,0,0.3799999952316284,0,0
StudioSeatedMode,0,1,1,0,0,19,1,0,1,-1,0,0
StudioStandingMode,0,2,1,0,0,24,2,0,1,-1,1,0
GamePadHelper,0,3,0,0,3,18,3,0,0,-1,0,4
GamePadClub,0,6,2,0,6,46,6,0,0,-1,1,0
GamePadController,3,4,1,0,4,55,7,0,0,0,0,5
CameraHandler,4,6,0,0,1,90,12,0,0,0.5,2,0
GameControlHandler,2,12,0,0,0,148,22,0,0,0.25,2,0
MouseHandler,2,5,0,0,0,62,9,0,0,0.6000000238418579,2,0
