Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
UnityVectorExtension,2,4,0,2,2,50,6,0,0,0,0,0
UnityMatrixExtension,3,2,0,3,2,32,2,0,0,1,0,0
Utils,0,1,0,0,1,20,5,0,0,-1,0,0
ButtonBase,10,9,0,2,1,111,14,1,1,0.2199999988079071,0,1
ButtonToggleBase,2,9,1,0,5,77,16,0,2,0,3,0
DialGraphics,23,13,2,10,6,244,27,0,1,0,3,2
DialModeBase,9,14,2,2,0,198,31,0,0,0,1,1
HilightTextVolume,3,5,0,2,0,39,8,0,0,0.800000011920929,1,1
EventArg<T>,1,1,1,0,1,7,1,0,0,0,0,0
AnalogInteractionHandler,0,0,0,0,0,4,0,2,1,-1,0,0
BinaryInteractionHandler,0,0,0,0,0,7,0,3,0,-1,0,0
"DataBinder<WidgetType,PayloadType>",2,9,0,0,2,75,13,0,0,0.6700000166893005,0,0
DataBinderSlider,0,0,0,0,0,1,0,0,0,-1,0,1
DataBinderToggle,0,0,0,0,0,1,0,0,0,-1,0,1
DataBinderDial,0,0,0,0,0,1,0,0,0,-1,0,1
IDataBoundWidget,0,3,0,0,0,9,3,3,0,-1,0,0
LeapPhysicsState,0,0,0,0,0,6,0,0,0,-1,0,3
LeapPhysicsBase,4,11,2,0,0,157,17,1,0,0.3600000143051147,1,1
LeapPhysicsSpring,4,4,0,2,0,56,5,2,1,0.5,1,1
SliderBase,4,17,0,2,6,167,31,0,2,0.119999997317791,3,0
Direction,0,0,0,0,0,1,0,0,0,-1,0,1
Status,0,0,0,0,0,1,0,0,0,-1,0,1
SystemWipeInfo,3,0,0,3,0,7,0,0,0,-1,2,0
SystemWipeRecognizerNative,1,6,0,0,6,29,6,0,0,0,0,0
