Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AssetBundleDownloader,6,14,1,0,3,226,25,0,1,0.1400000005960464,5,1
AssetBundlePersistenceStrategy,0,2,0,0,2,12,2,0,1,-1,0,0
AssetMetadataPersistenceStrategy,1,2,0,0,2,25,2,0,1,0,2,0
CacheEntry,4,0,0,4,0,8,0,0,0,-1,0,2
Container,1,0,0,1,0,5,0,0,0,-1,0,1
AssetDatabaseStrategy,0,0,0,0,0,5,0,0,0,-1,0,2
BehaviourWorkerCompatibilityCache,1,3,0,0,2,44,7,0,0,0,2,1
CachingAssetDatabase,2,4,0,0,4,41,5,0,1,0,1,0
ExponentialBackoffRetryAssetLoader,3,3,0,2,3,38,3,0,1,0,2,1
GameObjectFromAssetBundleLoader,3,6,0,0,4,114,13,0,1,0,2,0
OnLoadCallback,2,0,0,2,0,5,0,0,0,-1,0,1
LocalAssetBundleLoader,2,4,0,0,3,49,6,0,1,0.5,1,0
PrefabCompiler,2,8,0,0,2,91,18,0,0,0,5,1
PrefabGameObjectLoader,2,4,0,0,3,35,5,0,1,0,1,0
PreprocessingGameObjectLoader,2,3,0,0,3,25,3,0,1,0,4,0
ConcurrentAssetPrecacher,9,9,0,0,2,95,14,0,0,0,1,1
DefaultTemplateProvider,7,9,1,2,3,178,18,0,1,0.3300000131130219,12,0
AssetDatabaseTemplateProvider,1,4,0,0,4,30,5,0,1,0,1,1
EntityObjectDictionary,0,2,1,0,1,17,2,0,0,-1,1,1
EntityBuilder,3,11,0,0,10,102,13,0,1,0.1800000071525574,1,1
EntityObject,1,8,5,0,8,144,18,0,1,0.8799999952316284,11,1
EntityObjectStorage,0,3,1,0,2,40,6,0,0,-1,4,3
EntityVisualizers,8,29,3,0,5,408,57,0,1,0,5,3
DefaultMonobehaviourActivator,0,2,0,0,2,12,2,0,1,-1,0,1
IComponentAdder,0,3,0,0,0,17,3,1,0,-1,0,1
IComponentInterestOverridesUpdateReceiver,0,1,0,0,0,7,1,1,0,-1,0,2
IEntityComponentInterestOverridesUpdater,0,4,0,0,0,22,4,1,0,-1,2,4
IEntityComponents,0,4,1,0,0,28,4,1,0,-1,2,3
IEntityInterestedComponentsInvalidator,0,1,0,0,0,7,1,1,0,-1,0,4
IEntityObject,0,0,5,0,0,27,0,1,1,-1,0,21
IEntityTemplateProvider,0,3,0,0,0,29,3,2,0,-1,0,6
IEntityVisualizers,0,4,3,0,0,41,4,1,0,-1,1,2
IInterestedComponentUpdaterProvider,0,1,0,0,0,7,1,1,0,-1,0,3
ILocalEntities,0,0,0,0,0,1,0,1,1,-1,0,6
IMetadataAdder,0,1,0,0,0,8,1,1,0,-1,0,1
IMutableLocalEntities,0,0,0,0,0,1,0,1,2,-1,0,1
IMutableUniverse,0,3,0,0,0,18,3,1,1,-1,1,3
IWorkerComponentInterestOverrider,0,3,0,0,0,26,3,1,0,-1,1,1
WorkerComponentInterest,0,0,0,0,0,17,0,0,0,-1,0,3
WorkerComponentInterestOverriderImpl,2,5,2,0,4,140,17,0,1,0,3,1
IPersistenceSetter,0,1,0,0,0,8,1,1,0,-1,0,1
IPipelineEntityComponentOpsReceiver,0,4,0,0,0,22,4,2,0,-1,4,0
IPositionAdder,0,3,0,0,0,20,3,1,0,-1,0,1
IPrefabFactory,0,2,0,0,0,17,2,3,0,-1,0,2
IReadAclSetter,0,1,0,0,0,7,1,1,0,-1,0,1
IUniverse,0,4,0,0,0,23,4,2,0,-1,0,2
LocalEntities,2,7,2,0,7,80,11,0,3,0,2,7
FilePersistenceStrategy,0,2,0,0,2,12,2,0,1,-1,0,0
IAssetDatabase,0,1,0,0,0,17,1,1,1,-1,0,1
IAssetLoader,0,2,0,0,0,18,2,8,0,-1,0,6
IMachineCache,0,3,0,0,0,6,3,1,0,-1,0,1
"MachineCache<TIn,TOut>",2,9,1,0,4,206,11,0,1,0.7799999713897705,1,0
IPersistenceStrategy,0,2,0,0,0,17,2,3,0,-1,0,1
Platform,7,3,0,0,3,82,5,0,0,0.6700000166893005,1,3
BuildPlatform,0,0,0,0,0,8,0,0,0,-1,0,2
EditorCompatibilityExtensions,0,5,0,0,5,44,6,0,0,-1,0,0
ISpatialOsComponent,0,0,5,0,0,28,0,1,0,-1,0,0
ISpatialOsComponentInternal,0,1,0,0,0,12,1,1,1,-1,2,5
SpatialOsComponentBase,10,13,7,0,8,266,24,0,2,0.3100000023841858,9,0
SpatialOsComponentEditorBase<TComponent>,0,0,3,0,0,27,0,0,0,-1,0,0
ComponentEditorDataObject<TComponent>,22,6,4,2,6,164,8,0,1,0.3300000131130219,1,0
ICanAttachEditorDataObject,0,2,0,0,0,12,2,1,0,-1,1,0
IComponentEditorDataObject,0,3,0,0,0,6,3,1,0,-1,0,3
CommandDelivery,0,0,0,0,0,8,0,0,0,-1,0,7
Commander,5,41,0,0,31,366,47,0,1,0,4,1
EntityComponentId,2,3,0,0,3,27,4,0,0,0.6700000166893005,0,1
CommandResponseHandler<TResponse>,2,6,0,0,4,71,9,0,1,0.6700000166893005,1,0
ComponentCommander,6,29,0,1,19,294,35,0,1,0,4,2
ICommandCallbackWrapper,0,2,0,0,0,5,2,1,0,-1,0,1
CommandCallbackWrapper<TResponse>,1,4,0,0,4,46,6,0,1,0.5,0,0
ICommandCallbackResponse,0,0,1,0,0,7,0,1,1,-1,0,1
ICommandErrorDetails,0,0,2,0,0,12,0,1,0,-1,0,2
CommandCallbackResponse,0,0,3,0,0,17,0,0,2,-1,0,0
ICommandResponseHandler,0,2,0,0,0,12,2,1,0,-1,0,1
ICommandSender,0,14,0,0,0,96,14,1,0,-1,1,3
IComponentCommander,0,1,0,0,0,10,1,1,1,-1,1,2
IDescriptorCommander,0,2,0,0,0,20,2,1,0,-1,1,0
IWorkerCommandSender,0,0,0,0,0,1,0,1,1,-1,0,1
IWorldCommander,0,12,0,0,0,85,12,2,0,-1,0,0
SpatialCommunicator,3,31,0,0,31,218,34,0,1,0.1000000014901161,3,2
CloudAssemblyArtifactResolver,10,4,0,0,3,146,5,0,0,0,8,1
State,0,0,0,0,0,7,0,0,0,-1,0,1
AssemblyResponse,1,0,1,0,0,13,0,0,0,-1,0,1
ArtifactId,1,0,1,0,0,13,0,0,0,-1,0,1
AssemblyArtifact,2,0,2,0,0,24,0,0,0,-1,0,1
ConnectionCoroutineHost,0,0,0,0,0,1,0,0,0,-1,0,1
ConnectionLifecycle,12,20,7,0,1,431,43,0,0,0.1500000059604645,21,1
CountBasedSpawnLimiter,2,4,0,0,4,31,5,0,1,0,1,0
DeferredActionDispatcher,2,3,0,0,3,43,4,0,1,0,0,0
DispatchEventHandler,4,9,1,0,4,123,11,0,1,0.4399999976158142,8,2
EntityAclExtensions,0,1,0,0,1,10,1,0,0,-1,1,0
GreedySpawnLimiter,0,3,0,0,3,11,3,0,1,-1,0,2
IAuthorityChangedReceiver,0,1,0,0,0,7,1,1,0,-1,0,1
IDeferredActionDispatcher,0,2,0,0,0,12,2,1,0,-1,0,2
IDispatchEventHandler,0,0,0,0,0,9,0,1,0,-1,0,0
IEntitySpawnLimiter,0,3,0,0,0,17,3,3,0,-1,0,4
ISpatialCommunicator,0,27,0,0,0,146,27,1,0,-1,1,9
LegacyEntityPipelineConfiguration,2,1,11,0,1,67,1,0,1,0,2,1
