Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
VRTKExample_ControllerEventsDelegateListeners,18,50,0,18,0,641,96,0,0,0.03999999910593033,6,0
EventQuickSelect,0,0,0,0,0,17,0,0,0,-1,0,2
VRTKExample_PointerObjectHighlighterActivator,7,8,0,7,0,97,16,0,0,0.25,6,0
VRTKExample_BezierPointerChanger,2,3,0,2,1,29,4,3,1,0.6700000166893005,1,0
VRTKExample_BezierPointerCustomStyles,6,1,0,6,0,26,2,0,2,0,1,0
VRTKExample_BezierPointerDefaults,0,1,0,0,0,7,1,0,2,-1,1,0
VRTKExample_BezierPointerLineRenderer,1,1,0,1,0,15,2,0,2,0,1,0
ControllableReactor,4,4,0,4,0,39,7,0,0,1,2,0
SnapDropZoneToggle,2,6,0,2,0,63,10,0,0,0,2,0
ToggleCustomHands,5,9,0,4,0,137,21,0,0,0,8,0
TogglePointerInteraction,6,5,0,6,0,70,10,0,0,0.4000000059604645,5,0
OptionType,0,0,0,0,0,5,0,0,0,-1,0,1
ClimbableHandLift,9,4,0,8,0,61,8,0,0,0.5,2,0
ElevatorControl,3,3,0,3,0,30,6,0,0,0.6700000166893005,2,0
IgnoreTeleportDummy,0,0,0,0,0,3,0,0,0,-1,0,0
OptionsMenu,4,5,0,3,0,52,7,0,0,0,3,0
ToggleGameObject,8,8,0,7,0,81,15,0,0,0.3799999952316284,4,0
ToggleGameObjectSliderOptions,2,0,0,2,0,6,0,0,0,-1,0,1
ToggleGameObjectSlider,3,4,0,3,0,40,7,0,0,0,3,0
PanelMenuSaucerGrid,8,9,0,4,0,122,16,0,0,0,3,0
Direction,0,0,0,0,0,8,0,0,0,-1,0,1
PanelMenuSphereSlider,4,5,0,4,0,51,10,0,0,0.4000000059604645,2,0
BeamRotator,2,2,0,2,0,18,2,0,0,0,0,0
FireExtinguisher_Base,3,5,0,2,2,49,6,0,1,0,6,1
FireExtinguisher_Sprayer,5,4,0,3,1,55,7,0,1,0.5,2,1
GunShoot,5,4,0,5,0,47,8,0,0,0.5,2,0
InteractableLamp,2,5,0,1,0,46,8,0,0,0,2,0
ScaleOnUse,7,7,0,5,0,78,13,0,0,0,2,0
InteractableWhirlyGig,4,5,0,2,0,49,8,0,0,0,2,0
VRTKExample_OptionTile,3,3,0,2,3,26,5,1,0,0.6700000166893005,0,1
VRTKExample_OptionTilePointerSelector,1,5,0,1,0,66,13,0,0,0.800000011920929,5,0
AutoRotation,2,2,0,2,0,20,2,0,0,0,0,0
Breakable_Cube,1,5,0,0,0,54,10,0,0,0.4000000059604645,1,0
ButtonReactor,2,3,0,0,0,37,7,0,0,0.6700000166893005,5,0
Controller_Hand,8,7,0,1,0,76,8,0,0,0,4,0
Hands,0,0,0,0,0,5,0,0,0,-1,0,1
Controller_Menu,4,5,0,1,0,55,9,0,0,0,2,0
ControlReactor,3,6,0,1,0,72,11,0,0,0.3300000131130219,5,0
ControlsMenu,5,5,0,4,0,54,9,0,0,0.4000000059604645,4,0
ExcludeTeleport,0,0,0,0,0,3,0,0,0,-1,0,0
Gun,3,3,0,0,1,27,3,0,1,0,2,0
HandLift,8,2,0,6,1,48,4,0,1,0,2,0
Lamp,0,3,0,0,2,22,4,0,1,-1,2,0
LightSaber,8,6,0,0,2,64,8,0,1,0,2,0
Menu_Color_Changer,1,3,0,1,1,25,4,0,1,0,3,0
