Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BaseVRDevice,18,28,1,3,25,217,35,2,0,0.6800000071525574,0,1
EditorDevice,6,10,1,0,10,90,12,0,1,0.8999999761581421,0,0
GvrDevice,13,28,0,0,10,209,33,0,1,0,1,0
ControllerProviderFactory,0,1,0,0,0,19,1,0,0,-1,1,0
DummyControllerProvider,1,4,0,0,3,9,4,0,1,1,1,0
EmulatorControllerProvider,4,13,0,0,3,149,21,0,1,0.3100000023841858,12,1
ControllerState,17,2,0,0,2,54,2,0,0,0,0,3
EmulatorClientSocket,7,8,1,0,1,184,23,0,0,0,5,1
EmulatorConfig,4,0,1,3,0,40,0,0,0,-1,1,2
Mode,0,0,0,0,0,5,0,0,0,-1,0,3
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,2
Action,0,0,0,0,0,11,0,0,0,-1,0,3
Pointer,3,2,0,3,2,16,2,0,0,0,0,2
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,2
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,2
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,2
EmulatorManager,9,10,2,0,3,209,19,0,0,0.300000011920929,11,2
IControllerProvider,0,3,0,0,0,10,3,2,0,-1,1,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,0.8299999833106995,9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,0.7699999809265137,3,0
Pointer,13,21,11,3,18,355,31,0,0,0.8600000143051147,2,0
Builder,16,164,96,0,148,1958,274,0,0,0.1400000005960464,11,0
GyroscopeEvent,16,21,13,4,18,401,34,0,0,0.8600000143051147,2,0
AccelerometerEvent,16,21,13,4,18,401,34,0,0,0.8600000143051147,2,0
DepthMapEvent,16,22,13,4,19,425,37,0,0,0.7699999809265137,2,0
OrientationEvent,19,21,15,5,18,447,37,0,0,0.8600000143051147,2,0
KeyEvent,10,21,9,2,18,309,28,0,0,0.8600000143051147,2,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,0.3499999940395355,8,5
Types,0,0,0,0,0,3114,0,0,0,-1,0,3
Type,0,0,0,0,0,10,0,0,0,-1,0,5
MotionEvent,12,22,11,3,19,749,34,0,0,0.2700000107288361,2,7
Pointer,13,21,11,3,18,355,31,0,0,0.3300000131130219,1,6
Builder,16,164,96,0,148,1958,274,0,0,0,10,18
GyroscopeEvent,16,21,13,4,18,401,34,0,0,0.3300000131130219,1,6
AccelerometerEvent,16,21,13,4,18,401,34,0,0,0.3300000131130219,1,6
DepthMapEvent,16,22,13,4,19,425,37,0,0,0.2700000107288361,1,5
OrientationEvent,19,21,15,5,18,447,37,0,0,0.3300000131130219,1,6
KeyEvent,10,21,9,2,18,309,28,0,0,0.3300000131130219,1,6
