Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BoidMaster,8,3,0,8,2,71,5,0,0,0,1,1
BoidUnit,1,2,0,1,0,69,5,0,0,0,1,1
HeadBob,8,2,0,6,0,51,5,0,0,0,3,0
PlatformerFirstPersonController,13,9,4,4,0,320,24,0,0,0,4,1
MovementSettings,18,1,2,16,1,84,6,0,0,0,0,2
AdvancedSettings,12,0,0,12,0,19,0,0,0,-1,0,2
TangoCharacterController,11,5,3,3,0,128,12,0,0,0,2,0
Common,9,0,0,0,0,104,0,0,0,-1,0,17
AndroidResult,0,0,0,0,0,6,0,0,0,-1,0,2
ErrorType,6,0,0,6,0,32,0,0,0,-1,0,16
MetaDataKeyType,4,0,0,4,0,7,0,0,0,-1,0,0
OrientationManager,0,2,0,0,2,52,4,0,0,-1,0,0
TangoEnums,0,0,0,0,0,267,0,0,0,-1,0,6
TangoPoseStatusType,0,0,0,0,0,27,0,0,0,-1,0,3
TangoCoordinateFrameType,0,0,0,0,0,64,0,0,0,-1,0,5
TangoCameraId,0,0,0,0,0,27,0,0,0,-1,0,5
TangoEventType,0,0,0,0,0,37,0,0,0,-1,0,0
TangoConfigType,0,0,0,0,0,32,0,0,0,-1,0,3
TangoCalibrationType,0,0,0,0,0,18,0,0,0,-1,0,0
TangoImageFormatType,0,0,0,0,0,7,0,0,0,-1,0,1
TangoDepthCameraRate,0,0,0,0,0,12,0,0,0,-1,0,1
TangoCoordinateFramePair,2,0,0,2,0,21,0,0,0,-1,0,7
TangoXYZij,8,1,0,8,1,75,1,0,0,0,0,5
TangoEvent,4,0,0,4,0,27,0,0,0,-1,0,2
TangoImageBuffer,7,0,0,7,0,44,0,0,0,-1,0,4
TangoCameraIntrinsics,13,0,0,13,0,87,0,0,0,-1,0,3
TangoPoseData,8,3,0,8,2,113,5,0,0,0,4,4
TangoUnityImageData,7,0,0,7,0,37,0,0,0,-1,1,1
TangoUnityDepth,9,1,0,9,1,75,1,0,0,0,0,1
AreaDescriptionEventListener,5,5,0,0,1,128,12,0,0,0.800000011920929,3,1
DepthListener,6,7,0,0,0,137,14,0,0,0,3,1
PoseListener,9,6,1,0,0,184,10,0,0,0.3300000131130219,6,1
TangoCloudEventListener,4,4,0,0,0,68,7,0,0,0,0,1
TangoEventListener,6,7,0,0,0,112,14,0,0,0,2,1
VideoOverlayListener,10,11,0,0,0,210,19,0,0,0.1800000071525574,6,1
AreaDescription,5,19,0,1,8,645,48,0,0,0.2099999934434891,4,2
Metadata,4,0,0,4,0,30,0,0,0,-1,0,1
AreaDescriptionAPI,0,10,0,0,10,101,10,0,0,-1,2,1
DepthProvider,0,1,0,0,0,44,2,0,0,-1,3,1
DepthAPI,0,1,0,0,1,16,1,0,0,-1,2,1
PoseProvider,5,5,0,0,2,218,14,0,0,0.6000000238418579,4,2
PoseProviderAPI,0,4,0,0,4,48,4,0,0,-1,3,1
Tango3DReconstruction,15,19,0,0,6,976,39,0,0,0.1599999964237213,19,1
Status,0,0,0,0,0,7,0,0,0,-1,0,3
GridIndex,3,0,0,3,0,12,0,0,0,-1,0,3
APISignedDistanceVoxel,2,0,0,2,0,9,0,0,0,-1,0,2
APICameraCalibration,12,0,0,12,0,39,0,0,0,-1,0,2
APIImageBuffer,6,0,0,6,0,20,0,0,0,-1,0,2
APIPointCloud,3,0,0,3,0,11,0,0,0,-1,0,2
APIPose,7,1,0,7,1,45,1,0,0,0,0,2
API,0,17,0,0,17,172,17,0,0,-1,7,1
TangoApplication,41,59,3,19,14,1508,182,0,0,0.02999999932944775,25,1
PermissionsTypes,0,0,0,0,0,9,0,0,0,-1,0,1
TangoServiceAPI,0,3,0,0,3,31,3,0,0,-1,2,1
TangoConfig,6,17,0,0,2,496,26,0,0,0,4,1
Keys,14,0,0,14,0,28,0,0,0,-1,0,1
TangoConfigAPI,0,14,0,0,14,159,14,0,0,-1,3,1
TangoEvents,0,1,0,0,0,43,2,0,0,-1,3,1
EventsAPI,0,1,0,0,1,15,1,0,0,-1,2,1
VideoOverlayProvider,2,5,0,0,3,219,10,0,0,0.800000011920929,5,2
VideoOverlayAPI,0,5,0,0,5,63,5,0,0,-1,3,1
YUVTexture,3,2,0,3,2,64,2,0,0,0,0,3
TangoSupport,8,6,0,0,6,735,11,0,0,0.6700000166893005,12,1
DMatrix4x4,16,3,0,16,3,156,3,0,0,0,0,2
DVector3,3,3,0,3,3,51,3,0,0,0,0,2
TangoSupportAPI,0,3,0,0,3,58,3,0,0,-1,7,1
TangoUxEnums,0,0,0,0,0,41,0,0,0,-1,0,1
UxExceptionEventType,0,0,0,0,0,14,0,0,0,-1,0,1
UxExceptionEventStatus,0,0,0,0,0,6,0,0,0,-1,0,1
UxHoldPostureType,0,0,0,0,0,7,0,0,0,-1,0,1
UxExceptionEvent,3,1,0,3,1,31,1,0,0,0,3,0
TangoUx,5,12,0,4,11,159,23,0,0,0,5,0
MouseLook,9,3,0,7,2,66,5,0,0,0,1,1
AxisTouchButton,6,5,0,4,2,68,10,0,0,0,2,0
ButtonHandler,1,7,0,1,6,44,7,0,0,0.4300000071525574,1,0
CrossPlatformInputManager,3,24,1,0,22,311,26,0,0,0,4,11
ActiveInputMethod,0,0,0,0,0,5,0,0,0,-1,0,1
VirtualAxis,1,4,4,0,4,45,4,0,0,1,0,8
VirtualButton,3,5,5,0,5,74,6,0,0,0.800000011920929,0,3
InputAxisScrollbar,1,2,0,1,1,11,2,0,0,1,1,0
Joystick,9,8,0,4,3,111,16,0,0,0.25,3,0
AxisOption,0,0,0,0,0,12,0,0,0,-1,0,2
MobileControlRig,0,6,0,0,0,76,9,0,0,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,2
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,2
MappingType,0,0,0,0,0,7,0,0,0,-1,0,4
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
TouchPad,17,8,0,6,2,148,16,0,0,0.25,4,0
ControlStyle,0,0,0,0,0,6,0,0,0,-1,0,1
VirtualInput,3,21,1,0,21,126,25,2,0,0.7099999785423279,2,1
MobileInput,0,13,0,0,11,127,23,0,1,-1,3,0
StandaloneInput,0,11,0,0,11,73,11,0,1,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
