Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
GLTFExporterTest,0,1,0,0,0,11,1,0,0,-1,1,0
MultiSceneComponent,3,3,0,2,0,36,5,0,0,0,1,0
OrbitCameraController,11,3,0,8,1,70,8,0,0,0,0,0
SimpleHTTPServer,6,6,1,0,3,227,12,0,0,0,0,1
VisualizeMeshAttributes,8,2,0,0,0,55,7,0,0,0,0,0
WebServerComponent,1,2,0,0,0,17,2,0,0,0,1,0
AsyncAction,2,2,0,0,1,41,4,0,0,0,0,1
WebRequestException,0,5,0,0,4,11,5,0,0,-1,0,0
GLTFComponent,5,1,0,5,0,45,3,0,0,0,2,0
GLTFSceneExporter,11,29,0,1,7,1229,148,0,0,0,2,2
PrimKey,2,0,0,2,0,5,0,0,0,-1,0,1
GLTFSceneImporter,13,18,1,1,3,749,75,0,0,0,12,3
LoadType,0,0,0,0,0,5,0,0,0,-1,0,1
ColliderType,0,0,0,0,0,6,0,0,0,-1,0,2
GLBStream,2,0,0,2,0,5,0,0,0,-1,0,1
MetalRough2StandardMap,0,3,7,0,3,61,3,1,1,-1,1,1
MetalRoughMap,0,3,6,0,3,58,3,0,2,-1,1,0
SpecGloss2StandardMap,0,3,7,0,3,65,3,1,1,-1,1,1
SpecGlossMap,0,3,5,0,3,48,3,0,2,-1,1,0
StandardMap,3,4,14,0,1,180,4,2,1,0,1,2
IUniformMap,0,1,14,0,0,23,1,4,0,-1,0,2
IMetalRoughUniformMap,0,0,7,0,0,10,0,1,1,-1,0,1
ISpecGlossUniformMap,0,0,7,0,0,10,0,1,1,-1,0,1
IUnlitUniformMap,0,0,3,0,0,6,0,0,1,-1,0,0
AssetCache,0,2,5,0,2,59,3,0,0,-1,0,1
BufferCacheData,0,0,2,0,0,5,0,0,0,-1,0,1
MaterialCacheData,0,1,3,0,1,11,1,0,0,-1,0,1
MeshCacheData,0,1,2,0,1,10,1,0,0,-1,0,1
SchemaExtensions,2,35,1,2,35,412,50,0,0,0.6299999952316284,0,2
GLTFExporterIntegrationTest,0,1,0,0,0,18,1,0,0,-1,1,0
GLTFTestComponent,2,1,0,2,0,16,1,0,0,0,1,0
