Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DemoScript,19,13,0,6,4,217,28,0,0,0,3,0
RotationAxes,0,0,0,0,0,1,0,0,0,-1,0,1
RangeOfIntegers,2,0,0,2,0,6,0,0,0,-1,0,1
RangeOfFloats,2,0,0,2,0,6,0,0,0,-1,0,2
FireBaseScript,12,7,4,8,2,159,20,3,0,0.2899999916553497,2,5
ICollisionHandler,0,1,0,0,0,4,1,2,0,-1,0,2
FireCollisionForwardScript,1,1,0,1,1,8,1,0,0,0,1,2
LoopingAudioSource,3,5,2,0,5,51,9,0,0,0,0,1
FireConstantBaseScript,1,4,0,1,1,27,4,0,1,0,2,0
FireLightScript,8,2,0,3,0,75,8,0,0,0,3,0
FireProjectileScript,12,3,0,11,1,73,9,0,1,0.6700000166893005,1,1
MeteorSwarmScript,15,6,0,14,1,157,14,0,1,0,5,0
SingleLineAttribute,0,1,1,0,1,5,1,0,0,-1,0,3
SingleLineDrawer,0,4,0,0,1,75,9,0,0,-1,1,0
LightningBoltEditor,1,1,0,0,1,40,6,0,0,0,0,0
VSCode,3,26,14,3,2,1267,88,0,0,0.2300000041723251,0,1
VSCodeAssetPostprocessor,0,1,0,0,0,11,1,0,0,-1,1,0
